""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PSTPIP2	6.03772578654897	0.632203084934036	0.134827613342786	1.14185113726377e-07	0.000402502525885478
EPSTI1	9.49699069823426	0.638189163820676	0.171986106406879	7.36330021692754e-06	0.0129778166323348
WARS	15.0026255809721	0.50926093602035	0.146769902345153	1.84602201194127e-05	0.0176980614620535
RPL38	135.908158312135	0.216026646653952	0.0620320023326175	2.00829066236068e-05	0.0176980614620535
IFI6	13.9613530774567	0.691059467481592	0.2279305168732	7.2468180145757e-05	0.0290391123976081
AC245014.3	8.64906644501206	0.808235375034389	0.26655006614374	7.80961687757546e-05	0.0290391123976081
UBE2L6	20.1224870371032	0.320325166776869	0.104703665664487	7.623586163638e-05	0.0290391123976081
ALDH2	26.5132800410457	0.278516012520549	0.0914790276080131	8.2270168062192e-05	0.0290391123976081
RILPL2	18.2986823873452	0.280047569388723	0.0914716773452582	8.23804607024342e-05	0.0290391123976081
RNF213	16.2005127471443	0.35461928591618	0.1144031543801	6.44708110163282e-05	0.0290391123976081
STAT1	12.0815028853829	0.557828789704765	0.190780559397266	0.000101896233153253	0.0326531110786559
GABARAP	149.291430537822	0.146528377000332	0.0484567663727521	0.000115140944039939	0.0338226523117321
GBP1	8.69460254002852	0.630487995637845	0.224963587751054	0.000140248074311789	0.0380288047653121
DUSP2	19.0598119912767	-0.645999213293423	0.23861093794307	0.000220941378941506	0.0486761475480505
EVI2B	12.1889201187384	-0.327231693757873	0.118729008963533	0.000207340301248367	0.0486761475480505
RPL17	45.2426096198198	0.212332084919139	0.0764403721963493	0.00019547111829549	0.0486761475480505
HLA-F	14.6738326110353	0.271453996884089	0.10453618870522	0.000310952194921376	0.0644768521822264
GADD45GIP1	12.5064516574327	-0.221784317058895	0.0874002721385426	0.000385126983352136	0.0754207009064599
SOD2	7.65019184032184	0.337156863646029	0.136855203198516	0.000431491025620324	0.0756955823571835
LY6E	36.3946502922677	0.345405833726802	0.140676086279998	0.000421520725654395	0.0756955823571835
NDUFC2	4.4271600398938	-0.0128925175278424	0.0321816757277171	0.000450952405532157	0.0756955823571835
TYMP	65.7908980728159	0.300467482458685	0.126215853406455	0.000500020275967446	0.0766335422950107
MT-ND4	275.807401811488	-0.224068808659632	0.091650256330643	0.000498108346329839	0.0766335422950107
LINC02256	6.65211048884047	0.369337887317491	0.157127937830088	0.000573159056115188	0.081333167057204
ALDOA	65.7496680024729	0.209057517379634	0.0880911097661717	0.000576830972036908	0.081333167057204
AGTPBP1	9.26291536893579	0.263827347747113	0.112238014530257	0.000607243863886622	0.0823282546230901
CYBB	20.9316282957774	0.231542263314162	0.101430158696028	0.000722897505221977	0.0878694381347403
VAMP2	7.23679256877056	-0.311546412033885	0.139498452758987	0.000720467243180091	0.0878694381347403
H3F3B	230.3403487648	-0.0991620817595191	0.0397107731811767	0.000706495268485107	0.0878694381347403
AREG	25.8156719717212	0.961939608016259	0.463324673885299	0.00075554048109228	0.0887760065283429
ATP2B1-AS1	13.8566294293557	0.40317531274768	0.184017393968243	0.000793359102765565	0.0902126076531812
PSMA6	18.6897696886915	0.215328149208809	0.0987493384219029	0.000872058551976494	0.0960626998661607
GBP2	4.61504131885439	0.475289380265635	0.232737073760227	0.000936758380000993	0.0968382308499279
SRPRA	7.3674668210811	0.26999194971841	0.126661378036767	0.000940506473122791	0.0968382308499279
