""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS27	183.427087475208	0.18418715570171	0.0663205462099681	0.000234644414854098	0.434418559455611
RPL37A	74.991006346507	0.179372549466514	0.068085046362429	0.000334683019611411	0.434418559455611
LSM2	2.12685189163217	-0.0138446765381672	0.0325414326766702	0.000315711137039165	0.434418559455611
EIF4A3	5.71637869557892	0.50675296102221	0.169795160341878	9.92500592322034e-05	0.434418559455611
SNHG8	6.17044865426388	0.360447799502386	0.181020690435753	0.00122129945562457	0.634098677360276
ATP5F1C	7.1520977901829	-0.317452613258214	0.140218419403564	0.000692164911730504	0.634098677360276
ATXN7L3B	1.5811140073747	-0.0102271389671274	0.0299860647608698	0.00116539527805099	0.634098677360276
RPL23	17.9192626166912	0.218241684350435	0.0970841216482434	0.000803298429808952	0.634098677360276
STX10	1.45065097262646	-0.00999502470960019	0.0298565480935408	0.00121456298992696	0.634098677360276
SNRPA	3.26158277623587	-0.437212868103431	0.206364955579933	0.000963240829189816	0.634098677360276
CA8	0.931099905724756	-0.00660029071785461	0.0283347504485611	0.0014655419442013	0.691735797663012
MZB1	21.2889333183697	-0.2528609015843	0.140643967000179	0.00174169975446651	0.695608086553085
LSP1	27.4868963131943	-0.162852478003172	0.0847365785124096	0.00171214828944882	0.695608086553085
HLA-E	14.2295381463157	0.247421458201798	0.142458416949767	0.00206291028244023	0.765045013316407
COL24A1	0.966391292633919	-0.00684302269716255	0.0284049347271513	0.00362299484553812	0.767657622371091
ADAR	3.67263860207433	0.298989038558373	0.358408261655514	0.00479372962402302	0.767657622371091
EIF2AK2	1.75755972019548	0.501737689144128	0.387002237341114	0.00374182052000126	0.767657622371091
MRPL3	1.46869215718107	-0.0082194854360299	0.0289367561835816	0.00465518835551196	0.767657622371091
HLA-A	46.1176788891117	0.206868741281727	0.216709621760265	0.00498257220557282	0.767657622371091
MAPK14	0.812950713338851	-0.00586341154880176	0.028078514549111	0.00392416933891822	0.767657622371091
RPS20	17.5558197184261	0.166398149938318	0.140240479079323	0.00467986027818694	0.767657622371091
TUBB4B	1.43949549458961	-0.00852548356188535	0.0290682179335126	0.00502703373663657	0.767657622371091
RPL27A	25.2556000230025	0.175848963771284	0.106280210160158	0.00265062065935211	0.767657622371091
PHB2	6.52013445907324	-0.222547954236786	0.185627257533287	0.00414438595929732	0.767657622371091
RPS26	43.6175407232577	-0.347986570001383	0.283882768657474	0.00337986045614573	0.767657622371091
COG3	2.78357722328824	0.372526428779262	0.292557132221596	0.00349710262116051	0.767657622371091
SELENOS	13.3954422137971	0.24716145134715	0.150884295620513	0.0023609709950744	0.767657622371091
ARMC5	0.700250892038401	-0.00604926667195612	0.02813800162958	0.00400030297860045	0.767657622371091
NF1	0.779128297345146	-0.0062007552816826	0.0281889711725513	0.00332612909366053	0.767657622371091
RPL38	24.8087070121757	0.177369370891906	0.15160314337235	0.00450383786016119	0.767657622371091
SNRPB	5.19558751525865	-0.234250097057014	0.27678151230769	0.00493109224475611	0.767657622371091
RPL13A	51.389351013916	0.125190618779388	0.0675653329099404	0.00238189109987882	0.767657622371091
A1BG	5.71399407968764	0.251869573502913	0.238826630033829	0.00424631338825139	0.767657622371091
MIR155HG	1.62009405590562	0.468861220066119	0.570730048992558	0.00421171188528292	0.767657622371091
GTF3C2	0.757516428502866	0.566749799100266	0.667834454886024	0.00552751568683681	0.790142475706125
ZFR	1.72139312036743	-0.00868676050043334	0.0291353903749091	0.00539174529698593	0.790142475706125
SMCO4	1.19001926898987	-0.00733922523016312	0.0285721801731214	0.00577959648824321	0.790142475706125
RPS11	35.9427903491706	0.115684092853686	0.0937130423001248	0.00578301503791078	0.790142475706125
TRIAP1	1.23331659606777	-0.00765288617679865	0.0286924546888382	0.00595451693622973	0.792714152125762
TRA2B	6.60679327473995	0.0172904962835425	0.035338755749738	0.00670129206955596	0.848612400613037
RPL35	54.815380221864	0.0929333887525282	0.0701643722199562	0.00662501076381948	0.848612400613037
ATP2C1	0.866897988885236	-0.00627032890167071	0.0281950108073423	0.00695167606777634	0.859359574854637
PTPN22	1.26935550750544	-0.00688123842833867	0.0283967692108795	0.0072191714390118	0.871672979333704
ELOA	0.80005409656278	0.00528716965204438	0.0278862945587788	0.0160566982959681	0.883602626621997
PITHD1	1.44891445330224	0.00764721453469487	0.0286562364807154	0.0123179683177546	0.883602626621997
S100PBP	1.86228626782743	-0.00729348269682528	0.0285280188904738	0.0102682842088252	0.883602626621997
NRDC	4.56264220971822	-0.0117679434647911	0.0306585916264187	0.0159504366855696	0.883602626621997
AC103591.3	3.1520540848988	0.00717559235977141	0.0284525359605558	0.0194133959902257	0.883602626621997
NOTCH2	2.83835900904712	-0.00788095552768832	0.0286905881438995	0.0258442711265341	0.883602626621997
DAP3	1.98343234990641	0.00824700121048933	0.0289007957019529	0.0116998733669036	0.883602626621997
ARHGAP30	2.7347956886451	-0.0092459254918622	0.029313663461605	0.0162788803245692	0.883602626621997
SMG7	1.60137304725928	0.00702663495328412	0.0284136407838888	0.0156583548179256	0.883602626621997
UCHL5	1.25014302836743	0.00630787708197964	0.0281643082114918	0.0212583750067459	0.883602626621997
PTPRC	10.8159190808653	-0.0121891563953391	0.030778007359616	0.0292273485118145	0.883602626621997
ODC1	5.70024826562259	-0.0138813450583315	0.0322105739944511	0.00844477985526024	0.883602626621997
SF3B6	3.97829559527038	-0.0209989990190596	0.0405997933053448	0.00881740766968046	0.883602626621997
YPEL5	8.13671646302829	0.0141349268380516	0.0321357475117082	0.0231507368326398	0.883602626621997
CALM2	21.468010487107	-0.0209531359031789	0.0379982069291004	0.0290653764874117	0.883602626621997
XPO1	2.50556218999199	-0.00702994505769171	0.0283860316646792	0.0237524433665673	0.883602626621997
RPL31	32.2061337065264	0.0404837707349839	0.0691914148154876	0.0189662248209657	0.883602626621997
ZEB2	8.48081321290556	-0.0107010961637719	0.0299674631017326	0.025009932719111	0.883602626621997
CERS6	3.46655947589524	0.00863207281705868	0.0290097425815857	0.0271820975407078	0.883602626621997
DYNC1I2	0.94177850180788	-0.00590819767067168	0.0280580620761384	0.0160980228844168	0.883602626621997
STK17B	7.42302626447142	0.0122253442881911	0.0307386192129983	0.0294109219194226	0.883602626621997
GMPPA	0.79765792885828	-0.00540069563853958	0.0279207605684427	0.0134433581950744	0.883602626621997
SP100	2.77740273159724	0.00859410786884857	0.0289655199897556	0.0291389331230872	0.883602626621997
RAB5A	1.46938187179233	-0.00749990348468068	0.0286098225357476	0.010348603438473	0.883602626621997
CTNNB1	1.71787081312741	-0.00652355264300327	0.0282111551124805	0.0292583381150761	0.883602626621997
ABHD14B	2.36198414235988	-0.00838896478417517	0.028918706498858	0.0175731569541788	0.883602626621997
GLT8D1	1.56295606545314	-0.00711896810169596	0.0284458642756734	0.0159129111569999	0.883602626621997
SPCS1	26.1581235793722	0.0502277721550477	0.140765476241004	0.0120824367358341	0.883602626621997
LINC00877	0.766305563045757	-0.00505700623591608	0.0278274427841534	0.0153783425615646	0.883602626621997
RIOX2	1.23116755851678	-0.0069827834784628	0.0284280522630467	0.00859808378868158	0.883602626621997
GNB4	1.31563091778763	-0.00606487847989357	0.0280823904963517	0.0254288855277377	0.883602626621997
EIF2B5	0.984802632123296	0.00535502662741742	0.0278881818067443	0.0246328178819418	0.883602626621997
PSMD2	1.82836119233302	-0.00812419780268122	0.0288177163430359	0.0182853510398688	0.883602626621997
TMEM129	0.803324397292995	-0.00480419339829423	0.0277521213750215	0.0261704562621109	0.883602626621997
FBXL5	1.02642130098284	-0.00548032054598627	0.0279136621668922	0.0299214550933642	0.883602626621997
LAP3	4.44387225645419	0.00991605225148266	0.0295917083655359	0.0229214296968306	0.883602626621997
RPL37	139.421897301611	0.0350462747943618	0.0556547526232051	0.0295971149189602	0.883602626621997
APC	0.832078042079461	-0.00536793992343119	0.0279129534953557	0.0127935818225511	0.883602626621997
C5orf15	1.2520982244572	-0.00581639575663415	0.0280053738854832	0.0283028756762307	0.883602626621997
SKP1	8.87690816706666	-0.0168248300140978	0.0341832571017775	0.0259691875550622	0.883602626621997
CXXC5	6.52730905057133	-0.0116861429751122	0.0304812844062526	0.0295579626027877	0.883602626621997
RGS14	1.10449133240756	-0.005920597457378	0.0280552343882256	0.0183892483127384	0.883602626621997
HNRNPH1	6.01889774317157	0.0112396705232088	0.0303017668843735	0.0206464917867236	0.883602626621997
HIST1H4C	4.9141137642943	0.00996255038861717	0.029608660924417	0.0245022349109858	0.883602626621997
AIF1	2.67964718546152	-0.00795243736772868	0.0287246294583901	0.0236487365654856	0.883602626621997
PSMB8-AS1	1.26680812104761	-0.00711753435656435	0.0284634543613931	0.0113401754726778	0.883602626621997
RPL10A	61.3523381972492	0.0562874838364154	0.0694976837331232	0.0201760006205208	0.883602626621997
PIM1	0.778946487071683	-0.00528270247942311	0.0278857282333559	0.0157342479001264	0.883602626621997
SUPT3H	1.20313132752241	0.00521337800127992	0.0278445782407972	0.0298831715725209	0.883602626621997
BCKDHB	0.664565648196929	0.00454970440476559	0.0276971013134815	0.0263867478775533	0.883602626621997
SHPRH	1.01183341972459	-0.00525134622518266	0.0278640790867989	0.0228726990133614	0.883602626621997
C7orf50	1.24561652429723	-0.00673328959210288	0.0283407522476246	0.0084602978331102	0.883602626621997
SNX10	1.70028332445254	-0.0067358232505613	0.0283098486525628	0.0171847631863929	0.883602626621997
SCRN1	1.64620766737366	-0.00771263559419883	0.0286745868297915	0.0136862168521734	0.883602626621997
GARS	1.22413523711257	-0.00584689236519074	0.0280136514825384	0.0283752678136756	0.883602626621997
AEBP1	2.73759445993383	-0.00802422973885509	0.0287888650642628	0.0147067449220711	0.883602626621997
BAZ1B	2.03973244771299	-0.00837045921976733	0.028926584836237	0.016723780102257	0.883602626621997
NCF1	16.7570630108845	-0.024278189194752	0.0439170836978837	0.00985449169899587	0.883602626621997
