""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS27	1070.33066548957	-0.279620098281331	0.0538423808044856	1.65485534255244e-08	4.81066448079993e-05
CDC42SE2	9.86494670101705	-0.545761476588752	0.115400622333427	1.06849456981448e-07	0.000155305685722534
SNHG8	25.97404376374	-0.422362178259058	0.0921627997548713	3.10612568019569e-07	0.000300983578410962
ANKRD49	5.64954171497141	-0.620403885717619	0.146255713753651	1.01373583012934e-06	0.000444234961918459
FOS	45.253347365197	1.10257701639366	0.259238528020343	1.0697092306258e-06	0.000444234961918459
RPL38	124.985133121577	-0.280248864924622	0.0626127676241688	6.16041603025371e-07	0.000444234961918459
GNAS	16.5806363160649	-0.477607252511131	0.111041867997388	1.05537046802254e-06	0.000444234961918459
MT-ND3	758.620923307638	-0.42868306575425	0.105169390702637	2.45892776416621e-06	0.000893512876303897
RPL37A	268.495613967978	-0.202632338622982	0.0482435332738006	3.0604903326189e-06	0.000953768784634194
DUSP1	79.6466308853905	0.742912215693154	0.187341277782707	3.28093837163466e-06	0.000953768784634194
RPL34	665.989704863783	-0.176425478298062	0.0426172228679417	5.01085055181362e-06	0.00112050327339401
HLA-DQA1	93.0867242498789	0.226451844880216	0.0559090785656692	4.62819647048384e-06	0.00112050327339401
RPS29	198.45873964321	-0.392259484210464	0.0989049444361458	4.34412805608872e-06	0.00112050327339401
CEBPZ	6.04638149304818	-0.539035211584052	0.142639540817607	6.68414050512537e-06	0.00138791403202853
IGHM	119.097779584715	-0.299724693177747	0.0776505682375103	7.17728374384971e-06	0.00139095758955807
MKNK2	7.37860123485151	-0.576789349139257	0.161519539746037	1.39851183956447e-05	0.0025409211985087
GRK2	5.26837645468651	-0.593092259640889	0.170094638466509	2.08310808000469e-05	0.00312139183616669
LIMD2	86.3586766886287	0.1750695464033	0.0461130587532348	2.07097204519017e-05	0.00312139183616669
MACROD2	5.41205844769327	-0.569872638772664	0.162568776009617	2.14750040327945e-05	0.00312139183616669
JUNB	47.7917104177974	0.51015609448726	0.143115577731465	2.07954422217226e-05	0.00312139183616669
ATF7IP2	7.22834200352982	-0.483717724584028	0.140403532384778	2.66350737575165e-05	0.00368705521014764
RPL39	765.894681079688	-0.198557104781881	0.054499650541698	3.289930009645e-05	0.00427541685912545
MT-ND4L	684.92525305458	-0.19163888014812	0.0527759256657888	3.382682757478e-05	0.00427541685912545
HLA-E	103.418943217698	0.2340481016921	0.0664898189894279	3.60635526059257e-05	0.00436819780939275
