""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PSME2	180.042061828354	0.345502799017006	0.0601298966727897	5.86565926464869e-10	3.61265954109713e-06
MT-ND3	1954.67224560764	-0.580257848770197	0.108374083023953	2.72030124843283e-09	8.37716769454889e-06
RSRP1	81.629039067258	-0.445299950680615	0.0911171554203309	6.17925542691216e-08	9.514508543588e-05
ANKRD13D	31.6202760407924	-0.385148733282459	0.0778680716058081	4.95802523374414e-08	9.514508543588e-05
TIMP2	20.4937410160999	-0.378322697833771	0.0810364308731313	1.96581625242283e-07	0.000242149245973445
ITGAM	7.75166347702395	-0.629274943845194	0.142431228967918	4.4064684293809e-07	0.000452323984275949
GNB1	33.4612231284756	-0.327564454006272	0.0756471301618334	1.11434775267002e-06	0.000530401923137813
PSMB8	97.07193328322	0.237172718389991	0.0535805751717193	1.0983109766475e-06	0.000530401923137813
MDH2	51.2763515884804	0.312195248717997	0.0717799818104928	1.07456402261602e-06	0.000530401923137813
PSME1	190.958886088608	0.26710849588369	0.0609353827081072	1.09740759360226e-06	0.000530401923137813
SOS2	10.4603582086604	-0.507894810086763	0.11719125615183	7.60361889145569e-07	0.000530401923137813
B2M	3738.75062755737	0.148942492757519	0.0324095469266268	1.11953645085104e-06	0.000530401923137813
PREX1	22.8956668851758	-0.35503679595799	0.0815909315852546	9.57359840740715e-07	0.000530401923137813
CAPNS1	54.7561749640619	-0.284906237304973	0.0665377134037615	1.68406232284947e-06	0.000740867131887849
MACF1	38.4126721248976	-0.481189479460803	0.117688277581242	2.21180168744479e-06	0.000801322740763085
MTSS1	123.185657934117	-0.30022943943547	0.0711795941277893	2.14209857205229e-06	0.000801322740763085
ODF3B	31.1148149742924	0.387179938083141	0.0934130290972038	1.97245172417608e-06	0.000801322740763085
MT-ND1	970.128174953892	-0.26790580021378	0.0644121056111043	3.0370925397091e-06	0.00103919183067047
PTPRJ	21.8670939371124	-0.355196284457672	0.0882171533971432	3.57572922028504e-06	0.00110114581338678
MT-ND4L	1506.32242862707	-0.323534444788695	0.0795355819861278	3.39814125988536e-06	0.00110114581338678
ARPC2	337.309093198473	0.167434150826532	0.0396076720007143	5.00218577466742e-06	0.00146706962791317
ATM	33.2959718279265	-0.386482345389518	0.0980673039495318	5.32919681320712e-06	0.00149193287147921
ACTG1	607.899077861353	0.206454323759874	0.0502711677773049	5.70183930810723e-06	0.00152685340428837
NEAT1	531.596519241325	-0.370469064574199	0.095290120128922	7.14015805305089e-06	0.00183234306036419
HNRNPD	31.7610503081045	-0.3023636936598	0.0788293932173451	9.45745082481916e-06	0.0022403246011562
AL133415.1	6.39119069701644	0.776358830518698	0.212311275118826	9.40327889803638e-06	0.0022403246011562
CNBP	94.568183878158	0.193150844178675	0.0483065275503827	1.07498274214715e-05	0.00245215507736455
MT-ND4	890.027324433774	-0.225041651781065	0.0576408434264915	1.19585394904904e-05	0.0026304515972118
OGFRL1	21.3792650063385	-0.427960181678404	0.117949410474149	1.57590582953177e-05	0.00328397208888494
ZCCHC2	4.67413574169303	-0.631632866009639	0.176018990980107	1.59959673106914e-05	0.00328397208888494
APH1A	28.6757641367854	0.318264077119684	0.0862804412347083	1.67603523803807e-05	0.00332990355841176
PSMB10	106.312316253777	0.242020163252462	0.0645415792703537	1.76039077275872e-05	0.00338820211544405
SLC25A5	135.184688931927	0.258355603286401	0.0693616198856382	1.96219691564342e-05	0.00366217297074177
PHIP	34.128840393987	-0.312861279690672	0.08620511360732	2.18109512920584e-05	0.00376164247824819
