""	baseMean	log2FoldChange	lfcSE	pvalue	padj
UBL5	125.985940260827	-0.290312071613581	0.0464241950504374	2.56642296300727e-11	8.70477676761115e-08
COX6B1	166.774932987778	-0.200908090059935	0.032128951633298	4.12940074364855e-11	8.70477676761115e-08
HLA-E	495.05908963522	0.211549223492042	0.0355849887543022	3.07225672736594e-10	4.31754478752494e-07
MT-ND3	2706.21456957186	-0.577816068577735	0.10406376706554	1.18259821853785e-09	1.24645852233889e-06
SERF2	431.025730470525	-0.156129849033662	0.0276014580138992	2.24020402407616e-09	1.88894003310102e-06
LAPTM5	244.540855393288	0.191195908268101	0.0350759898067172	6.13467673725268e-09	4.31063285404288e-06
MT-ND4L	2404.92664694414	-0.267580415497625	0.0502447955085257	7.19958787517257e-09	4.33620892596108e-06
HNRNPDL	207.637926924455	0.196558442407572	0.0402895317207596	1.10466388707618e-07	5.82157868489149e-05
TMSB10	2740.02088108513	-0.13148841078035	0.026366059183554	1.43860645945045e-07	6.10959614379255e-05
MT-ND2	751.214698571163	-0.325253776194276	0.0689266995296049	1.44914519539671e-07	6.10959614379255e-05
MAL	108.05289500017	0.209591199889851	0.0438284369032461	1.7738628818885e-07	6.79873264549264e-05
GNB1	19.4281715121258	-0.418502416449312	0.0914706741584455	2.19144823203748e-07	7.64394810331977e-05
CNBP	175.183444690412	0.174348912344952	0.0364718301006537	2.35700487056824e-07	7.64394810331977e-05
SNHG8	132.780675127693	-0.332912707538541	0.0724855398316178	2.66834886823228e-07	8.03554202033379e-05
SNRPG	54.5727466597318	-0.265190962849461	0.0579147048464463	3.21716497282242e-07	9.04237835027955e-05
PSME1	207.705476367069	0.154861317645122	0.0332615063482956	5.14379783748255e-07	0.000135539073017665
RANBP2	18.2446928600245	-0.442947953650863	0.101862944289889	6.64989136040859e-07	0.000140299337420312
HNRNPD	35.6246942952337	-0.391670347330267	0.0891278727109556	5.98491529416685e-07	0.000140299337420312
DUSP1	143.923697691614	0.877026766651143	0.205494683801421	6.65556629128614e-07	0.000140299337420312
MT-ND1	1256.83135950463	-0.237911152174096	0.0530810575058329	6.0024434696875e-07	0.000140299337420312
FOS	202.01865345494	1.13949952279547	0.267837721503404	7.53141729740633e-07	0.000151202168218405
GNAS	66.1937628430732	-0.384840569608917	0.0888228536541581	8.28548147163022e-07	0.000158779954019968
CDC25B	56.8488249170001	0.290351901392545	0.0683677826434153	1.47089641371987e-06	0.000269621707836651
COX6C	186.492847158102	-0.173749447957238	0.0400541939644552	1.72403351700056e-06	0.000302855221153098
JUN	196.517540448936	0.666899039510392	0.164034302692776	1.81554278540234e-06	0.00030617313533025
LCK	130.49608895276	0.197431550163311	0.0461055416616917	2.0259617773637e-06	0.000316350179754272
YWHAQ	42.5337201861081	0.353645666073217	0.0855620679064947	1.96705149026904e-06	0.000316350179754272
CCNI	247.744150578303	0.183736368095604	0.042926272362378	2.21449335966412e-06	0.000333439428726569
NCK2	15.0017908633034	-0.459827493961952	0.115396460893899	3.03621219490497e-06	0.00044140243495584
HECA	13.5139470292013	-0.503307553503683	0.12788812309782	3.16512948872339e-06	0.000444806197481926
RNF187	21.7079781216412	0.328531438432063	0.0847959284887543	6.68998276446727e-06	0.000881405229218563
ATP5F1E	400.00738385082	-0.20476860181838	0.051716461662064	6.52325621615498e-06	0.000881405229218563
RHOA	162.405170296313	0.156536504033454	0.038897569896675	8.34970137824516e-06	0.00100578117173376
COX7C	416.303848192535	-0.150836855112218	0.0374104762129181	8.09587103946057e-06	0.00100578117173376
LDHA	90.6835845266939	0.222547376509107	0.0570213647407688	8.34781743081097e-06	0.00100578117173376
PDE7A	27.3722171651682	-0.460542268101202	0.123557080321842	9.33219414182163e-06	0.00104529062198457
SUN2	98.6623378471366	0.27117107029484	0.0709841982569828	9.42149991352314e-06	0.00104529062198457
MT-CYB	3010.41280425718	-0.196556423355885	0.0503582368196419	9.25044605788713e-06	0.00104529062198457
RPL39	3964.19941223495	-0.226472524282464	0.0593028998387006	9.81912702845017e-06	0.00106147280902425
MALAT1	10875.533406384	-0.214072456616025	0.0544158951120458	1.11118735764234e-05	0.00117119147495503
ATP5MF	77.9790183644191	-0.170844641935946	0.0442208460993091	1.34095727883102e-05	0.00137889655793941
MT-CO2	5003.61283870542	-0.247762185523862	0.0672964995020807	1.69607800299467e-05	0.00170253925252989
OST4	197.445996253158	-0.157305318794043	0.0411353456657265	1.79185027724588e-05	0.00172444101028048
INPP4B	100.010008388929	-0.225188803406134	0.0611318733189895	1.82243538318834e-05	0.00172444101028048
MDH2	49.9694541266907	0.225762096886971	0.0610072683419209	1.8406035451286e-05	0.00172444101028048
RPL37A	1155.88736230287	-0.200051826011642	0.0543237935608088	2.16625621809782e-05	0.00198542091641314
ATP5MPL	87.9259490698683	-0.239848651136071	0.0670397729845038	2.45047815686246e-05	0.00219813104453876
ACTG1	597.707968033929	0.191661068251456	0.0526066308474487	2.75912985312725e-05	0.00242343572099677
ACTB	2087.63744661629	0.18226266101527	0.0499535987270809	2.91948192556397e-05	0.00251194608126075
AC004687.1	28.1943998482629	-0.420899251949394	0.122778780077347	3.01166864335984e-05	0.00253943900008102
NDUFB1	39.8910460053839	-0.369323675584641	0.109218260441297	3.29901396679864e-05	0.0026242722422685
RPL38	713.017642333034	-0.235895766009479	0.0668846369290405	3.23752741446505e-05	0.0026242722422685
ABHD17A	21.7724076989517	-0.470677157161372	0.140408961813746	3.22548298287682e-05	0.0026242722422685
GNAI2	41.3269462079888	-0.436820473786997	0.129977590186569	3.52193594253982e-05	0.00274971887661998
RSRP1	115.469687184725	-0.167976783092859	0.0467153479792932	3.92021906647539e-05	0.00300502610622914
IL2RG	25.1781537704911	-0.37512089545783	0.114651028134137	4.46611328150962e-05	0.00336234528479367
TRBC2	157.735987799095	-0.171796507194771	0.0484903057308014	4.54719994676165e-05	0.00336333245185037
COX17	28.2942297444765	-0.267465079788155	0.0799862556170915	4.92193077738325e-05	0.00353140270541576
NDUFA1	98.9714389632338	-0.19248996301179	0.0556795144424723	5.02571542516474e-05	0.00353140270541576
TMEM258	88.8640733609342	-0.182285458156384	0.0522543671114904	4.97361572595669e-05	0.00353140270541576
