""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	323.888656294667	-0.437764570463376	0.0994058867327493	5.44060935881172e-07	0.000980397806457872
SNHG8	10.9652663743517	-0.518148708770144	0.132077986355771	4.63125498086551e-06	0.00417276073775982
ATP5ME	9.00004866252284	-0.517306654617389	0.151758170515475	2.52039157068974e-05	0.0113543640259573
MT-ND4L	322.765380873254	-0.210459911682435	0.057702518112923	2.15171680364003e-05	0.0113543640259573
RPL37	257.607042425219	-0.210245487563534	0.0638660307886542	7.92579478141867e-05	0.0238038036601941
CNN2	13.42408132644	0.347664020682033	0.110058184553045	7.88823701981326e-05	0.0238038036601941
SH2D1B	14.7073964203947	0.323414935327558	0.109572314382072	0.000159704728749936	0.0299971220838793
IL18R1	6.42983270224862	-0.437484768391015	0.15404442591883	0.000183112287970406	0.0299971220838793
IL2RG	4.84615867766295	-0.557654049906371	0.194625888959645	0.000135942467977285	0.0299971220838793
RPL39	266.844512391806	-0.186164156437272	0.0604511803682691	0.000181947082713032	0.0299971220838793
NDUFB1	5.31772316791187	-0.545656648355418	0.191709457271702	0.000150054363996596	0.0299971220838793
FCMR	5.61104650070194	0.489188962436121	0.177580362352373	0.00024161794824926	0.0362829618954305
ZFP36	31.7464197844026	0.724589829803193	0.281202051997336	0.000307333023938555	0.0395581506526625
MT-ND2	87.3814884870117	-0.222696286160571	0.0775010028775491	0.000288047766177079	0.0395581506526625
RPL34	289.047842308993	-0.157661087683227	0.0536990428540112	0.000386455042344216	0.0464261324202851
RPS27	461.387601041142	-0.180357688500754	0.0647371106485648	0.000478706120865703	0.0486073003833551
RPL37A	136.428847226162	-0.166453867361763	0.0595429399480976	0.000502387979155731	0.0486073003833551
ACTB	276.423293148086	0.235027948279047	0.0903764912030244	0.000553733295029225	0.0486073003833551
TSC22D4	7.5458601344371	0.370628414501758	0.149239572575688	0.000542652293270103	0.0486073003833551
TALDO1	5.07940542591801	0.441250779920165	0.180111915844306	0.000566455775832662	0.0486073003833551
TNKS2	4.64198317512167	-0.465850380718008	0.196388923236765	0.000552917948203713	0.0486073003833551
WHAMM	5.62683155559296	-0.424036442700165	0.181702709231453	0.000680680440494432	0.0557539160804985
POLR2B	4.29800226957415	-0.43160564589595	0.197971435355787	0.000945465266056894	0.0740751482362837
NDUFA1	13.5905109187953	-0.253150585862565	0.108694097449438	0.00101079566511388	0.0754873826051679
MT-ND1	173.060708110771	-0.197579696787858	0.080557672333144	0.001047272233701	0.0754873826051679
SRSF11	14.3212372282651	-0.25261003599963	0.112812467626277	0.00121588214351745	0.0811488749117941
N4BP2L2	14.7257912131379	-0.286566379356644	0.130775836684821	0.0011760024468317	0.0811488749117941
BIRC6	5.98807665540959	-0.388306700156512	0.191247141690449	0.00128611428878308	0.0827706410138252
DUSP1	49.2040322631932	0.518793585517827	0.265666932803289	0.00133714621417967	0.0830874992397162
ABLIM1	8.22954997215512	-0.327159928308108	0.15708694903027	0.00146084104728171	0.0848930942028282
RBM39	23.8621075070515	-0.203678830894605	0.0900378069438446	0.00150753552413457	0.0848930942028282
JUNB	26.8290074888458	0.346567673983143	0.168272116114978	0.00145826853160673	0.0848930942028282
TWF2	5.04136815250895	0.371325596415943	0.194249984376433	0.00195354861643126	0.106675594145731
SORL1	8.61520873835003	-0.28890221372295	0.150558641378168	0.0020408652206652	0.107416113028042
FOS	65.1647277582588	0.525043615447297	0.312438364670276	0.00208632849943478	0.107416113028042
MT-CO3	522.685827293889	-0.188444449858552	0.0872793666760741	0.00218831093119721	0.109537119389372
SASH3	6.04097740637739	0.336587462273111	0.184866792002369	0.00231536092626998	0.112764334841581
ATP5MPL	12.1731275135385	-0.231904525333775	0.118491468428654	0.00240322846123401	0.113138927727829
AC004687.1	9.65529813167123	-0.35102039589245	0.20349028793401	0.00244862274216722	0.113138927727829
RPS29	94.5485903207404	-0.23493392632672	0.122589320417609	0.00264266563626545	0.119052086913759
OGT	11.6984990000222	-0.258815221134767	0.151626151140817	0.00320404603974263	0.137468832467053
NARF	5.03727645693258	-0.318957784825392	0.199339903845614	0.00317995047827183	0.137468832467053
KCNAB2	4.88465828350219	0.331822536994346	0.20809303687597	0.00346446162577323	0.140859544754398
CCNL1	13.1761635303818	-0.226162039378133	0.127710230044067	0.0035175801964195	0.140859544754398
CSK	11.0931034395211	0.253141384223286	0.150562815642113	0.00351700415056514	0.140859544754398
NKTR	8.95199613739934	-0.272960314778293	0.177750161618634	0.00397297573626623	0.14342738692655
PNISR	21.6387162545653	-0.200628275208304	0.113352745265862	0.00399782806710039	0.14342738692655
ZC3HAV1	6.32140328184395	-0.281808268677879	0.196457673368616	0.00426457023494595	0.14342738692655
VCP	6.9047801542054	0.266331944449465	0.161095316324517	0.0038593007006046	0.14342738692655
OSTF1	13.699357829134	0.206487309754953	0.118507109806854	0.0042358888728262	0.14342738692655
YME1L1	4.63293617169398	-0.297399687151307	0.205646808443278	0.00426749360943755	0.14342738692655
SMCHD1	7.40050163438824	-0.270003902555155	0.166415684246764	0.00372902159579811	0.14342738692655
NORAD	4.35976222962552	-0.327433723256878	0.225416367993906	0.00384735368125165	0.14342738692655
RAC2	42.3080764387892	0.148646508964873	0.0733285859150009	0.00429804600112857	0.14342738692655
RFTN1	4.86395476261534	-0.312546662250771	0.22589322574071	0.00451060897672119	0.145144953143778
SIPA1	7.11210746303377	0.294007716888293	0.210815529553655	0.0044990341188473	0.145144953143778
HCST	67.7660443589527	-0.127675585865188	0.0598684113233429	0.00465723403967654	0.147233960342055
FAM133B	4.00967161596505	-0.30781134459936	0.242961501896871	0.00488857036225011	0.151882824013357
CALM1	60.2326248412251	0.122639492170685	0.0571227684130587	0.0049968931635913	0.152616974250704
RPL17	20.4406980878629	-0.171885622895036	0.0959376640888466	0.00513347498279746	0.154175365316684
PTPN7	3.9318100210197	-0.310419106506852	0.265943059760702	0.00532585789895165	0.154547964532553
ERBIN	4.00587816185432	-0.317292200786183	0.302021684123074	0.00540317523060534	0.154547964532553
TMEM9B	4.24476971113096	0.308717889615671	0.250796272874661	0.00536105369252398	0.154547964532553
PRPF4B	5.83564942937229	-0.250153710974798	0.190073817334265	0.00565507780624979	0.156776157028648
ATP5MD	12.1858842517087	-0.200904759511246	0.129499630381675	0.00558064792886509	0.156776157028648
PPP2R1A	7.0789524457833	0.241498979824633	0.17940707114011	0.00589074738905307	0.160835254470813
WDR1	8.64950576755511	0.234827059363766	0.184577051638839	0.00628126539929801	0.166453533081397
SRSF9	11.0731430661179	0.197105578727572	0.126850246358248	0.00623916262815546	0.166453533081397
TUT4	5.27791906646309	-0.252038539567559	0.218610429037413	0.0064518249620685	0.168249108940117
PCBP2	37.4587879042149	0.137766793765951	0.0730379526284811	0.00672249491880602	0.168249108940117
NLRC3	4.15554607398694	-0.26428570846682	0.299353662032876	0.00666935963895171	0.168249108940117
RPS28	245.455884304488	-0.118703935761668	0.0578929459377862	0.00671888396958973	0.168249108940117
ARL4C	20.6603057738477	-0.167452672554549	0.106549828424532	0.00723833924541661	0.173913164269876
SSNA1	6.32182479659267	0.229049383808497	0.185336810036094	0.00722923935078175	0.173913164269876
S1PR4	5.18808010601668	0.267337933584305	0.305589729932519	0.00706369431309999	0.173913164269876
PCBP1	33.8820009169314	0.145638504688473	0.0851278090452519	0.00773908123497435	0.175849222570261
RPL35A	173.175887225247	-0.10042610193506	0.0472261458287851	0.00772906721913701	0.175849222570261
KLF6	14.3338068128141	0.223511827174106	0.20502899562733	0.00753486543450809	0.175849222570261
VIM	21.4584438355684	0.191866672172655	0.138209104656523	0.00748178266506336	0.175849222570261
PIN1	5.28428770236433	0.238759508623548	0.220408688483131	0.0078068467289794	0.175849222570261
NCOR1	7.57852041281788	-0.20398124482949	0.172231302449295	0.00812520153533839	0.180760656378763
PGLS	6.9395742172394	0.218917660727133	0.208945871949449	0.00837738062453382	0.184098047383048
EHMT1	4.2733650375108	-0.216783537419353	0.301659744380859	0.00890056105280446	0.192166934026058
MT-CYB	318.288717987128	-0.116591056771146	0.061015427275928	0.00895783710221359	0.192166934026058
HLA-A	233.834485737823	0.10944640476813	0.0558786058822054	0.00918696040969653	0.194763560685566
ARHGDIB	56.6199114659306	0.102752757430137	0.0519234321315468	0.0100397063436882	0.210366870131698
CLK1	7.0527948932052	-0.193365576654394	0.222812430047618	0.0104573370589373	0.216599096324197
FUBP1	4.00921372595523	-0.127110996435	0.392849338582948	0.0109868267113269	0.221330788011846
EOMES	5.40469425201264	0.105445139841099	0.25488852168235	0.0111350313165882	0.221330788011846
RHOA	28.0736930110987	0.13259617593453	0.0815039158463611	0.0111770819695217	0.221330788011846
PTPRA	4.48800580182006	-0.183801214653065	0.340198711568756	0.010834336861814	0.221330788011846
ANP32B	11.0775267628928	0.168840258210133	0.150097381678854	0.0120485000264822	0.235993446170879
LSP1	26.7787987444838	0.129995542049957	0.0828861084885496	0.0123761530020273	0.239804599028529
TNFRSF18	10.503101146599	-0.165087738037424	0.166878191062475	0.0128293005942595	0.24081666323808
TSC22D3	39.5182892339464	0.155562174853188	0.310720840982996	0.0125782977084107	0.24081666323808
C8orf59	8.19199615065656	-0.168365222550503	0.174885623749369	0.0128041114074936	0.24081666323808
PIAS1	4.73351141195971	-0.139395991285337	0.307673690064725	0.0130529122742474	0.242488122867978
CITED2	4.66951507839026	0.0598528432670463	0.106852085158743	0.0132385080739418	0.243426444380032
MT-ND4	115.146101179782	-0.133516928057633	0.091148892328241	0.0135452593133152	0.246551083662566
ATRAID	5.29531120837404	0.138827305688212	0.298009702085421	0.014060415082253	0.252879877887161
STK17A	21.1422370852288	0.14472084211321	0.114271984510273	0.0141736224564946	0.252879877887161
DPYD	5.83741718478458	-0.112104483607307	0.231820626541598	0.0146343480543341	0.256030050426311
MT-CO2	750.893822742553	-0.118362234508858	0.0754678672449383	0.0145828688185934	0.256030050426311
SLC9A3R1	14.5664748937783	0.144557058066672	0.120972655987321	0.0147946354977478	0.256345511220591
MACF1	11.5435136267628	-0.109392052990968	0.205875296994008	0.0169417298455765	0.258074623681319
SF3B4	4.51868160663967	0.0821846422730888	0.149305272301413	0.0162575786780025	0.258074623681319
SH2D2A	4.64245560255583	0.103360571459401	0.209000176168624	0.0158702757833964	0.258074623681319
CAPN2	4.64094376181783	0.0723716794433604	0.127148982696326	0.0164626332605893	0.258074623681319
REL	7.07606409750153	-0.131714620039863	0.201601010624878	0.0171858794904319	0.258074623681319
MDH1	4.4969304653005	0.0938910212685435	0.175523562886491	0.0168950174493568	0.258074623681319
FOXP1	6.47780145046745	-0.135825808962885	0.230278788437786	0.0157012189518105	0.258074623681319
TNIP1	4.2072621632402	0.0759005773643361	0.134082713690159	0.0171850608557449	0.258074623681319
MRPL14	6.28495762635218	0.142397152833482	0.225460145624333	0.0159233601961818	0.258074623681319
TRBC1	11.1215422893526	0.139648979467159	0.218785615545733	0.0155152091755936	0.258074623681319
UQCRB	26.3666397139204	-0.124801968233755	0.0855612673759112	0.0157956625538663	0.258074623681319
CFL1	80.5860936095793	0.0975063563638048	0.0546949987525891	0.0162814456140315	0.258074623681319
CDK2AP2	8.49827904373331	0.151317939981894	0.167970085987788	0.0156466905972635	0.258074623681319
TSEN54	5.19030445335724	-0.10257961070672	0.190718380020062	0.0161623825272885	0.258074623681319
RPL36	129.084410378701	-0.108254622477939	0.0664495281605559	0.0167642684161316	0.258074623681319
CSTB	7.63193733865279	0.106014765699658	0.193928187995953	0.0168808780874654	0.258074623681319
XIST	8.67505508576355	-0.0679981679906353	0.118640123320986	0.0173318955273447	0.258116328432026
SLC25A36	4.67112602420254	-0.0968112622180537	0.179000192615655	0.0179070393975367	0.258147879954889
MBNL1	24.7037143663196	-0.134599678936406	0.123424147482991	0.0176505741603516	0.258147879954889
RPL38	50.4880044976062	-0.134335670866712	0.110403546605171	0.017667453945171	0.258147879954889
ZFAS1	13.0109741871969	-0.135643712484228	0.125954061160917	0.0177642984594197	0.258147879954889
TMEM14C	3.93929623251631	0.0739481126988525	0.129993467109415	0.0181143255296063	0.259063607971036
CHD2	8.31047115909591	-0.124902329942075	0.20752010772635	0.0185092309633915	0.262627040913634
SLC38A2	6.56923624161976	-0.115527274993795	0.192350165321466	0.018884286387339	0.265855344296757
