""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	2341.13282539248	-0.615810081766798	0.111401944024792	1.44449089611595e-09	7.36979255198358e-06
PLP2	37.4993002831268	0.69180880878696	0.128518197775184	2.89180294710469e-09	7.37698931806408e-06
JUN	243.592566048109	0.755110677061711	0.143364200648608	5.81835300484729e-09	7.42130925768272e-06
CNBP	169.641016292724	0.207270194573842	0.0379639557674099	5.68121307589499e-09	7.42130925768272e-06
EIF3H	117.51579826847	0.237165333452798	0.0454528216148465	1.71893419689405e-08	1.75400045451069e-05
EID1	108.85039361428	0.202784722926211	0.038978389819387	2.17281174897933e-08	1.84761425721542e-05
FOS	153.880855715361	1.20084677657413	0.243531516103076	3.32581892325461e-08	2.42404687806358e-05
HLA-E	676.9932024573	0.182488170790053	0.0360055534345379	5.09556082429167e-08	3.24969391569201e-05
MT-ND4L	2396.83170004352	-0.30847027642761	0.0633358497238306	8.64450545160923e-08	4.9004740904567e-05
RBM3	168.36125670045	0.221583808883414	0.0454626876003785	1.08938369584347e-07	5.0527596510849e-05
MT-ND5	1230.56384407461	-0.257319654302443	0.0530760490689712	1.07103752567436e-07	5.0527596510849e-05
PEBP1	67.2241040434214	0.267686369591127	0.0555683289782385	1.21090952833951e-07	5.08533132827933e-05
FLT3LG	57.6458554175517	0.278138726119111	0.057809470808812	1.29575278846788e-07	5.08533132827933e-05
MAL	11.2419462764817	0.929921125618516	0.20737012048519	2.94643321790823e-07	0.000100218015185119
EEF1A1	5173.3674640319	0.173048853176762	0.0361728581367852	2.79829357041042e-07	0.000100218015185119
GRK2	34.8894321466915	-0.318505549035452	0.0704394165439347	3.71056622006558e-07	0.000118320680342341
RPL10	3489.82708196985	0.167844580176633	0.0366089822518869	7.00619692327246e-07	0.000209176389641626
EIF3L	97.5777233354744	0.211059186778037	0.0469079806039105	7.3798020649731e-07	0.000209176389641626
NPM1	269.470870934902	0.173421749833485	0.038442461247859	9.68728017215593e-07	0.000247122517191698
MKNK2	23.9491500944053	-0.478621301188374	0.11402271065281	9.68531278235653e-07	0.000247122517191698
RPS4X	2042.68876875694	0.139824906076237	0.0308116706155872	1.17271677666424e-06	0.000279990060310166
EIF3K	206.290945127958	0.142421326762119	0.031383221618453	1.20732679867183e-06	0.000279990060310166
RPL11	1959.78123385879	0.161014609400229	0.0360667652989202	1.33236904242734e-06	0.000288237094591101
RPL5	873.98354191875	0.19120360416411	0.0434927212242263	1.49909592973372e-06	0.000288237094591101
CCNI	210.319494888118	0.193098562085754	0.0442049815178359	1.37267026953264e-06	0.000288237094591101
IFNG	20.2862599684159	0.703390606558308	0.169272679977724	1.41583415556507e-06	0.000288237094591101
MT-ND6	291.538459227172	-0.270457015028998	0.0636228729802407	1.52536290747937e-06	0.000288237094591101
VIM	383.859537795722	0.322378992730838	0.076885386157538	1.63912538742709e-06	0.000289233059902978
MT-CO3	3647.91060034623	-0.317537678608259	0.0741902964165133	1.64401386459944e-06	0.000289233059902978
NACA	809.963509991914	0.11998583878376	0.0270568565290242	2.62780408085128e-06	0.000446901880683442
MT-CO2	5862.3669787229	-0.294542361132447	0.0717459320014098	2.87421596222496e-06	0.000473040317395862
POLR2J3.1	10.1507756159952	-0.581885482121242	0.145703119437357	3.1625615564641e-06	0.000504230908158745
MAF	17.342041448159	-0.471068689054096	0.118498523101725	3.30153601861823e-06	0.000510437477787582
RPS13	1329.87167729715	0.159421775960139	0.0381172075669888	4.80678020856146e-06	0.000721299783061193
B2M	8323.51785712814	0.0857029313237376	0.0194832112297877	5.01091362091208e-06	0.000730448036968384
ITM2B	313.945280661478	0.159093915775787	0.0387004764632726	6.50700304345779e-06	0.0009221869313256
