""	baseMean	log2FoldChange	lfcSE	pvalue	padj
ZYX	14.355176848908	0.682798008845977	0.165383649599305	2.08826287921632e-06	0.00417861402131186
UBC	44.0722451215136	0.367136870716348	0.0867953748919773	1.80493011086709e-06	0.00417861402131186
CNN2	37.1671857482727	0.476620140235296	0.119282974270114	3.85078594269672e-06	0.00513694844755742
CD99	34.2057886704436	0.427002580036888	0.117003857650023	1.59810136614695e-05	0.0159890041683003
MYB	1.25915689191701	2.21231242579404	0.688480245113684	2.71556955686227e-05	0.0193092436885749
CDC25B	9.7849990329502	0.655226130712808	0.189566850881733	2.89493908374437e-05	0.0193092436885749
KLRG1	7.45832687659571	-1.04793342348382	0.321009479943539	4.25866449236003e-05	0.0208569091312641
EIF5A	9.55617915512704	0.660138735337395	0.198921773558715	4.58673442778293e-05	0.0208569091312641
GZMM	9.61434636973413	-0.543793107825227	0.165721488238156	4.69045932487198e-05	0.0208569091312641
ID2	4.36318103296584	-0.834979891959964	0.27693036618958	8.57253180108353e-05	0.0214420451674602
IL7R	6.52827859934666	-1.01600817197147	0.317399883885816	7.0264329569819e-05	0.0214420451674602
HEBP2	2.97461456492627	1.40218346947658	0.432402129719755	6.30687373285906e-05	0.0214420451674602
ANXA11	9.81807718958158	0.554061523114726	0.172523558244002	7.52077658406315e-05	0.0214420451674602
GPR183	5.92178351132487	0.939956927437747	0.299116881477392	7.50513174252422e-05	0.0214420451674602
LIMD2	48.447393618507	0.356894116410858	0.106271183260826	5.36283409776278e-05	0.0214420451674602
PIK3IP1	4.41175984266531	0.915577236262647	0.287686931192999	8.12269364437469e-05	0.0214420451674602
RBM38	4.79281764386708	0.883151191763456	0.286139792612512	0.000102735811496299	0.0241852186828346
VIM	61.6724743389162	0.51636031100879	0.173818467510827	0.000123396522226827	0.0274351601084312
DEK	9.48865070837659	0.552784607198602	0.184370880371737	0.000142767111068487	0.0300712620261097
H1FX	7.93086684919791	0.854494039411869	0.297711080637946	0.000152045207349984	0.0304242459907319
