""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	303.728161800657	-0.69459256657774	0.150453291933441	2.12914019359301e-07	0.000970249186220335
LGALS3	8.49772950020077	0.978978036732762	0.244701680855273	2.83683696976041e-06	0.0064637330355991
RPS27	311.556145859243	-0.288435370872479	0.0776661677947295	2.68042015105386e-05	0.0100751150013801
MIA3	3.80043102673227	-0.70070048360846	0.199881527144473	1.93002124791001e-05	0.0100751150013801
FGD5-AS1	3.74551219295759	-0.7432170676504	0.218053863249302	2.53544438475543e-05	0.0100751150013801
NCK1	4.22578917646648	-0.678460237101614	0.19516767463341	2.26108068730061e-05	0.0100751150013801
PRKX	4.93567572531857	-0.681874498465691	0.194191077941695	1.81789904295615e-05	0.0100751150013801
PLP2	14.8808929158048	0.814979950841592	0.237546612155175	2.87418246692872e-05	0.0100751150013801
PIP4K2A	5.00432632353838	-0.737406183970917	0.213755950142065	2.03642837773459e-05	0.0100751150013801
ANXA11	16.4381637172217	0.419943407404791	0.115512966352979	2.27173421875744e-05	0.0100751150013801
NFKBIA	8.68017361426515	0.816681966099902	0.236092882745952	1.76513658235871e-05	0.0100751150013801
TYMS	49.2878567882782	0.372639715439187	0.100213282971384	1.68480667517431e-05	0.0100751150013801
RBM38	8.5697245965198	0.653901239261015	0.181615352368218	1.43498887185863e-05	0.0100751150013801
H2AFZ	120.376876860812	0.330452367450489	0.0928318078344459	4.03069416582504e-05	0.0131199095097605
RPS6KA3	5.14589326566863	-0.710084314306766	0.22153175760276	5.54521766377859e-05	0.0157934730586494
SH3BP1	6.46060957118099	0.576693325290593	0.172247374680567	5.20232041991091e-05	0.0157934730586494
DHX9	8.67151510770096	-0.575210105661945	0.178053416821914	6.31819779615059e-05	0.0160720658034022
PCBP2	68.6039396141641	0.248439967356003	0.0702269291383852	6.34841308890147e-05	0.0160720658034022
SCML4	3.08034708431703	-0.756222875189673	0.244845970401789	8.18350485302594e-05	0.0194789447821641
OGT	8.95426057389631	-0.556686179944213	0.178607799661666	8.54902119032879e-05	0.0194789447821641
RSBN1L	8.14601448722315	-0.452469554047028	0.143934800259465	0.000104247039856114	0.0199529378707235
ZYX	17.8757288446193	0.502114288216607	0.160244281663324	9.98513131238691e-05	0.0199529378707235
SLC25A5	77.8197018159953	0.273347516537253	0.0816330663281304	0.000117888148214697	0.0199529378707235
CELF1	4.70467107540321	-0.568592485798895	0.187063514674989	0.000113794747972459	0.0199529378707235
TUBA1B	208.669419943569	0.416146852834093	0.132122007818946	0.000118220171715939	0.0199529378707235
NOL11	3.8443626945562	-0.591207423480724	0.194150834404606	0.000112346956720333	0.0199529378707235
SIRPG	4.24794892328659	0.879312995623692	0.282150948024491	0.000109764443270412	0.0199529378707235
CDC7	3.35952439199482	-0.671083131162938	0.234431797735317	0.000155692613625685	0.0230542088805785
ATOX1	8.19958345514321	-0.459942029895193	0.153140693901718	0.000149471186882017	0.0230542088805785
TUBB	141.132404891891	0.369204618696896	0.118877612670526	0.000156831352929106	0.0230542088805785
IPO7	4.75274308105679	-0.614346310857771	0.210778618164225	0.000156802926883012	0.0230542088805785
RPL34	212.342347485687	-0.177237211551336	0.0513701803072077	0.000165498127397504	0.0235679677047008
MTF2	5.05131285881009	-0.49846120679354	0.175727333336031	0.000231766075262528	0.0243840256869764
ANXA5	30.7081348504143	0.375494903153376	0.121211694319186	0.000183483749047946	0.0243840256869764
PHF3	7.66218286786702	-0.491178992898522	0.16841764556649	0.000200683669847984	0.0243840256869764
SYNCRIP	13.6076508424967	-0.323764098647436	0.103756080927428	0.000178796848450741	0.0243840256869764
ATP6V0E2	4.16825207606241	0.61399450610407	0.210220888895501	0.000209002176152937	0.0243840256869764
KAT6A	4.21644309717902	-0.745587577278412	0.272147333054935	0.000230853324322047	0.0243840256869764
RHOG	18.6345533613564	0.306069296799841	0.0970855685649978	0.000196963340327146	0.0243840256869764
VIM	202.35693537834	0.422845517215531	0.144897884421418	0.000235439352694088	0.0243840256869764
PPM1A	3.63231473487516	-0.672198549648486	0.244446430025529	0.000203648925477314	0.0243840256869764
DUT	60.1138954047292	0.239664572862437	0.0746802148293039	0.000230219623163161	0.0243840256869764
RORA	11.2392898457514	-0.533150776518926	0.188887511949644	0.000224080878265506	0.0243840256869764
ERN1	3.11368336030242	-0.706356515396296	0.252055987080686	0.000188408739740548	0.0243840256869764
