""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	192.719566706211	-0.591345697406806	0.127032779882561	1.54587833990825e-07	0.000106356429785688
RPL35	73.2387566438134	-0.271309955053749	0.0595399394504168	4.04384314991378e-07	0.000139108204357034
TRAF3IP3	13.0089941693761	-0.475227939315932	0.111693359705921	9.60561893084958e-07	0.00022028886081415
RPS27	353.595308146007	-0.243275939005234	0.0615675272976107	7.54256019790582e-06	0.00104077958967624
MT-ND4L	206.788906044038	-0.304049763040171	0.0785368704771103	7.56380515753082e-06	0.00104077958967624
PPP3CC	7.64418501807473	0.517902763008349	0.14883649509318	2.70302281657247e-05	0.00309946616300309
DAZAP2	19.0899821264092	0.312222128757784	0.0981161470288954	0.00010059172348847	0.00988672939429537
MT-CO3	312.179525916146	-0.283512212062746	0.0895324942288662	0.000115402691636908	0.0099246314807741
CHCHD2	22.7058392650681	0.279136857892368	0.0902027441389524	0.000150783100681886	0.0115265303632375
PPDPF	32.2328468242371	0.267146170840173	0.088082246546082	0.000172998157500327	0.0119022732360225
MT-ND1	102.716148770539	-0.288825878544352	0.0971811329783183	0.000193356448835548	0.0120935669817143
YBX1	26.7988366031088	0.281250448280374	0.0958315535799617	0.000228195380190091	0.0130832017975652
LITAF	26.1038921025551	0.266034102985921	0.0940075553046365	0.000347047060525033	0.0152198234575249
MATK	9.34361405968359	0.3892579886912	0.144616344549471	0.000353949382733137	0.0152198234575249
MT-CO2	519.443908354138	-0.251790009079365	0.0889007669549756	0.000325467893143129	0.0152198234575249
MT-ND5	109.064473379239	-0.247614779181478	0.0878339624483813	0.000348990348435281	0.0152198234575249
SLC9A3R1	21.4117561566637	0.316336514775793	0.119074724451006	0.000452305435359402	0.0183050670310158
MT-CYB	237.963111079379	-0.231558329973762	0.0854367249049185	0.000603513550657859	0.023067629047367
ZFP36	25.2889738332538	0.689004835028179	0.301105591805044	0.000643068414189429	0.0232858457348593
