""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PSME2	107.081975740669	0.539856828854955	0.0862697225406665	2.45036823791305e-11	1.41239225233308e-07
VCAN	73.1004910560107	-0.563201129603568	0.0985944498402133	8.02589301646086e-10	2.31306236734402e-06
KCTD12	22.2819532058326	-0.460108116189039	0.0820260529793993	1.72076582706492e-09	3.30616474240072e-06
SORL1	14.4246243745325	-0.593100852811974	0.109421150513699	3.47441018170962e-09	5.00662507184357e-06
DOCK5	9.23544693823707	-0.674819655954121	0.12965037954166	9.53523973216892e-09	6.91374983659767e-06
FTH1	1340.74774404043	0.312482616782558	0.0577892265089404	8.34533637026353e-09	6.91374983659767e-06
PSME1	75.7721954609004	0.448411292297902	0.0834993561575505	7.12843530796868e-09	6.91374983659767e-06
MT-ND3	1125.27316248054	-0.630442258100585	0.120242894476956	9.59576660180107e-09	6.91374983659767e-06
HNRNPD	23.7208503715832	-0.533138450049359	0.103577681885973	1.6903697119888e-08	1.08258789110038e-05
CD9	3.63392988083253	-2.32994862307165	0.461086221973074	2.25434116968363e-08	1.29940225020564e-05
ARPC3	155.868881408097	0.273103076322167	0.0523439627965255	2.97352718397071e-08	1.55812824440065e-05
FYN	9.90098858570533	-0.592309583118378	0.118711410884396	3.42574872834779e-08	1.64550130584972e-05
RSRP1	36.442046680173	-0.529922104346007	0.10791713593346	5.51271599907134e-08	2.44425346297286e-05
B2M	1452.76840600361	0.282307135335636	0.0554298181643806	6.26892399123319e-08	2.56286378893251e-05
SAMHD1	87.8196107898083	-0.249571822619201	0.0490187203013631	6.66949285808253e-08	2.56286378893251e-05
MTRNR2L12	563.124629977553	-0.630108934647477	0.131940080296526	1.21381732929577e-07	4.37277692878801e-05
GBP5	10.200283892925	1.18654750754892	0.253713143208519	1.5132023124108e-07	5.13064595807991e-05
ITGAM	14.9379759856805	-0.567443097241899	0.123657371603215	2.42999497072646e-07	7.78138389514852e-05
LAP3	24.3449147386927	0.759002084104863	0.166507580555167	3.42397923511237e-07	0.000103872717427304
NAIP	23.3856251287451	-0.595268616763997	0.134256948832039	4.19986556020558e-07	0.000121040125445125
MT-ND4L	745.927984553572	-0.41408924231725	0.0910989857896663	5.81802730377645e-07	0.000159690997042702
UBE2L6	25.2462684251723	0.532677140957809	0.120678258622139	7.53578949085326e-07	0.000197437684660355
ICAM2	14.2434545824145	0.45641296002675	0.103229629896803	8.49321893936171e-07	0.000212847452028178
AHNAK	66.1080560981371	-0.417131245972274	0.0946748246783048	8.90772959139715e-07	0.000213933972353388
MPEG1	37.1561961116832	-0.330042188699288	0.0754186590202731	1.47859573038314e-06	0.000340905031597137
GAB3	5.10433865880331	-0.66393466020753	0.160025214037026	1.59798147463372e-06	0.000354260200761107
PABPN1	19.503261074693	-0.456842529657949	0.107885881245786	1.67709649637919e-06	0.000358029044634431
MARCH1	20.8173859323536	-0.455636711298846	0.109328484260138	2.09072875697242e-06	0.000421223241029663
CLIC1	99.5793399094756	0.247463263056231	0.0562281503771734	2.11927029664473e-06	0.000421223241029663
RARRES3	24.2699286240959	0.541107527570018	0.131214698590353	2.32262197629728e-06	0.000440595979192996
NEAT1	371.1044654792	-0.44525802685032	0.106642677959075	2.36961751474373e-06	0.000440595979192996
UBB	49.175810426039	0.308144726930377	0.0723155381599054	2.52576802485513e-06	0.00045495396547703
AQR	4.19429773128176	-0.816204453241688	0.206133933819252	3.24490785162439e-06	0.000566777238083726
QKI	16.9625352555025	-0.429744945108659	0.105739106961706	3.37481522276998e-06	0.000572130439530769
ZEB2	70.1626986121147	-0.405277317988242	0.0990345152337239	3.62092221972319e-06	0.000596314162128128
CLEC12A	29.6268161344791	-0.505413818866362	0.126786163944554	4.01772946313769e-06	0.000643283128486824
DPYD	24.1593095032649	-0.408732805281515	0.102588003081743	4.70989073678013e-06	0.000678695255170016
MAP3K5	4.59963928335434	-0.657598268477044	0.168626309207008	4.42005172116648e-06	0.000678695255170016
APLP2	45.5370819171556	-0.282594339031458	0.0681228981526702	4.60115028057963e-06	0.000678695255170016
NIN	12.2194387314987	-0.473101128383704	0.11907419498193	4.54888342276129e-06	0.000678695255170016
NPC2	156.023737968241	0.211183787511072	0.0497512085715313	5.22153444864384e-06	0.000734071330780076
ITM2B	150.889080797739	0.270471362922882	0.0650672569101373	5.35929917306245e-06	0.000735500010322189
GTF2I	12.9425826932484	-0.416498684710229	0.105330278922953	5.89515643039408e-06	0.00079022515499515
LRP1	27.321888040683	-0.286183379070975	0.0701736358784829	6.31031458486217e-06	0.000826651210616944
GBP1	18.0065181556553	0.720472739739433	0.188318397062862	6.63721500211073e-06	0.000850153494937027
NRGN	10.7574971631611	-0.660840299354547	0.172190619135554	7.79883333005539e-06	0.000956435644988069
MT-ND5	461.152964191027	-0.284315863198784	0.0704195736967363	7.69429349358054e-06	0.000956435644988069
GNAS	46.1028614960356	-0.298341773280757	0.074342865930418	7.99515348232651e-06	0.000960084680669375
PSMB8	31.2732851900432	0.370265705501766	0.0940480474694073	8.92900796275036e-06	0.00102933603794586
PSMB3	41.0171432066307	0.246782315051946	0.0605921873125876	8.8818688050582e-06	0.00102933603794586
PSMB9	58.8665138383059	0.541476325450584	0.141232751337087	9.18561495940049e-06	0.0010381546005095
LCP1	107.768507666928	-0.188416577150559	0.0451411659071672	9.44938204204404e-06	0.0010474276555835
FAM120A	14.7525211315014	-0.3563008660023	0.0918223106896649	1.00017503658249e-05	0.00108773753035123
PSMB10	51.6728125318307	0.325267833898349	0.0834714050481296	1.09568153681766e-05	0.0011695385885587
EIF4B	24.4147284049389	-0.292440812332567	0.0745001293461616	1.16718962550261e-05	0.00122321472752674
UBR3	3.92343987983477	-0.769354245537572	0.214776641793572	1.3261871694742e-05	0.00127402380747488
RBPJ	17.0902887543539	-0.383524035917065	0.101501286226347	1.31435817144435e-05	0.00127402380747488
ERBIN	11.3416642802664	-0.476714877789164	0.128812190765799	1.30449212473359e-05	0.00127402380747488
WARS	41.6365191842894	0.452850777588989	0.121075757200552	1.27091909249947e-05	0.00127402380747488
SLC12A6	5.57367002573145	-0.623470490911057	0.170451560975557	1.30004160605209e-05	0.00127402380747488
RYBP	5.77416011425852	-0.603197370809632	0.167212611238811	1.53385934680217e-05	0.00144937135655208
SH3TC1	6.29662380579766	-0.525005206167082	0.144984133126073	1.6967672911969e-05	0.00155240740737443
HIPK3	11.5370483011522	-0.428621019849738	0.11622738214617	1.69358799634911e-05	0.00155240740737443
VAMP5	39.7817443496153	0.47363235991713	0.128796663828337	1.83036242494557e-05	0.0016484701589666
ETS2	7.7806299053573	-0.586105943333863	0.165268004616493	1.94526142140583e-05	0.00172499797430511
RALGAPA1	3.89195786660171	-0.685324769591294	0.195740307607609	1.98217900939026e-05	0.00173110300153416
MILR1	5.08515445443814	-0.626135659440987	0.180585886668231	2.30012961546497e-05	0.00197879807515524
ZNF124	3.40628667621555	-0.727101007804733	0.210571204996748	2.37314022323396e-05	0.00198243191981457
ELMO1	7.30534592190059	-0.502182451584891	0.142039382531185	2.36870929737075e-05	0.00198243191981457
