""	baseMean	log2FoldChange	lfcSE	pvalue	padj
KLF6	13.143472560533	1.03851356302852	0.166283927400627	2.80739137933369e-11	5.78603363280673e-08
FOS	25.1720306325686	1.78882564914061	0.424246986009655	8.85796040948481e-07	0.00091281282019741
CD74	35.3945343570176	0.443597779864958	0.112339530669933	4.16760014728444e-06	0.00214735597588831
MT-CO2	477.053009179421	-0.382370959880119	0.0951478946499385	4.04007318699338e-06	0.00214735597588831
HLA-E	44.0981692299713	0.349324099000087	0.0883009395612361	5.25879373825679e-06	0.00216767477890945
FAM173A	3.53083302326632	-0.959672144097047	0.252254955576782	6.95312725707789e-06	0.00238839921280625
EEF2	31.4619215059792	0.395637719911087	0.107205754248017	1.19055001710214e-05	0.00350531940749644
TSC22D3	19.3152000426786	0.753248305766041	0.213356702664459	2.06870858711875e-05	0.00532951049756469
MT-ATP6	305.239891571491	-0.344868186389306	0.102772106646956	5.2826359930741e-05	0.0120972364241397
EEF1A1	557.311618915942	0.141010757244334	0.0385474547847815	6.1772632373388e-05	0.0127313395321553
ACTG1	47.7899815650245	0.388825920356408	0.122284983538513	7.68385094888066e-05	0.0143967425505846
AC004687.1	2.89076680262056	-0.901506099429669	0.328288189881766	0.000177173818573605	0.0260825171485857
MT-CO3	342.609189262724	-0.336761830907486	0.112174138097614	0.000176852254443986	0.0260825171485857
MT-ND4	95.1038759203386	-0.387841272838639	0.131110027545853	0.000173584128988659	0.0260825171485857
GNB2	6.14412946941443	0.601882233601557	0.211045528964139	0.000189937391053012	0.0260973975306838
ASH1L	2.53370207473667	-0.720311462402824	0.267850606845033	0.000255962541091403	0.0329711748243364
DUSP1	37.880432886716	0.91167667246083	0.35902098257669	0.000305889722723529	0.035024373251844
FOSB	2.38982833669587	1.16882876079216	0.441326592451622	0.000290962466795688	0.035024373251844
H1FX	8.9573362483442	-0.616396626152808	0.241209884529181	0.000408546829720433	0.0443165797923059
UQCRQ	5.79330894632641	-0.469189523772816	0.196758438666139	0.000627602954357087	0.046865846330989
GSTK1	12.2371659863545	0.377479407633688	0.14612581781136	0.000492576773613162	0.046865846330989
OGT	3.63755061145646	-0.584366275124005	0.245868214137446	0.000590468589343661	0.046865846330989
CD81	4.28008846769188	-0.836308215855774	0.397491815424655	0.000636702424681074	0.046865846330989
CD27	4.82476177196591	-0.632261480127395	0.273949237332464	0.000567267368194731	0.046865846330989
N4BP2L2	8.79827757911565	-0.437110138579052	0.178336380494253	0.000562491276510995	0.046865846330989
HELZ	3.28622955469374	-0.593716222896309	0.247452470950174	0.000573257793229789	0.046865846330989
ZFP36	16.8933202164261	0.700231116549167	0.291385104375271	0.000559998415273405	0.046865846330989
MT-ND3	235.734757406505	-0.508031793035559	0.2073701883857	0.000621307146639414	0.046865846330989
RPL5	94.1991759768388	0.169963770212334	0.0597389971724505	0.000721338864344711	0.0479573999811112
MCL1	6.58953334947327	0.496715084933111	0.206431456003777	0.000720745095237416	0.0479573999811112
GCHFR	2.0055464448446	-0.804139026682652	0.363460713672624	0.000691353222719472	0.0479573999811112
PLP2	3.82810714690291	0.850850301611391	0.431789201321307	0.000833838029451698	0.0537043805843734
XIST	3.71072010291376	-0.637437527564256	0.295109772264256	0.000931941614263465	0.056492107852853
SRRM2	7.16666501055967	-0.443525309705969	0.19476368799745	0.000929274582971978	0.056492107852853
FTL	66.5181380130201	-0.19473307786802	0.074208611392516	0.00108158774486823	0.0636900669192408
CD6	4.60614615969927	0.533018424595898	0.253994710995158	0.00134856576079553	0.077205389805544
LINC00861	6.7011232131313	-0.431743216309217	0.21323588053752	0.00141573177010129	0.0785688746313219
