""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL39	459.95972386522	-0.288990962151816	0.0513602403680538	1.66342149152578e-09	4.17685136522123e-06
GIMAP4	4.30817370856842	1.10838467002769	0.224510495734482	4.48667027368027e-08	3.75534301907039e-05
CD3D	7.40923879195745	1.24861206747376	0.253684533067405	3.78234567068923e-08	3.75534301907039e-05
LAT	3.71926510093831	1.3171270255474	0.271615517120531	6.03737090095724e-08	3.78995958307591e-05
LCK	5.79868712184496	1.05997200197622	0.230161956556645	2.16067892605036e-07	0.000108509295666249
MT-ND3	405.525584174864	-0.520833086790943	0.116514696370944	4.1927047905607e-07	0.000175464695484965
IFITM1	33.2415973564381	0.895725529557409	0.208449709216978	8.55269161958088e-07	0.000306797266525251
ACTB	332.114907840354	0.341935688789887	0.0809254773641481	1.56331962622139e-06	0.000436166175715768
ZYX	4.32370100221883	0.886462010845902	0.21157180255706	1.43713583111978e-06	0.000436166175715768
GYPC	8.72556311953344	0.570690893792461	0.139767379582954	2.51461840846524e-06	0.000631420682365622
CD3G	4.03946589165175	1.14488406484911	0.288684633083083	3.02698834304873e-06	0.000690978884490488
IL32	28.4708258892799	1.12346410007741	0.295004634504273	5.23860589153706e-06	0.00109617828280413
TCL1A	11.8244771268407	1.44417966587531	0.390503433837918	7.31783676856752e-06	0.00141346831737485
RPS29	132.285395658429	-0.383209377093054	0.100010969211106	8.0265464860391e-06	0.00143961844474601
AIM2	6.54586549785743	-0.793133869086488	0.215669612615048	9.66020354006422e-06	0.00161711807260675
SELPLG	3.3724641992029	0.986195490294121	0.27037666778949	1.04696010618508e-05	0.00164307301664421
GIMAP7	5.66668976666653	0.818529375408074	0.223074748596125	1.19876323582966e-05	0.00167227471398238
ITM2B	24.1067003707646	0.55103228801354	0.1492092562816	1.18526796759878e-05	0.00167227471398238
CD2	4.54581079598645	1.08276789539813	0.307776725504899	1.6999897284532e-05	0.00223222111726117
TNFRSF13B	6.29882580278983	-0.754720932209461	0.21613364531478	1.77795389666362e-05	0.00223222111726117
KYNU	3.63538531493573	-0.726882480814417	0.21119266536634	2.43247364919127e-05	0.00290854349196156
RPLP2	271.865693401428	-0.163525333841397	0.0435189871971892	3.49518487167064e-05	0.00381583009250651
AC004687.1	10.1136764526658	-0.582662892588743	0.173643566401529	3.35787474999463e-05	0.00381583009250651
CCND3	7.91914212678507	0.597188566109085	0.17770695294936	4.07872207137322e-05	0.00418031848672436
CFL1	69.6369830056261	0.23347482476925	0.0659871386174756	4.1880119355034e-05	0.00418031848672436
LDHB	23.4021771725659	0.385897189107003	0.114375321673273	4.32848588828488e-05	0.00418031848672436
MARCKS	5.30198613405915	-0.665970562357	0.210672783930619	5.76528154078384e-05	0.00536171183292897
CD3E	14.2257330249289	1.00310338189948	0.318735632052265	5.99221563750925e-05	0.00537373338063776
JCHAIN	36.6616135919212	-1.04867871024052	0.338503057826203	6.85909671294498e-05	0.00593903167110512
IFITM2	23.8406098169335	0.429999623258215	0.136022485899331	7.77076669726626e-05	0.00629432102478567
MT-ND4L	388.374516948339	-0.222069472750687	0.0652375763671215	7.68371737557328e-05	0.00629432102478567
BIN2	8.21309036053768	0.513105196051182	0.164570054861214	8.1735173231189e-05	0.00641365687448486
PIM1	3.40655567005963	0.908648341943905	0.293683842086912	8.44392934660238e-05	0.00642506260282381
RPS27	609.440595913282	-0.270395209410535	0.0826589679584552	8.86133400892047e-05	0.00654435579305862
CAPZB	18.3874787696881	0.316895738246167	0.100929181234879	0.000108918291923327	0.00781410945769928
ZAP70	4.08008988887634	0.818451632756944	0.274099584988594	0.000118219473393116	0.00824580826916981
SLC44A2	5.8361835207747	0.506618978693302	0.172383009072486	0.000159944511746922	0.0107148672050646
MT-ND4	169.192050514855	-0.276865591358106	0.0898963935221681	0.00016215251047091	0.0107148672050646
RPL37A	158.353001034176	-0.187821647130327	0.0578874213387238	0.000174134124216166	0.0110884395146221
FYB1	10.4558155873005	0.72761429215611	0.257631537858156	0.000176637825800432	0.0110884395146221
IL7R	14.8232480432082	0.972454235557818	0.354215090125331	0.00019839739183071	0.0121506305094369
MT2A	5.27099635866241	0.751395300836381	0.285847572265961	0.000250936985176681	0.0150024468994916
IL4R	5.06678432185936	0.702311224100991	0.26005982035432	0.000267276418054925	0.0156076996682771
MAD1L1	3.34127725673206	0.690220044048063	0.259093418879278	0.000293236728117366	0.0167344869159706
CCL5	19.8157951717608	1.03095077030894	0.404945442334714	0.000312843136623095	0.0174566470235687
RPL37	327.936636306715	-0.165247983202452	0.0527709853005195	0.000328240281495618	0.0179176379746847
GZMM	3.74919447531815	0.800447337050716	0.310013442058211	0.000394200587206295	0.0210603760526597
ATP5F1E	58.2606828357411	-0.209359356653248	0.0722995765066678	0.000425085434352607	0.0222372817845707
H1FX	8.25177201495266	0.659876722638574	0.265591994827635	0.000445718644993662	0.0228408064812058
SNX2	16.6651024316192	-0.318447705480298	0.120245548215019	0.000491080225212314	0.0246620489101624
REST	4.49224945542854	0.501843240246541	0.201216744164415	0.000549288541461489	0.0270443828943098
OSBPL10	3.27643002637757	-0.573674866176699	0.236100315270273	0.000588002488060562	0.0283937355292321
ZFP36L2	28.0578851048554	0.446294761217233	0.18401530006791	0.000639930353279116	0.0286940199479261
TAP1	6.24314072478723	0.488507051259821	0.203115575527714	0.000617324456849997	0.0286940199479261
JUNB	32.5986038493989	0.479985944144586	0.198774464363907	0.000632317674910674	0.0286940199479261
NOSIP	9.36798152518445	0.413131905232315	0.167122546671857	0.000634949718754386	0.0286940199479261
LEF1	2.94327948869517	0.794849493393443	0.347046125116287	0.000666781275127892	0.0293734698569498
FLT3LG	4.14680999267485	0.657751966700102	0.276970234998672	0.00068602145847015	0.0296999979692853
DOCK8	7.12270002231514	-0.385443680737429	0.159604883641644	0.00073066490797596	0.0305783263987939
CD72	4.32816085023585	0.633305400102276	0.265028462850284	0.000724265424061466	0.0305783263987939
S1PR4	7.25129502680298	0.402807733146407	0.170658097181823	0.000798811245488243	0.0328822137282128
BANK1	28.7763948717892	-0.269159083076547	0.106185021576017	0.000831498430054799	0.033021436331807
SCAF11	9.70899120628613	-0.309160534563565	0.125355686567797	0.000825079987857958	0.033021436331807
MT-ND1	196.558479312996	-0.209203242500604	0.0778910197866064	0.0008416455297633	0.033021436331807
SSBP4	6.0801166394585	0.411967307286061	0.175231833423102	0.000857725334629334	0.0331345894654501
IGHA1	14.2940567427127	-0.692881488991285	0.319512069263052	0.000892278755729046	0.0339471508429642
CD69	14.3839039059339	0.68421326838347	0.315665915558405	0.000938818821316725	0.0351846874675567
ISG15	4.3014228874536	0.591535740971237	0.272984485275999	0.000973937998943987	0.0354428741354834
NUCB1	4.72915312406082	0.46646431267486	0.206523056488296	0.000966777114723834	0.0354428741354834
HCST	13.5273550654006	0.439447432758286	0.202590461537579	0.00110534856793834	0.039650432201331
IRF1	11.771668785181	0.432576094379853	0.202137505254027	0.0012323462842255	0.043583401685778
