""	baseMean	log2FoldChange	lfcSE	pvalue	padj
HLA-A	31.6407060466806	1.08063441889588	0.260684653460943	1.68533841358412e-06	0.00505938591757952
PPBP	8.27830953088119	-0.0591046911943139	0.1269324644356	1.53956980320344e-05	0.0231089427460837
HLA-B	65.6464891177374	0.527234943380882	0.177766801513748	0.000143328355260538	0.0860543444984269
NRGN	2.77800402477964	-0.0652359723068411	0.133203095799988	0.000121775695809653	0.0860543444984269
TCL1A	12.0856017014768	1.53910684338198	0.522774618621795	0.000117850852471389	0.0860543444984269
HLA-DRA	73.9311016782812	0.471517775737721	0.177108501656265	0.000340068108128096	0.170147410100091
HLA-C	33.3562789936858	0.951697933729781	0.416900497305059	0.000582935256791039	0.238726280515437
PLP2	2.14023705581097	2.66648022109529	1.2810272314937	0.000715701707074928	0.238726280515437
NCOA4	2.49489432807824	-0.0829083580506404	0.157999605967535	0.000708311549814503	0.238726280515437
RPS14	63.3063758075799	-0.356664872197363	0.172544384068837	0.00206130871132336	0.618804875139272
MZB1	1.90139410324888	0.0373361501416015	0.108014732288039	0.00272386721953982	0.743368126641684
EFHD2	1.49829572795249	-0.0521612484129459	0.118406728892134	0.00369533993187295	0.873151904252337
RPS25	52.1095719233912	-0.331131727679686	0.187109775013518	0.00378113749343117	0.873151904252337
NOC2L	0.678301420201172	0.00702460193013228	0.0979323125291232	0.438868100082995	0.999107524705819
HES4	0.911581880328115	-2.14956380332752e-05	0.0975015860053645	0.998123582681223	0.999107524705819
ISG15	1.17466757949882	-0.0155508970453412	0.0988247587305022	0.261695566089621	0.999107524705819
SDF4	1.20363186356022	-0.00496439440105165	0.0972531729264893	0.698555879162772	0.999107524705819
UBE2J2	0.491609250650975	-0.000185604731194322	0.0975453775372922	0.9796084554891	0.999107524705819
AURKAIP1	1.48106266819175	0.0101009253040636	0.097772306386726	0.45282150575897	0.999107524705819
CCNL2	0.838346722330945	0.0154132964011257	0.0992786295377301	0.0942988911258114	0.999107524705819
MRPL20	1.10531199605361	0.023423308628811	0.101441917739095	0.0472821433426595	0.999107524705819
