""	baseMean	log2FoldChange	lfcSE	pvalue	padj
C2orf88	0.947007619356505	-0.0320682596148457	0.0732685845153097	0.000123111673353746	0.362810101373489
FKBP2	16.9604975289235	-0.607226438040151	0.20692611307734	0.00011642356277124	0.362810101373489
FNDC3B	4.93588011225009	-0.870527905059293	0.395621817514887	0.000648378370716384	0.632521545969602
TPT1	146.17823528565	-0.236118298151669	0.0970206120701867	0.000755513028870585	0.632521545969602
CIB1	4.84741622474907	0.696761658814916	0.290239375966257	0.000586079889142445	0.632521545969602
RHBDF2	1.2798130657075	-0.0278462418922936	0.0696237705106589	0.000858529414278387	0.632521545969602
IGLL5	37.4543056131484	-0.869595206747269	0.392377716881423	0.000721154994640042	0.632521545969602
MT-ND3	191.536995682885	-0.554260454124681	0.250764013440469	0.000778593660139921	0.632521545969602
LSM4	4.58147000387191	0.681628755233216	0.315396194682911	0.000979662110456615	0.641569831003477
GAS6	1.19825233992317	-0.0232875585963988	0.0666462741672951	0.00121564096816587	0.67660431895177
MT2A	4.8208418728927	0.990085378302192	0.485071234197471	0.0012627498317729	0.67660431895177
SH3BGRL3	32.5090545786064	0.276425989537051	0.151490702916366	0.00249060342388188	0.684339048777349
WDR77	1.61375828950462	0.868730602235835	0.539547404858498	0.00268635858795371	0.684339048777349
ZBTB38	7.54702011983062	-0.437916260902067	0.275977103329067	0.00274528217736957	0.684339048777349
SEL1L3	10.1741853652885	-0.468590009136801	0.273246073454295	0.00199560713957569	0.684339048777349
CXorf21	1.23855239913385	-0.0185304520675716	0.0641646064165847	0.00159829651823333	0.684339048777349
RBM3	20.1783728208658	0.302586948776715	0.150789793714209	0.00168512610438604	0.684339048777349
FRMD8	0.802614303682194	1.20522709444379	0.720358268600739	0.00234975283942806	0.684339048777349
MALAT1	433.528584710172	-0.498436443744466	0.285267378397453	0.00203001605725337	0.684339048777349
CD27	14.0294754094418	-0.728968708873073	0.40260070596316	0.00150028955449615	0.684339048777349
PEBP1	33.746348643894	0.336559652755029	0.178189782695199	0.00178789198906064	0.684339048777349
ABHD3	1.76972784258645	-0.0290178924112788	0.0702936666236538	0.00278658587897122	0.684339048777349
C20orf27	1.71040643405395	0.811097296031496	0.487515437248317	0.00244347516854716	0.684339048777349
ADNP	1.08300454189296	-0.0244869069025022	0.0672667120415754	0.00261007785002481	0.684339048777349
CREB3	2.01802896276556	-0.0381313965608028	0.078427144078361	0.00309245825692736	0.701036498704994
FOXO1	1.12110285028719	-0.0199405815885014	0.0647427326168666	0.00299277601985525	0.701036498704994
MRTO4	2.18050017848518	0.537854821038382	0.655681870405585	0.00507545950795029	0.729628252191683
JAK1	5.74077483733089	-0.387528981663444	0.31987169777701	0.00448537493912198	0.729628252191683
FCRL5	2.20462640902538	-0.0292489067491765	0.070361780500982	0.00392908000950916	0.729628252191683
HLA-DQA1	4.49038975484167	-0.571609067243407	0.520854891300711	0.00442478432807734	0.729628252191683
