""	baseMean	log2FoldChange	lfcSE	pvalue	padj
AC004687.1	11.8734194355855	-0.899590134722214	0.150602075781101	1.11851814886851e-10	4.88009468351332e-07
MT-ND3	464.795275854857	-0.587730766294627	0.103521472247563	9.25190406563292e-10	2.01830287191782e-06
IL2RG	11.6117620848824	-0.744741248418335	0.146269013603124	1.21432661050509e-08	1.76603566721123e-05
MT-ND4L	468.24758790449	-0.303054303627437	0.0610203121930829	6.23429322323041e-08	6.80005533323857e-05
EEF1D	125.406290591108	0.226800305850393	0.0468552146308326	2.27348540477519e-07	0.000174682830775758
PIP4K2A	5.18975976695715	-0.797749079521029	0.177336574809469	2.40223924972393e-07	0.000174682830775758
JUNB	99.7606810069357	0.636496998858161	0.142137138026943	3.2802359009453e-07	0.000204452417654634
MT-ND1	244.86915343192	-0.295723223186993	0.0646834842662484	4.48217296969827e-07	0.00024444650833492
MT-ND2	114.104355393698	-0.331695502609617	0.0760800169010296	9.8043187668483e-07	0.000475291586441768
TRAC	37.6387903443765	-0.371760262143634	0.0861459653102833	1.10938332200908e-06	0.000476626424239047
MT-CO1	1353.94556402382	-0.346427047054295	0.0783723571909203	1.20167102145989e-06	0.000476626424239047
MT-ND6	64.3674221015695	-0.3024610187651	0.0695580763094737	1.31217787016979e-06	0.000477086003962566
PPP1R15A	12.3119572116929	0.844528897583437	0.201675639248254	1.45943629649285e-06	0.000489809273969099
EEF1A1	1338.26970694446	0.174667044843494	0.039000963150833	1.79001272480049e-06	0.000557844679878894
MT-CO3	815.908725007945	-0.330163533752897	0.0784301194374097	2.18867738899708e-06	0.000636613296546285
CELF2	29.0187115020913	-0.402122121108094	0.0983570295752025	2.4929309625188e-06	0.000647814060477509
MT-CYB	610.846091169485	-0.275746803962065	0.0652665477574161	2.52414371490205e-06	0.000647814060477509
BTG2	9.44378559504273	0.659788743863219	0.164785442381434	3.53581755459097e-06	0.000857042888371133
MT-CO2	1243.68923990027	-0.315314920324777	0.0781386843976579	4.68879348514622e-06	0.00107669505135226
