""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS27	866.002750082247	-0.267330370842075	0.0607176136227142	5.84152555096019e-07	0.0010573161247238
MT-ND3	881.96288894261	-0.496995297940073	0.120120097851123	1.54778705646079e-06	0.00140074728609702
RARRES3	13.7989183324493	0.563141036925233	0.161559039455708	2.08601322536092e-05	0.0125856131263442
RPL34	876.826427300089	-0.155087047752177	0.0436104240978745	2.95053626737929e-05	0.0133511766098913
RPL39	1058.7345704693	-0.198440139728289	0.0580564845770821	3.73631929518921e-05	0.0135254758485849
MEF2C	36.6339437439386	-0.259011598229899	0.086440040616957	0.000115115846521429	0.0336572867277493
OGFRL1	21.6950579940005	-0.348969392244639	0.120152815951473	0.000142523697579427	0.0336572867277493
FIS1	29.3128392558455	0.22151396940642	0.0757773916830213	0.000181534669657892	0.0336572867277493
EPSTI1	13.4595059235442	0.404694286298364	0.144210918039807	0.000185951860374305	0.0336572867277493
RPS29	246.770842165196	-0.302883014899107	0.106668081617458	0.000184136472481307	0.0336572867277493
LAP3	37.2496286531679	0.335260063844862	0.120809165590203	0.000220725886043551	0.0363194412489843
PSME1	108.556904552641	0.171988225597695	0.0620376377107248	0.000345270045535923	0.0480722140323093
NDUFB1	26.8757449224177	-0.33453831149605	0.128079190552038	0.000329556391659566	0.0480722140323093
DOCK10	14.9352614469941	-0.299099165254115	0.122790640707213	0.00052120008793451	0.049651166271656
RPL37	833.201564949179	-0.159189750810661	0.0596370768540802	0.000488564992236396	0.049651166271656
PSME2	100.088714788298	0.268723805492555	0.108363081237887	0.000498778068648257	0.049651166271656
B2M	1575.93321726493	0.112146524743601	0.0392875677667032	0.000484109569838502	0.049651166271656
CIITA	33.2793935882043	-0.207460070023779	0.0810968428465815	0.000480210505260362	0.049651166271656
IGSF6	73.2471498211446	0.154032894579361	0.0574035293424779	0.000504099201269554	0.049651166271656
SNHG8	24.4222280097529	-0.22938584123391	0.0943490961364275	0.000606108570308631	0.0542973436087041
CELF1	16.1260727422118	-0.332194063237309	0.142459908177502	0.00062996917999049	0.0542973436087041
SERPINB1	55.3086955110334	0.154099731027128	0.060463645528484	0.000704485675789476	0.0561005174748472
PNPLA2	13.2398902687413	0.305254672331848	0.130665904806017	0.000712879503824026	0.0561005174748472
NAIP	30.5976379270715	-0.253634781069276	0.109532710722068	0.000756015156702385	0.0570161430679716
H2AFZ	46.4850424748337	0.179694615122636	0.0745368751034217	0.000837040543499801	0.0606017353493856
RSRP1	41.8012439149273	-0.250100071512954	0.112021602514083	0.000912486114896339	0.0611703654800879
PTDSS1	13.3074883154798	0.272350064904012	0.120841704675636	0.000906901725792704	0.0611703654800879
AC004687.1	36.7945483780587	-0.292470572892652	0.134399037571255	0.000996103281974929	0.0643909621562365
IRF1	30.4829230194827	0.263263246021688	0.131592839411405	0.00149086378587459	0.0770989557838003
HLA-A	405.160260164729	0.152415044681956	0.0671720143239866	0.00140029439111442	0.0770989557838003
TAPBP	32.4250515077609	0.197310401278203	0.0928191006486122	0.00147671653410376	0.0770989557838003
RPS6KA3	15.3024237457775	-0.250491960283199	0.122386555272414	0.00133818158320654	0.0770989557838003
SASH3	15.7581266055539	0.237831424446452	0.11513519509205	0.00145201714890954	0.0770989557838003
TCIRG1	36.6356765680667	0.229583802643443	0.106500303383282	0.00125689571850433	0.0770989557838003
PSMB10	56.788731345951	0.174941395663812	0.0782755277678125	0.00132463476987063	0.0770989557838003
RPL37A	475.348203461763	-0.138022766743179	0.0604759952285214	0.0016018006221339	0.0805349757239545
CCDC88A	55.8954751587731	-0.177254170152755	0.0839306423526843	0.00164842423431159	0.0806391314622694
RPL22	442.921597574198	-0.0888676068707368	0.0347073880406563	0.00169316515389342	0.0806481296986078
PHF11	13.8615512998439	0.23460537408601	0.11892547914246	0.00181293643085677	0.084138844611558
PSMB9	71.7919641882492	0.260430617253371	0.14667128453541	0.0022628511211877	0.0975181078416605
CELF2	34.5798509438973	-0.197167621742128	0.10479695105974	0.0022382572733954	0.0975181078416605
