""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MT-ND3	141.994890231526	-0.712409980413506	0.130865053684319	3.06856005822649e-09	6.64650108611858e-06
FCHSD2	10.4794289935598	-0.600482498012578	0.153356485720287	4.44726973895079e-06	0.00321092875152247
MT-ND4L	140.330769598842	-0.481746564931771	0.118552657586842	3.22502896125765e-06	0.00321092875152247
MT-CO1	467.676637091747	-0.459862508460848	0.118702285757125	7.78345815989798e-06	0.00337179407486781
MT-ND6	20.3542144524934	-0.489700758078479	0.126064918484131	6.87309785138856e-06	0.00337179407486781
MT-CO3	218.894165702796	-0.485009564919166	0.133900458702061	1.99493032082278e-05	0.00720169845817022
AL513493.1	2.74879857535544	-0.830593764592546	0.239623137697178	2.44891878279033e-05	0.00757765440503407
PLXNA4	2.53307376329477	-0.855736073739479	0.258003968549186	3.97970789923591e-05	0.00878947090820804
TLN1	8.9001757623059	-0.508995188356353	0.15003312636068	4.05792747378026e-05	0.00878947090820804
PTPRE	15.0033077193669	-0.368307544008645	0.104541243677973	3.68000657088445e-05	0.00878947090820804
EML4	3.03079148825112	-0.779639737866003	0.240718054132221	5.35020327000104e-05	0.00891426175601712
ATM	3.29191417614058	-0.807468688852265	0.249000576470879	5.10592103337119e-05	0.00891426175601712
MT-CYB	153.970453991437	-0.393079072977245	0.114227273571388	4.70585125308112e-05	0.00891426175601712
RPL15	91.6373078173685	0.207432877514941	0.0575014981255224	7.05165376692754e-05	0.0101825880394434
MT-ATP6	193.950775797646	-0.417227665260222	0.125638937543878	6.7201124153909e-05	0.0101825880394434
ZDHHC17	6.837010227952	-0.618688757419473	0.195350550484847	7.58613532651201e-05	0.0102697306982656
AHNAK	10.3294636328906	-0.640850313148505	0.213952411810303	0.000132609929579582	0.0136777670223512
AC004687.1	4.55056471137671	-0.701991161376308	0.237415508788581	0.000127578621499048	0.0136777670223512
TCF4	43.9130538470998	-0.423423082598154	0.13609128375846	0.000130504709331202	0.0136777670223512
