""	baseMean	log2FoldChange	lfcSE	pvalue	padj
B2M	544.417135864663	-0.183249335268635	0.0397813257689764	6.59662256191801e-07	0.00204099502065743
PSMF1	5.75671140249729	-0.738414507336952	0.178542772756923	1.34116725213909e-06	0.00207478573905917
RSRP1	19.6567431643593	0.505388369249116	0.155330838549547	4.10431750142374e-05	0.0184292608370575
VAV3	5.92723181086453	0.863803677790702	0.256748741683125	3.41161309426742e-05	0.0184292608370575
RPL37A	192.306951007948	0.218980214477222	0.0589389290666278	2.48293351078018e-05	0.0184292608370575
GPSM3	28.7622682021592	-0.332867313869538	0.0942075930741876	2.47869905285643e-05	0.0184292608370575
SYNGR2	31.403311350485	-0.362690645374212	0.108375653791372	4.16951602648359e-05	0.0184292608370575
S100A10	8.67134342136258	-0.651284595544842	0.199712784633794	5.4710005708465e-05	0.0211590947077489
GAPDH	33.5311995163492	-0.28956110352214	0.0879619002945107	6.90082622732975e-05	0.0237235070526203
RPS11	112.820014531161	0.21174036627619	0.0629532875688952	7.88372347899348e-05	0.0243922404440058
C7orf50	4.29480479699329	-0.791704425031505	0.264179969077342	9.87878086709983e-05	0.0277863163661881
MIS18BP1	8.92699126446487	0.640113504941551	0.217173787220723	0.000142280421454665	0.0314439731414809
DCXR	7.7866180863999	-0.607810567078198	0.20350640293011	0.00012812292315593	0.0314439731414809
DNAJB1	3.6524959098191	-0.774135257221852	0.259121714691636	0.000141770204489507	0.0314439731414809
LUC7L3	14.2169383917772	0.483404997062107	0.167804151978912	0.000166085663254323	0.0342579361405916
CTSH	8.60495225216721	-0.771592621430222	0.302642109714054	0.000236415005268216	0.0457167516437412
RPL37	419.759381958846	0.200775461576893	0.0654521764910511	0.000275000217586545	0.0472750027240182
SRGN	3.06736683886221	-0.710191263530146	0.266753222177314	0.000275032336468109	0.0472750027240182
LYSMD2	4.59456592492763	-0.609062805336945	0.231928581079695	0.000291556069062397	0.0474776040883714
TTC14	7.36794611729294	0.567817390644129	0.210096270334617	0.000323431806866437	0.0480920240618019
IL32	2.93198713476542	-1.15228568147839	0.414328797343598	0.000326416452908158	0.0480920240618019
GSTP1	13.5477365273114	-0.405221311494452	0.153500654775299	0.000349460433430171	0.0491468445924068
LAPTM4A	7.14216016930418	-0.505311468639614	0.204841099327992	0.000468625805327274	0.0630403583340255
L3MBTL3	3.10860503938645	0.820985128556878	0.32405764679856	0.000533335320579328	0.0671747275793493
WBP2	5.44386693510638	-0.569681423083948	0.236742138249394	0.000542782220259771	0.0671747275793493
TMEM59	9.07987480387484	-0.377200643788762	0.153483166510066	0.000588356063955113	0.0687409152588066
CLK1	7.04665504823918	0.599933321732228	0.239956880908349	0.000599872240461467	0.0687409152588066
IKZF1	15.3964444422124	0.381235580952189	0.160173490942145	0.000805372531488413	0.0889936647294697
EIF2AK3	4.23908311190387	0.80496240451283	0.333389087390253	0.000911697495814143	0.0972686914499641
CCNT2	3.15092007825764	0.806280775876561	0.361925388642116	0.00100427904316127	0.103574645318032
MDM4	9.07753894605845	0.475699208008068	0.222870119548447	0.00114590949057899	0.109135265653789
MGAT5	4.23162919646521	0.748548977871745	0.373301986806666	0.00110853605443466	0.109135265653789
URI1	3.30980722471206	0.744173256777046	0.337178252003397	0.00116401543845347	0.109135265653789
GNG2	4.18163327921165	-0.522715193221303	0.266240130918141	0.00128207774469431	0.115045521199924
SEPT1	12.537115938736	-0.341781543352885	0.15706962387552	0.00130141992307607	0.115045521199924
RBBP6	15.6550879736403	0.343215733084769	0.157602149019861	0.00140876225331993	0.118064143086453
IL27RA	3.05596636175246	-0.542174596054269	0.287892421331916	0.00143829658364591	0.118064143086453
RPL13A	177.889025492735	0.136503204268046	0.0500016993618236	0.00145004442058345	0.118064143086453
HLA-DMA	38.2959778013263	-0.210175649977297	0.0870357160831515	0.0015500226746424	0.12296846552163
TACC1	3.81345721859973	0.615372284289851	0.301791660461955	0.00168739505606145	0.127336592767173
FTL	161.590622047001	-0.153474359566508	0.0580709065580992	0.0016724723481424	0.127336592767173
STRBP	8.42726218981784	0.427283011407281	0.210647086098302	0.00181151167065508	0.133448026404924
SON	23.2792690547907	0.283777843048528	0.133006679606515	0.00198181726007572	0.142598665178471
SDHB	3.93976251451475	-0.464966106115501	0.301146289839657	0.00262635736932292	0.143161961449495
TUT4	8.23195208631655	0.421826068083412	0.245794165956647	0.00296581734256585	0.143161961449495
CCT3	7.53040616569087	-0.337211055864677	0.193492866089861	0.00310014590081324	0.143161961449495
PLEK	5.20822554164443	-0.519628953432878	0.302333236482622	0.00273993366603924	0.143161961449495
TMSB10	381.134497082748	0.139072971720224	0.0565956418756989	0.00303418328385195	0.143161961449495
ATP11B	2.77611360132061	0.705003714921359	0.3739808947948	0.00214677594360728	0.143161961449495
TAPT1	2.67766882759437	0.712079914766806	0.391518684628142	0.00247924446175371	0.143161961449495
NCR3	3.39652452896766	-0.513747143409002	0.288308894275988	0.00212220971208162	0.143161961449495
