""	baseMean	log2FoldChange	lfcSE	pvalue	padj
LILRA5	59.0439177824942	-0.611173144098171	0.0586523105773027	1.24494218487814e-26	4.18051585682078e-23
TIMP1	130.831251890825	-0.814773839700442	0.0836959493673401	1.55104966142969e-23	2.60421238154044e-20
SRGN	195.395102283477	-0.525591373483185	0.0702704943757721	4.21912835397572e-15	4.72261100421682e-12
CD14	6.43249837437562	-0.922623901121328	0.20451176160001	3.5104034916034e-07	0.000294698373120105
TXNIP	159.217368009944	0.348870014907376	0.0809249840223009	7.80905652024633e-07	0.000524456235899744
CFP	70.6472547187077	-0.300870331807756	0.0792266797904133	7.89226848653662e-06	0.00378603393968428
FBP1	15.4663352646778	-0.595745003149074	0.160441498472237	7.18271465826407e-06	0.00378603393968428
NINJ1	37.9123840085361	-0.598231659598703	0.168688996910416	1.34482731196779e-05	0.00564491264198481
THEMIS2	27.4347672657341	-0.359514019585464	0.100465415542396	1.6105267431055e-05	0.00600905422594252
IFITM3	401.629862244853	-0.456451877866298	0.130155752471629	2.07058064156309e-05	0.00695300979436886
EHD4	6.55210820297272	-0.851899271753605	0.257844849824549	2.30525713172367e-05	0.00703732131666189
NR4A1	30.4227766761963	-0.856740794345319	0.250006162627949	2.62473913391008e-05	0.00734489500972505
RNF149	46.18405684331	-0.272398912562004	0.0829967972475994	5.26232171974477e-05	0.0135929817960792
MS4A4A	15.2710838090616	-0.580546704184704	0.184015306352408	6.02708162662797e-05	0.0144563857872977
MX1	5.04066301875882	-0.852451635567642	0.283947078509016	0.000104238852871129	0.0233356045294167
PSTPIP2	9.26967542897237	0.525004904029627	0.182082700868276	0.000143907816577732	0.0302026530042516
PTGER4	8.00041831058483	0.516583047192747	0.181238425241114	0.000190622556092835	0.0376535613741024
CFD	115.93005571914	-0.256698318616134	0.0905281210815936	0.000209773607030497	0.0391344318004671
STK17B	41.2300050262914	0.283763581933762	0.102748942524769	0.000255323826698495	0.0400650379003458
CTSZ	39.7500670128321	0.302019130561241	0.109420785648362	0.000227132687472162	0.0400650379003458
PET100	23.8304127310977	0.29947463211776	0.110265558232127	0.000262486847470997	0.0400650379003458
IFI30	55.2329698622116	-0.632303193943152	0.238963884425838	0.000262272283588506	0.0400650379003458
SFPQ	21.1673204409339	0.321246774058555	0.122973823315067	0.000353029633072769	0.0493947294940982
TNFSF13B	23.3440309983178	-0.290686323014454	0.110536965093049	0.000347937844416823	0.0493947294940982
ROMO1	22.9135218493959	0.327720443676515	0.128942035141434	0.000403841291493095	0.0521576560320698
MT-ATP8	127.572376311334	0.480884693252054	0.194113085333164	0.000396991409735139	0.0521576560320698
PDK4	10.9244353275209	-0.553042903354026	0.237997933667096	0.000486384658188486	0.0579609249193606
CD63	26.7688993899694	-0.608516559732678	0.250790609225501	0.000500555932895014	0.0579609249193606
OAS2	6.54640044354917	-0.487742931999159	0.202684776830807	0.000469010418023008	0.0579609249193606
S100A6	751.582529355654	0.168637991385016	0.0652425374354901	0.00062386145107074	0.0698308917565182
ZNF800	6.85476185924687	0.442238433889532	0.192443609598662	0.000773491903550272	0.0767082777633545
ARAF	5.70726179410237	-0.461133494931377	0.207774876052706	0.000793824267082884	0.0767082777633545
CARD19	6.15247864077653	-0.573212011491405	0.274818212907421	0.000763604428594816	0.0767082777633545
PPP1R9B	8.63100895643104	0.424403125947757	0.187094888248965	0.000799520465073677	0.0767082777633545
CEBPA	10.1754584761207	0.587361345698393	0.261332501582753	0.000788222202400986	0.0767082777633545
CTSB	35.3951272198972	-0.267533876954595	0.119575698890628	0.000950015017969623	0.0815044260700384
IRF7	27.0498713068818	-0.616741264478948	0.289568457829243	0.000923132293114915	0.0815044260700384
LUC7L3	14.190386489503	0.352644786279333	0.161377681537781	0.0009272010654781	0.0815044260700384
PNKP	5.07762202654476	-0.435742780715492	0.210526312056306	0.000970868684574608	0.0815044260700384
MX2	9.33986638199982	-0.348722793938849	0.163595270648801	0.000970071364444837	0.0815044260700384
RBM38	7.01461051699736	0.460117845546705	0.217780161586755	0.00114977779312809	0.0927095172027284
LILRB2	103.426913174672	-0.168650792173887	0.0717736984517314	0.00115955917883103	0.0927095172027284
PLSCR1	9.83500724593085	-0.458913108562774	0.230039029188575	0.00126863930817426	0.0968202453829354
AC007952.4	7.02958954990143	0.63634698948003	0.307026375881212	0.00124082034495247	0.0968202453829354
C15orf61	5.4921396842163	0.456345045289743	0.221619813613871	0.00132267437945638	0.0987009014714341
CITED2	16.3922573793794	0.504939729248159	0.262554303456978	0.00147556398225523	0.105861904732246
GPCPD1	9.31561528806419	-0.321748542594533	0.166795722946269	0.00148168836283965	0.105861904732246
HMGN2	78.4927827138389	-0.170423592864139	0.0780347239219356	0.00164452105721028	0.115047952294002
IRF5	11.0879906791534	0.346114769858354	0.181469664501489	0.00168323014490512	0.115352792379416
CD53	34.3110761528376	-0.206688303177468	0.100296164202426	0.00174091909525312	0.1169201264372
RBBP6	12.6346327087472	0.30692389772833	0.159374073676041	0.00178948365409388	0.117825217851907
ATF3	5.0954711956695	-0.520048113177695	0.333278348357807	0.00197088412111678	0.120331434158367
TPP1	15.7091005716708	-0.256863036884247	0.13613922263365	0.001864015979797	0.120331434158367
ZCRB1	5.64616084864599	0.448831644154906	0.249059314003976	0.00195549700309246	0.120331434158367
RPL38	95.0217670309921	0.17895424266283	0.0867432666128244	0.00190814088734483	0.120331434158367
BLOC1S2	10.3559675636357	-0.316308857854023	0.180790409972163	0.00202506970590179	0.12143185843604
NAAA	46.8406931751522	-0.203891854991837	0.105627167415096	0.00222523481367454	0.124730770654441
MAN2B1	14.7292874641355	0.275928170224997	0.150749689684629	0.00212127288027168	0.124730770654441
PPM1N	10.9610726826731	0.49202599073096	0.289591159065147	0.00222439445122879	0.124730770654441
MYADM	18.2867934506452	-0.321745297986057	0.189078727263413	0.00222866177464755	0.124730770654441
CHCHD5	9.8682069155184	-0.278728125477156	0.160354363450305	0.00226780908737451	0.124841031400059
NDUFA8	5.30015688808896	-0.363143227528902	0.222279913962812	0.00232801800809047	0.126088459212384
