""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS29	32.3067425809881	0.913867122307528	0.21356045879333	4.9175581430002e-07	0.000436187407284117
RPL39	88.543556570457	0.358370011312266	0.0905027753101504	3.02416205826717e-06	0.000877835657923067
DDIT4	5.54245818138313	-0.773361531365668	0.194292289343735	3.95867264001383e-06	0.000877835657923067
RPS21	54.0527171944872	0.477003509109414	0.119827056606226	2.42172313060895e-06	0.000877835657923067
RPS27	148.937620701953	0.428277085981911	0.119132662787967	1.17626297708014e-05	0.00208669052134016
RPL37	81.4961058465564	0.276664293257668	0.0974432877453283	0.000192572252120155	0.0213514484538222
AC007952.4	4.16956744758393	1.53725778525942	0.627897209341811	0.000149879193068273	0.0213514484538222
CCL4	5.01959180402783	2.76767915289378	1.13912197755284	0.000186464833502461	0.0213514484538222
NFKBIA	21.5616651909597	0.754654216549925	0.30807140138874	0.00031044246951546	0.0285752895619749
RPS28	92.3987948976395	0.253414057502687	0.0941196907516387	0.000322156590326662	0.0285752895619749
RPL34	98.8113913600975	0.203710615073946	0.0803532012562828	0.000583991820289859	0.047090976781555
ID2	9.39691277537265	-0.533528452373937	0.268877119110463	0.0011349332542554	0.0838904830437114
AKAP9	2.44428991393341	-0.0381467049518936	0.0758618517303796	0.00238976506151376	0.163055508427901
RPL38	14.445569119178	0.278092896358443	0.257125213010943	0.00496960024105908	0.314859672415672
CD69	8.78382772115672	0.0242453743937088	0.0630831995188891	0.0059353530785104	0.33577890483219
RPL36	45.0427431828495	0.158751448204923	0.100592919562097	0.00605689118073849	0.33577890483219
IL7R	6.68575745144918	-0.02980584218482	0.0670287888866183	0.00785607140946157	0.366754491589074
CD3E	7.91662441752383	0.0242545641677608	0.0630942690821911	0.00764324633796768	0.366754491589074
GMFG	7.74709121715612	-0.218342581644491	0.231178596053274	0.00751053684256694	0.366754491589074
RPL37A	39.4873925053965	0.159931248720935	0.16902509623221	0.0105198316251237	0.466554532574234
TMEM123	3.72534074017248	-0.0421315718504984	0.0790839725114011	0.0110859275116497	0.468248462039681
NFKB1	2.89820141444081	0.0303173916273235	0.0672759264991244	0.0120805835893859	0.471927800840725
MCUB	2.6978966887592	-0.0351465351330384	0.0714838217023656	0.0122371357602443	0.471927800840725
ARL6IP5	4.31003037446328	-0.0399951389092262	0.0763126816120456	0.0127868344076408	0.472580088315723
TAGLN2	16.8056960768062	-0.0649388584205802	0.117197955918982	0.0139480836706756	0.494878008635572
MT2A	4.01469456681698	0.0144211837360697	0.058146211848299	0.0150296023035937	0.512740663203369
ATP5ME	3.38062401234166	0.0380655284640512	0.0741141762958739	0.0169476416032356	0.51838636091499
ACTN4	3.43165727840571	-0.0368005344461845	0.0727479995977378	0.016948370311764	0.51838636091499
RPS9	37.4771178680868	-0.126543178212973	0.150445369069867	0.016658078077976	0.51838636091499
BTF3	20.4805178379879	-0.101432270393707	0.170506559941531	0.0175520259678367	0.518954901115706
GDI2	2.71861190229409	-0.0265456500890645	0.0641846726502403	0.0184729745146175	0.528565432079539
DYNLL1	2.85809860257232	-0.030456386107647	0.0670566149307587	0.0191223209716447	0.530046834432777
SELL	23.3823055598653	-0.0521386752371138	0.0905694525758173	0.0207053415880966	0.540165823195343
SRSF2	5.06119239006256	-0.0391641947398204	0.0748524761919552	0.0202923714941659	0.540165823195343
ABHD17A	2.68216107881532	-0.0254108634023398	0.0634212101196884	0.0214769552921658	0.544287409832886
CD2	8.71747542511566	-0.040948646131243	0.0761070010648688	0.0264868147885747	0.583615281573426
CDC42SE1	3.49851903563196	-0.035634259870745	0.0709094017138281	0.0283885290343409	0.583615281573426
HLA-A	68.2938955358633	-0.0929289572146456	0.127148381743385	0.0252880010336175	0.583615281573426
RAC1	3.16783053763093	-0.0349336325832855	0.0705572015813685	0.023755362232796	0.583615281573426
RPL36A	10.9104366449014	0.04814160874171	0.0837418175689593	0.0261864046137068	0.583615281573426
RPLP2	61.5682765517437	0.0887601613120181	0.0675252264116028	0.0285796325165504	0.583615281573426
RPL13	114.221572269592	-0.0907978709224055	0.0696446355454121	0.028278022745188	0.583615281573426
PGLS	2.55856145940882	-0.028075415119992	0.0649756860368029	0.0287550925954983	0.583615281573426
EWSR1	2.736830687874	-0.0305022477106845	0.0666907631561451	0.0289504761998092	0.583615281573426
CLEC2B	3.81876168308022	0.0316331671011855	0.0675214325276181	0.0305057054199011	0.588229580596789
RPL18	60.3469795555129	-0.0887661748278534	0.0707521111497598	0.0299271583258792	0.588229580596789
