""	baseMean	log2FoldChange	lfcSE	pvalue	padj
AAK1	98.0050164119486	0.378014097620742	0.0605267327886044	1.9406007132859e-11	9.77919348308093e-08
CYBA	745.461757947241	-0.162302959251174	0.0254374335737506	2.43172783366429e-11	9.77919348308093e-08
SH2D2A	84.9777768399452	-0.723543343504001	0.123282600315605	3.99658548207545e-10	1.07148456774443e-06
RPL37A	1495.2736914765	0.331834462066479	0.0597936611669612	1.85188485816974e-09	3.72367747856481e-06
C7orf50	37.439667990575	-0.435193996161479	0.087380247279447	4.34382737170355e-08	6.98748071012233e-05
FYN	162.475980291392	-0.244856260398919	0.0498142333916731	6.88688481430384e-08	9.2318690935743e-05
ANKRD49	37.5387969471852	0.459002085913061	0.0975448891509263	1.04763059967508e-07	0.000120372755902666
LYZ	13.0109964421453	-1.26874115435164	0.274264701060514	1.95786291498669e-07	0.000196838642815475
RPL37	2956.64029343822	0.306581660741871	0.0643081130869072	2.30610379293083e-07	0.000206088808961585
CCL5	2653.89144424989	-0.186324071674944	0.0395209713618518	3.0895234832973e-07	0.000248490373761602
S100A9	11.7018737614397	-1.42828802436666	0.31712909011497	3.72841892610379e-07	0.000272615212933207
SMG1	72.9447982072111	0.236811347692627	0.0522594144738132	4.67195345932534e-07	0.000313137680611281
AC245014.3	18.3995546286133	0.983092361675865	0.226477323639959	5.96706521570579e-07	0.000369177734845551
B3GALT4	13.0999668725345	-0.549526979967735	0.127326322117869	6.94707613473442e-07	0.000399109523940493
ERP29	193.872038684044	-0.207121650106409	0.0473549101616908	1.17442034642395e-06	0.000629724189752521
SYNE1	150.317895651027	0.210609055535806	0.0488432706086865	1.33862283304845e-06	0.000633326085071099
SCRN2	27.9687341355702	-0.422866176676887	0.0997958769808378	1.327466206222e-06	0.000633326085071099
AC103591.3	8.36784873917537	0.995812815137251	0.249874152211315	1.70915389198473e-06	0.000723511829117534
RPL38	784.862641359866	0.337033872678777	0.0815217281386881	1.64765752783194e-06	0.000723511829117534
CWF19L2	20.7309495123047	0.434673957525901	0.107749069886671	2.37459125600648e-06	0.000954941873603006
AC007952.4	46.8818111556907	0.933049807697125	0.243553235001202	5.72629769759489e-06	0.00219317201817884
RPS27	6779.10621424127	0.290903664922187	0.0752758858143565	6.81745236325876e-06	0.00219331077430761
PLEC	37.2055121672895	0.406934008587802	0.107563808088643	6.75922383513995e-06	0.00219331077430761
MRPS34	67.7218101205262	-0.23315467424133	0.0592071173999034	6.3031891677989e-06	0.00219331077430761
SON	254.129257867313	0.230647585638811	0.0592127141619144	6.3524368324572e-06	0.00219331077430761
BIRC6	63.3273329080355	0.215389562306074	0.0559695344418841	9.87614040999733e-06	0.00264779324392028
TTN	10.8782240180377	1.0427635155344	0.299744443274995	9.39841327566875e-06	0.00264779324392028
GPR171	13.1491566693215	-0.701043699052588	0.185517739877419	9.59431925024389e-06	0.00264779324392028
TAF11	27.9680563409199	0.359137810605893	0.0958182285498356	8.60633887240707e-06	0.00264779324392028
CST7	957.357768613898	-0.185773294572501	0.0471492164501665	9.46960926323829e-06	0.00264779324392028
TMA7	643.757403079979	0.217201418772317	0.0588058536895411	1.38882221653178e-05	0.00310659360130922
GSDMD	54.818876056914	-0.231407351020743	0.0619440586659299	1.39049321953415e-05	0.00310659360130922
AC087239.1	17.3519023858142	0.536200267301063	0.147988263911034	1.35173241719188e-05	0.00310659360130922
NRDE2	12.069793976685	0.468185764178724	0.129384238791977	1.30712941325971e-05	0.00310659360130922
RNF167	122.723553112412	-0.150054080804799	0.0384328988952512	1.33695333713522e-05	0.00310659360130922
TSEN54	86.1940749778331	-0.250911943191639	0.0667510971226087	1.21688571616086e-05	0.00310659360130922
WDR74	26.9479674942347	0.39933507441816	0.11172575556646	1.62147957392457e-05	0.00343198952975665
TNRC6B	64.6810672615234	0.241400854478395	0.065670121841473	1.59687955498921e-05	0.00343198952975665
YME1L1	63.2169450974787	0.214629316749034	0.0582885684315372	1.84859701139281e-05	0.0037170664406581
KTN1	99.6778997892135	0.27967229590637	0.0783054139997993	1.83181906735637e-05	0.0037170664406581
IMP3	75.8202319887097	-0.228965420403882	0.0626171298384358	2.00742665117131e-05	0.00393798355009046
PPP4C	93.5029617624734	-0.168388357675199	0.045011876412433	2.13854382985145e-05	0.00409531143416553
RUVBL1	19.125599811489	-0.328848616615015	0.094662967189749	2.77374774265722e-05	0.00507028479413455
