""	baseMean	log2FoldChange	lfcSE	pvalue	padj
CD3G	10.3729338227187	0.599367802631451	0.187834171371746	6.59830586771366e-05	0.0106209833528352
RPS9	31.2319606138413	-0.432521672899933	0.134231981057795	7.2006666798883e-05	0.0106209833528352
FLNA	10.3786370482815	0.706780357482307	0.236279629772048	0.000108163832798612	0.0106361102251969
RPS29	28.7323021329485	0.649348464565115	0.244846113909591	0.000253195555351042	0.0186731722071393
TMA7	20.0248325015925	0.364024045215295	0.142743516213012	0.00059840038234318	0.0312716747583779
CD3D	22.1092169046074	0.376237359929204	0.1515416220108	0.000677363060072324	0.0312716747583779
ATP5F1E	32.1877463573117	0.376127677665895	0.15532299740547	0.000742039740029306	0.0312716747583779
RPS3A	61.538138668443	-0.267966510734486	0.111097022511235	0.0013682881749281	0.0432116869242159
RPL13	97.5961765982342	-0.233516642958884	0.0947220394554737	0.00146480294658359	0.0432116869242159
RPL23A	42.7603580256204	-0.314560651236639	0.134134248283087	0.00126580583458413	0.0432116869242159
S100A6	29.6973643973168	0.421116958554487	0.252249351418403	0.00284500023379119	0.050409577390631
RPSA	49.6691619442235	-0.313638642506716	0.145216959032223	0.00199750530172035	0.050409577390631
RPL14	52.2129700301585	-0.211271224001396	0.0936423015017084	0.00290495869708721	0.050409577390631
HLA-DPA1	9.12988569921169	-0.625842178727101	0.350723405407076	0.00248558063455371	0.050409577390631
HLA-DPB1	9.6319731273231	-0.460593151899202	0.241108911749292	0.00209620858960211	0.050409577390631
RPS26	53.8946757320361	0.506445360912858	0.329915915994326	0.00269375039393073	0.050409577390631
RPLP0	59.1608746024341	-0.351457834472318	0.171081750355777	0.002247068826728	0.050409577390631
RPLP1	166.435437618288	-0.190065901498584	0.0844861276374392	0.00369282959946042	0.0605213739911569
CD44	9.1898629906509	0.391877799553063	0.256207566015366	0.00416812318246333	0.0644975712368509
RPL18A	70.4641889953269	-0.221099529201199	0.108710807060538	0.00437271669402379	0.0644975712368509
SARAF	18.6876982518189	0.312594475824825	0.220954314505878	0.00607907549220438	0.0742504439343383
RPS6	50.4596258839595	-0.258192887152211	0.146180573942526	0.00563974330497438	0.0742504439343383
AHNAK	9.25722391314332	0.398006174068237	0.481333788809789	0.00654410692302643	0.0742504439343383
CD27	12.3334724754541	0.0803049643815628	0.148346036535973	0.00631734021200274	0.0742504439343383
RPL21	17.6694936879431	-0.0887615015236664	0.163662866192835	0.00605859891749674	0.0742504439343383
RPS19	72.8458243339617	-0.29324626339789	0.176720049899095	0.00537040132182115	0.0742504439343383
RNF213	8.64293460950308	0.378423613156798	0.502736789461022	0.00693734834981986	0.0757969541924763
RPL4	23.2087214570464	-0.258074687059711	0.170038299865194	0.00798911598819606	0.0841710434470657
S100A10	27.0835892919335	0.224044457365758	0.485917884158897	0.0111991713428644	0.113922605039483
RPS18	66.5936624267056	-0.222605725426555	0.160671833538264	0.0124690783080251	0.122612603362247
MT-ATP8	19.4373326344632	0.091065702231984	0.161821182222159	0.0136222653845133	0.129631235110691
RPL32	79.9411499614624	-0.154820958578891	0.0867198141514726	0.014213476725278	0.131030488561157
RPS3	82.1958467214733	-0.178249604438309	0.113575197242535	0.0153046963658415	0.133728209581961
VIM	36.0484948556683	0.158154038664078	0.297977661894886	0.0163193747286461	0.133728209581961
RPL26	29.4647789352333	-0.188339449533663	0.133996688891892	0.0159311240589816	0.133728209581961
RPL3	41.328784456252	-0.211404687458697	0.173930994640415	0.0160976813489274	0.133728209581961
YWHAZ	18.2223653246666	0.195020973153206	0.161721196488837	0.0175591699743707	0.136314609011562
RPS16	40.154850156974	-0.154462079540822	0.0923816823945562	0.0174819717705751	0.136314609011562
AES	19.0413422728205	0.199652342434627	0.191047595917425	0.018121915518979	0.136333734357919
FTL	21.0160755151385	0.196429808479077	0.215915778294217	0.0184859300824297	0.136333734357919
CD52	57.6015981631008	0.18399892965762	0.23121125915071	0.0195069985290477	0.137091555103782
PNRC1	11.4891393589701	0.164703693472544	0.2554488954063	0.0209122711175261	0.137091555103782
MALAT1	287.329881217427	0.0856208928649729	0.14961483329604	0.020612521204851	0.137091555103782
BTG1	18.9884073132019	0.184183664886451	0.229430893637701	0.0204872346923173	0.137091555103782
CNN2	20.3508650035272	0.189472122809808	0.205109392923775	0.0198430598761936	0.137091555103782
RPS27	107.683617314043	0.169309559034929	0.174850475320469	0.0246560552997381	0.148753853661586
GZMK	38.8711384003081	0.102249519445521	0.167597005297594	0.0255184801578523	0.148753853661586
GPSM3	13.157731409997	0.165385207226417	0.227261270691477	0.0236486770997432	0.148753853661586
DAZAP2	10.6834812497033	0.174973482544691	0.189898286081407	0.0248172908780788	0.148753853661586
RPL6	50.2491433313474	-0.144572380968554	0.0966294050457824	0.0262210182725507	0.148753853661586
PSME2	9.20933517102725	-0.112905357454873	0.188131271544855	0.026052001944917	0.148753853661586
SEPT9	9.1753025713789	0.119234892781218	0.198833913790291	0.0239790928812845	0.148753853661586
CCNI	14.1315258908232	0.148777070548659	0.193854764109576	0.0308396371476456	0.165504794517762
RPS21	48.0061256468537	0.156861101710329	0.146157788996388	0.0297707673374442	0.165504794517762
COX6B1	12.2665297309968	0.15833392299672	0.16020712661793	0.030856826096532	0.165504794517762
HLA-E	30.7769787366989	0.153797360447665	0.153085905721601	0.0317771067801111	0.166926001811815
MT-ND3	58.4720228850726	0.109030704475898	0.172115982640658	0.0322534986551643	0.166926001811815
RPS4X	93.7357578421585	-0.13136484071277	0.0896188649304323	0.0336799796709992	0.168399898354996
RAC2	29.3274874109813	0.149303949265147	0.134223543545988	0.0335658283288963	0.168399898354996
HLA-DRA	9.1206855183815	-0.0971464567703596	0.159712933558166	0.0343771683755567	0.169021077846487
TRBC2	13.0132127323999	0.0822299555626672	0.13997666334125	0.0360469949313283	0.172870487715623
RPL19	81.1832156819094	-0.11676389285758	0.0742839495926028	0.0363321025029444	0.172870487715623
TMSB10	158.43840180944	0.140417022185563	0.137566757934901	0.0383982814447221	0.177444243834092
TMSB4X	286.450646940377	0.140631234872102	0.137290767867836	0.0384963783233284	0.177444243834092
RPL9	29.4085541226883	-0.135407142281709	0.107761709650255	0.0397329628730679	0.180326523808539
RPL8	45.0903037686029	-0.128287321582903	0.101272484849053	0.0445807809694078	0.199262581605686
UBL5	9.09096096743821	0.12656972957105	0.158115206462262	0.046180143154456	0.203330481053202
RPL10A	31.7860915473408	-0.131972013941663	0.137418234691315	0.0482251468224137	0.20542133590132
ISG20	13.4938343117177	0.0910496522769605	0.144679031319507	0.0473717534448865	0.20542133590132
RPS5	32.2532808767112	-0.131253690965591	0.12989047932148	0.0494403893186228	0.20542133590132
MYH9	9.81005950051719	0.0917331966923629	0.144929131596923	0.0487469021341218	0.20542133590132
EEF1A1	210.390983737924	-0.114978918256891	0.0859993637307793	0.0527455257728217	0.2161101403192
H3F3A	28.5403279805995	0.119537161365364	0.143237095350828	0.0538568339576173	0.217640630376673
RPL37	71.3257932272876	0.116838909881409	0.0967389067926285	0.0561228112053075	0.221176341859319
RPL27A	12.3241555093051	-0.0955051396666231	0.144848429471509	0.0562312733540641	0.221176341859319
RPS7	65.7830575334967	-0.108554298130347	0.0820560362215091	0.0590088412175776	0.223836811250469
MBNL1	8.5939315055055	0.0974469102705816	0.143129345061943	0.0599427392840239	0.223836811250469
HLA-C	71.1712366345165	0.114143329981399	0.135256220366033	0.0592394165016997	0.223836811250469
MT-ATP6	111.859325685564	-0.120005549482643	0.135175792780094	0.0593035538478123	0.223836811250469
RPL29	60.0945933521824	-0.104529046726311	0.0817120772516525	0.066888309143472	0.233647781388113
RPL7A	60.3980849760292	-0.110722657521862	0.0939122470352203	0.0666281268328453	0.233647781388113
CD3E	31.3839276799945	0.110119014112193	0.125796611508496	0.0669239108766402	0.233647781388113
RPS2	74.0843679892703	-0.113121231484658	0.133035887900067	0.0660524111909934	0.233647781388113
CCL5	53.2164009770037	-0.0427913550590692	0.106103674905165	0.0673222420948799	0.233647781388113
MT-ND5	40.1943116357937	-0.114664248780288	0.122972546798647	0.0659795371935171	0.233647781388113
EEF1B2	15.6880651209294	-0.103318326587835	0.131083272693995	0.0733185176368068	0.251499566312302
RPL35	25.9939023684492	-0.102574121916785	0.130172661594846	0.0752923512707581	0.255301650860616
SLC25A6	13.8480226569644	-0.102037079076507	0.129717565933139	0.076941937988672	0.257657368527584
EIF3F	10.2497063183571	-0.100590777570475	0.128024139310045	0.0777339179625593	0.257657368527584
TMBIM6	8.7652033123338	0.0791149952639745	0.125480901658184	0.0822359712463688	0.26955123908532
NKG7	33.2202947798751	-0.0371389029209044	0.102875044797744	0.0863429916302322	0.279903104735368
LAPTM5	14.176371538121	0.0911572646765351	0.122789204550568	0.0907500925815768	0.290992144690926
MYL6	35.4722149579817	0.0985945933604244	0.0996177870303154	0.0923733354409901	0.293012193065506
HSP90AA1	12.3188155955587	-0.0836692080150966	0.122221471300437	0.0957717674992447	0.29984071637296
EIF1	41.6161999049498	0.0946062282102726	0.11200043585374	0.0965588747641734	0.29984071637296
UBB	11.7285887035192	-0.0853861420660648	0.121051545206192	0.0987665933045713	0.303501510675506
RPS12	107.050839184335	-0.0946257866136687	0.103676617410435	0.10417028853835	0.31680654761663
S100A4	49.6330630192245	0.077795437207493	0.117375450936771	0.107630819882186	0.323990733318825
GMFG	18.5219073412752	0.0819651596438733	0.116174172885809	0.110465656775828	0.325873687488693
LGALS1	14.1744641319302	0.0307072929098572	0.0999326693581528	0.109889189643748	0.325873687488693
MT-ND4	20.2996568994157	-0.07850322970817	0.115884644482387	0.115741439823821	0.338056680673538
RPS15	71.8309515017507	-0.0843621862097577	0.0753217443224808	0.117595018455427	0.340103239650498
B2M	321.676907284779	0.0859070094167133	0.100238247934547	0.122643232636193	0.351259743958029
TAGLN2	13.8626752073847	0.0641211603254733	0.111730944880905	0.127295619138862	0.356391063040487
FCMR	10.4942518348621	0.0335828400670138	0.100553317433899	0.131683477530214	0.356391063040487
RPS27A	78.7575384181763	-0.0837099759209674	0.0831794455624454	0.130094909905963	0.356391063040487
WIPF1	9.0481371554819	0.0600910803021586	0.110589512319368	0.129667309754969	0.356391063040487
RPS14	74.5471750650525	-0.0809222094617937	0.0757064631214651	0.131164556652639	0.356391063040487
DDX5	17.544126749086	0.0699975991547956	0.112714337430591	0.126210845413304	0.356391063040487
PPIB	11.4130441269831	-0.0620794743834317	0.109331544745951	0.136675063620886	0.36653767061965
UQCRB	13.7617246723282	0.0776217228280814	0.106161259448236	0.139535275081664	0.370836992334152
COX4I1	17.9488440774972	-0.080634171976344	0.0976756908304272	0.141668872443574	0.373145690811199
