""	baseMean	log2FoldChange	lfcSE	pvalue	padj
PIM1	31.8128633580034	-0.80078745380838	0.106633744975801	3.91035412871305e-15	5.41193011413886e-12
RPL38	249.172018829019	0.380106051221723	0.0808180126121491	9.76539616339509e-08	6.7576541450694e-05
RPL37A	432.002449121983	0.289127309172924	0.06771747618431	1.18072893576234e-06	0.000408439399895318
PET100	17.6813252241352	0.585490476205564	0.139249283336001	1.06071213842422e-06	0.000408439399895318
IER2	18.5016085023858	-0.552848337061867	0.13352434286281	1.47557586667384e-06	0.000408439399895318
RPS27	1759.66853089333	0.285021466631751	0.0746391897510081	7.34692063436168e-06	0.00146263057213751
RPL37	1030.15935704208	0.250680877361434	0.0653130698319432	7.39769798046428e-06	0.00146263057213751
TOMM7	139.77851661164	0.214561111766636	0.0554849611667727	8.8659967210046e-06	0.0015338174327338
MYC	20.3801492756633	-0.599230044175205	0.161336290271789	1.01536794305908e-05	0.00156141025910418
ALOX5AP	11.5863615033823	-0.555796169125667	0.17515998771486	4.83351988960746e-05	0.00668959152721673
ARL6IP5	40.4141449636694	-0.284037858408706	0.0874394641767754	6.45384909037672e-05	0.00812011558280125
SNHG8	51.7551465199284	0.389510861501254	0.126825783379232	8.18824477413798e-05	0.0094437756395058
USP15	19.4902436224468	0.387937561732511	0.127766133870509	0.000108030673972578	0.0115011117521575
ID2	14.4519650035047	-0.542671626055465	0.191065886821641	0.00014985332494771	0.0128137849870304
STAT1	17.1967608214348	0.537972282253258	0.18985747117864	0.00015710437307545	0.0128137849870304
RPS20	124.280469432391	0.15280334657629	0.0473550456317553	0.000153379730732548	0.0128137849870304
EPC1	32.6757852631278	0.273354985599078	0.0912594341337354	0.000157394757788668	0.0128137849870304
IRF1	20.9888037779714	0.578826458542163	0.226646031750893	0.000266962571697024	0.0205264555127045
RPLP2	831.936816872488	0.117405758137475	0.0372423577040534	0.000297419611192878	0.0216646706258391
AAK1	22.2792125471119	0.346999754795797	0.128746757257436	0.00033711417017426	0.0233283005760588
RPS29	421.477556117195	0.416940940513075	0.169207222716855	0.000395629064081244	0.0260738392708782
THRAP3	16.2553293265431	-0.282738102000702	0.112012364819123	0.000523475802189182	0.0326107563182508
BANF1	16.4332833200227	-0.285091846895291	0.115822001028102	0.00057753936130052	0.0326107563182508
RPS2	965.595284466319	0.106866070761409	0.0348855181765541	0.000544434030055457	0.0326107563182508
CCR7	36.3603012018463	-0.317140184078347	0.124392001359985	0.000589067130026207	0.0326107563182508
CCT8	17.5712442251871	-0.293406459198404	0.121739611157181	0.000636216444039813	0.0338662907135039
SPTAN1	11.5719067976778	0.412861986441718	0.173782395813919	0.000700047654171026	0.0358839241989889
RPL27	265.269875031155	0.117236498605824	0.0407208436300474	0.00075501422232326	0.036032402886048
RPS21	788.839608346445	0.227361736655348	0.0952619308369328	0.000738640926491571	0.036032402886048
LSP1	54.3796470673694	-0.207554251651121	0.08424188178301	0.000893723982563492	0.0399004513505765
DCXR	16.9977121670124	-0.288987911046861	0.124127745591313	0.000880074821514294	0.0399004513505765
DENND2D	20.9207263050018	-0.316033664356753	0.140176457728449	0.000996792484420495	0.0406006842393337
CD3E	182.184475744243	-0.116394967012687	0.0416741210667376	0.000997415653278429	0.0406006842393337
ARHGDIB	166.633843161155	-0.106567062535548	0.0372068341296907	0.000957587236836801	0.0406006842393337
TMSB10	824.657000350235	0.093204205621772	0.0332404073419052	0.0013951989723134	0.0495116763508141
ATP5ME	24.9852702369211	0.381000964351385	0.196201013620017	0.00129162042636093	0.0495116763508141
SELPLG	19.3098659670825	-0.306044265447256	0.143625389179933	0.00137819868103397	0.0495116763508141
