""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL37A	67.2896482595333	0.425412259587694	0.0911914690769202	1.33525446934079e-07	0.000784996102525448
MALT1	1.93765033010981	1.4246883936931	0.336289304417576	1.37314427982134e-06	0.00403635761053484
BTN3A1	1.05319247960326	1.70563626300239	0.55658987970582	0.000137914075883016	0.138404579219014
KLRG1	2.477851150395	-0.0282632491236505	0.0631872590568405	0.000141253185118912	0.138404579219014
ROMO1	9.47384669610099	0.52478598503261	0.174190933323281	8.59981330696084e-05	0.138404579219014
MT-ND3	93.0910339141676	0.464154133594931	0.15970692303222	0.000123954381347313	0.138404579219014
CRYBG1	1.68841420033243	1.0455964788945	0.393439056283503	0.000296627111496274	0.193763420942955
KLF2	23.813476881906	0.489263518453897	0.184459235087174	0.00026083816679422	0.193763420942955
SCAF4	2.09176323653121	0.894594289385091	0.334937373402561	0.000271925190556068	0.193763420942955
APOBEC3H	1.21062841272397	-0.0303963185669218	0.0651596465322862	0.000347561056944788	0.204331145377841
NFKBIA	5.47529940976928	0.8553940986111	0.358430088071327	0.0005665730228735	0.277573566789442
VPS4B	2.5476605519462	0.741007091888437	0.306008683670361	0.000546681786412747	0.277573566789442
MALAT1	283.558165532059	0.511568587277069	0.225313714113411	0.000617102053345905	0.279072536278506
CDCA7	7.74771422147834	-0.512874327410445	0.22518359272962	0.000681791841941907	0.282257047519783
PRDM1	2.32062061475938	0.987375886329863	0.44679941866692	0.000720165965775938	0.282257047519783
SEC62	3.59056414900921	0.674693653439092	0.318887874431248	0.000902714842304678	0.316904051265184
KLF3	6.13742052212674	0.655304939022162	0.318880604177147	0.000993190740978835	0.316904051265184
PDIA4	3.24332769220328	-0.550377487825323	0.261621347556779	0.00102418387039267	0.316904051265184
PPTC7	0.99728182367242	1.29729465745814	0.564190015607833	0.00101222100996066	0.316904051265184
NDUFB1	8.15781112885844	0.453058005356138	0.243890522303093	0.00134505483644433	0.359435335611646
PET100	6.3588252184591	0.491036547799832	0.261605012603928	0.0013081052280858	0.359435335611646
MT-ATP8	37.5401809183396	0.573766374499818	0.299564269914442	0.00133514046375663	0.359435335611646
PLEC	2.39131863240025	1.07245784466371	0.583429491956266	0.00153429453892122	0.364077393184795
DHRS4L2	2.07427233883335	0.717310599290302	0.382419000514499	0.00154821140153425	0.364077393184795
URI1	2.96333172587266	0.596035421354982	0.310892115740245	0.00146628719193558	0.364077393184795
IL6R	1.06277476911688	0.0181091324722861	0.0557209541231922	0.00165228193886659	0.373606366099872
SDHD	2.1931182812119	-0.603423508931389	0.323541880177943	0.00172035208290669	0.374590736866978
SELL	10.903544053988	0.573019064886968	0.340291632419641	0.00209593044927287	0.43865642705201
TACC1	3.57705844704753	0.501764744082231	0.29090821999297	0.00216380955681379	0.43865642705201
TMA7	37.4306497092151	0.200653051192986	0.105291374849394	0.00230282341500521	0.443059989669344
HEBP2	2.52132598195625	0.616539611897824	0.355505748148476	0.00233625781251058	0.443059989669344
NEMF	2.50967626676664	0.576400282494339	0.3691673912966	0.00268006893840031	0.492378915276732
ASXL1	2.96167937387615	0.503102224301334	0.338312390501894	0.00301137427621423	0.536480889995862
TNFRSF1B	3.92091153559394	0.636262415184068	0.469176252685009	0.0032908257286872	0.552764698827201
SLC29A1	1.17602582844972	-0.0247128433233844	0.0597909084986453	0.00322602327913971	0.552764698827201
AAK1	5.05322556003309	0.464693455794248	0.452351094272015	0.00360322440821398	0.557456744628684
MRPS27	1.05420773370765	-0.0231982743496547	0.0587037999428431	0.00344685932963529	0.557456744628684
PIAS1	2.9419086841476	0.490239977657548	0.372348681007752	0.00360127463554186	0.557456744628684
SERPINB1	5.45900304023824	-0.0338354708820321	0.0679718972176591	0.00389535709370777	0.587200111638667
