""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS29	86.9816966426878	0.828506555278698	0.137638419782589	6.64946151093917e-11	2.14112660652241e-07
RPL38	43.9137997382397	0.526513385116289	0.102792685915273	1.5285049202643e-08	1.64059528108368e-05
RPS21	127.924508551229	0.543907237521294	0.10548586841423	1.05544562007189e-08	1.64059528108368e-05
RPL37A	86.8020940529625	0.343675817566046	0.0680870786045892	2.64140504484642e-08	2.12633106110137e-05
RPS27	377.304694302561	0.388462853395039	0.0788952485568057	4.20264506225901e-08	2.7065034200948e-05
RPL37	180.143762763741	0.38068793566532	0.0827884746060183	2.09894905040838e-07	0.000112643599038583
UCP2	13.4729393038925	-0.482980164290302	0.122889501422651	3.76226479654288e-06	0.00173064180640972
RPS28	191.681178057819	0.351650906299724	0.0915199699246433	5.91427207202819e-06	0.00238049450899135
HCLS1	13.8980163551134	-0.388913304676746	0.104820442392391	9.52329235143266e-06	0.00340722237462368
SH2D2A	7.14574665910147	-0.698656816094456	0.193688975232882	1.21079199949469e-05	0.00389875023837291
ATP5ME	7.95295507545886	0.575237055513834	0.170965201495823	2.5963773833835e-05	0.00760030470408625
RPL36A	23.4031190808555	0.36814341485051	0.108306401961083	3.12949648136928e-05	0.00775152205385315
SCRN2	1.66788218977273	-0.976412893734688	0.288073107458989	2.96053047057268e-05	0.00775152205385315
NDUFA3	8.46558146227539	0.556171052941554	0.16904238975604	3.64493907884632e-05	0.00838335988134653
TMA7	38.0707683218559	0.267469812001326	0.0823117782725856	6.06951233121238e-05	0.0130292198043359
RPL34	225.479615711506	0.290529419068096	0.0910986205717443	7.17778513576676e-05	0.0144452925857306
C7orf50	3.03655875250138	-0.722824600448269	0.245810429714359	0.000101381714783442	0.0192028895060402
PPP1R15A	6.68972244681423	0.779660874421946	0.26107071014953	0.000116764973111783	0.0208879563011078
RPL39	223.986033908743	0.292536499351303	0.0973366362624504	0.000135804580251561	0.0230153025478961
PTGER2	4.56696569938181	-0.53883066824099	0.184096553883538	0.000145681585751904	0.0234547353060566
ROMO1	5.67591558757235	0.523856719805854	0.182839167854555	0.000173951398586131	0.0266725477832067
ARGLU1	9.73095701186507	-0.376871852885911	0.130963416630567	0.000182256593760582	0.0266757378140489
CST7	65.3653312752932	-0.285873082446909	0.10081930220633	0.000230367132404645	0.0322513985366504
RPL41	455.879670670373	0.208404463170038	0.0719537657667201	0.000262320824482498	0.0351947106180685
NME2	4.64245634659568	0.75800924109615	0.313538072297907	0.000284731899320316	0.0366734686324567
RPS23	185.154969387564	0.203839257875157	0.0725321307511234	0.000356622046557164	0.0395973444797955
CD7	23.93072823301	-0.354938238140044	0.133048362007287	0.000337495703981469	0.0395973444797955
ATP5F1E	48.8639451856503	0.229898890084455	0.0837112401184085	0.000348371587439343	0.0395973444797955
RPL36	104.176795789127	0.22468998830439	0.0813414739409426	0.000354193912774755	0.0395973444797955
CCL5	163.132730648424	-0.271463404520284	0.102755115566836	0.000458660630416793	0.0492295743314024
MAD1L1	2.75770294454483	-0.554334403720373	0.250300845734417	0.000775595538814496	0.0805618591929896
CD69	13.4863663486153	0.556783351549361	0.271595826619576	0.000981012446318313	0.0987143774107802
PSMA6	4.63354542909199	0.435029251839795	0.20643480355063	0.00112424461389781	0.109699019901544
RPS8	181.730411583541	0.217206143217953	0.0938229482171865	0.00120249658583908	0.11388350018829
MIF	19.8827949699711	0.317020010168233	0.156587745465014	0.00125507147405839	0.115466575613372
GPBP1	4.67144576949986	-0.39160398270879	0.193873991442807	0.00140355201359201	0.124348378737343
COX7C	26.9163245290163	0.217738286699863	0.0969641349975237	0.00143770585877785	0.124348378737343
RBM3	17.9988438735556	0.263282624071019	0.121491664328701	0.00146746533913635	0.124348378737343
COX17	3.90548836198165	0.472733971732278	0.25603602547608	0.00189245973294343	0.152343008501946
MFNG	3.58362271118356	-0.434478684750116	0.238422895130306	0.00188918752924415	0.152343008501946
RPS2	163.152326141007	0.175845673503511	0.0802256426190162	0.00222039443344991	0.174382196968506
GIMAP7	9.69470723902708	-0.320281233904711	0.1802153778972	0.00240457659689945	0.184350872428958
AOAH	8.11843464769081	-0.570663479311902	0.330507347174432	0.00246445015399145	0.184547197577964
SYTL3	4.82743570061239	-0.376027692259784	0.222527508425214	0.00253075528696504	0.18520527327335
RPL22	64.2129400699037	0.176186380822638	0.0837049369343414	0.00262596017132476	0.187902038925905
MPHOSPH8	6.62009246133102	-0.306231662189415	0.175045651979139	0.00273865759079086	0.189647509003335
LITAF	24.7479961211584	-0.231724205440587	0.125790944085571	0.00276814687054557	0.189647509003335
PPDPF	38.0082537438721	-0.234637321049186	0.129771165258794	0.00299187167827501	0.200704725084282
LGALS1	12.7593726109202	0.444076335999598	0.35578608645466	0.00307623861789177	0.202152823461459
DUSP1	28.345177261237	0.409372003803833	0.306052440403003	0.00331720933419726	0.213628281122304
