""	baseMean	log2FoldChange	lfcSE	pvalue	padj
SRGN	104.881353799129	-0.486531786625214	0.0997153479522311	5.36602740171775e-08	6.46069699166817e-05
TIMP1	45.3316261721048	-0.624028229826666	0.164767326353069	6.87819412527259e-06	0.0041406728634141
AC245014.3	8.11269239525323	1.43401774510778	0.406132144117135	1.22233472668269e-05	0.00490563670308654
ATP2B1-AS1	18.3975419864429	0.575421050416517	0.190070786357291	7.85927371241777e-05	0.0223593486590312
AC007952.4	16.3585132117616	1.06317929249289	0.365988266876608	9.28544379527875e-05	0.0223593486590312
THEMIS2	11.8200254646228	-0.410699607531946	0.145986706359231	0.000169597325427582	0.033654555148361
GLRX	13.1858310393232	0.365012097611615	0.130569424773228	0.000195666018304424	0.033654555148361
ATP2B1	8.69405688475983	-0.496854333375778	0.188006890482071	0.00024169120068592	0.0363745257032309
PGD	8.66696814911316	0.430600516247773	0.167724942306921	0.000350829359497252	0.0447938745482823
NAMPT	20.3522848261872	-0.456038968139294	0.184461545736684	0.000435218234897829	0.0447938745482823
RNASE6	7.56583991289205	-0.47864191915946	0.194447827174727	0.000446450576893179	0.0447938745482823
PPP1R15A	15.1275405633983	0.31755377128678	0.125047716353073	0.000390607777742897	0.0447938745482823
RGS19	10.9588002235368	0.34656958097748	0.145417572341481	0.000560023571294356	0.051866798449108
ISG15	9.02664202857374	-0.481571893369654	0.217550827720462	0.000820887450535204	0.0663422104862891
CKLF	8.13523045765345	-0.392900360783043	0.181128394796564	0.000826522555892306	0.0663422104862891
IFITM3	80.3672603928986	-0.43324807106209	0.196130377351798	0.00088181399009036	0.0663565027542996
LST1	87.1484932339742	0.182776138673542	0.0823751859993275	0.000968090816728531	0.0685636084318325
CD14	33.2474710595354	-0.402115263950101	0.198103562719138	0.00123929907880411	0.0785324258357974
MIDN	10.7668863703625	-0.377947367798708	0.191159608119766	0.00123233577513951	0.0785324258357974
MT2A	52.5597100992958	0.582985274947531	0.330458184547016	0.00147984341911004	0.0890865738304245
FGR	27.936892316332	0.186928233239482	0.0957864992746033	0.00169633569928408	0.0972565800922873
HIF1A	12.3012694722623	-0.398187220507594	0.232508217880972	0.00188583932617464	0.103206843123376
C1QC	8.30865542488735	-0.00592437523756265	0.034787152835574	0.00215154824438142	0.107936003593134
RSRP1	11.0423087197221	0.355700855189925	0.215897614434512	0.00212394564286727	0.107936003593134
ARF1	15.396749521852	0.247651059407974	0.146863937082781	0.00239864703424279	0.115518841169133
MYADM	12.8509063923728	-0.284555180004468	0.178017106292508	0.00260732343974116	0.120739131594167
PLSCR1	8.49990164807947	-0.320997805172819	0.232451240488409	0.0034225240560943	0.152619220871761
SSR1	6.55213251984303	-0.316304364655869	0.259806745583998	0.00369832452539167	0.156219856733355
TPM4	10.3251177111142	-0.297603538402676	0.23353792702352	0.00376277063560408	0.156219856733355
CD55	8.00778358059054	-0.269961530836021	0.242489178086414	0.00423552731366908	0.169985829521919
CDC42EP3	7.13966345653819	0.274263161718077	0.380243846192318	0.00509355434014088	0.197827078242891
LILRA5	13.6307432720778	-0.201513946932089	0.219055631399952	0.0053814576747551	0.202477345012661
TMEM167A	8.06176805992386	-0.233716100520701	0.365666716843784	0.00560239705957842	0.204402607870679
RPL26	92.3471009212244	-0.164324770342669	0.170436388987082	0.00642618067598313	0.227562398055402
H2AFZ	17.1725098592511	0.151619302846244	0.1768008093017	0.00696528453441195	0.23251016401814
EGR1	9.97883590560119	-0.00925396985796488	0.0357962353506289	0.00705179951024392	0.23251016401814
KLF10	13.714485421487	-0.028379188079219	0.052348806546641	0.00714524590421195	0.23251016401814
ARPC2	44.1700922286664	0.114981582710744	0.0940498565981461	0.00753636361360243	0.232661071558393
VCAN	35.159993906957	-0.0352316060999563	0.0656657872745353	0.00746984376482535	0.232661071558393
ROMO1	11.2894200199822	0.0337767395717128	0.0620610812386358	0.00798442024146836	0.240331049268198
CAP1	19.3653296688019	0.0434410115474677	0.0854856196074169	0.00896078474433399	0.250901972841352
KLF3	11.5832966045116	-0.0252147659506384	0.0480160149777637	0.00856570172923876	0.250901972841352
RPL38	51.7284491977815	0.115213071898993	0.163891145401026	0.00888564166079237	0.250901972841352
POMP	15.7395513818567	0.0241091868393399	0.046538320002677	0.0105554191799155	0.282416104280406
HMOX1	12.2340170941568	-0.0275243188125051	0.0514623853950113	0.0103505691200257	0.282416104280406
ID2	26.012277801683	-0.0230500988855483	0.0454164510138774	0.0113135996888672	0.289820723944599
ACADVL	7.81621388202558	-0.0226100363301831	0.0448968968276397	0.0111164331329632	0.289820723944599
GABARAPL2	7.65804281650844	0.0235279345161412	0.0457358875462144	0.0115717757052005	0.290258707272114
NDUFB2	18.350938968325	-0.0431524992028508	0.0818221602445147	0.0118439508684512	0.291022792767658
IFI30	23.1735857060589	-0.0116898190268354	0.0365992121942743	0.0122889233541035	0.295917274366811
DDOST	6.58228937986899	0.0191630845171846	0.0414701652867895	0.0129978384616514	0.306850931526045
CPPED1	10.9357496941571	0.0220444889666677	0.0441788170558038	0.0138312108477786	0.320245728090874
H3F3A	119.583201016715	-0.0810903146706657	0.0684828590108672	0.0144521435242752	0.320593655957786
CBX3	8.55982615686846	0.0232956654077675	0.0454154762354011	0.0145559994621503	0.320593655957786
MYO1F	19.2572010617884	-0.026972877788233	0.0495680389052793	0.0146450590346165	0.320593655957786
SLIRP	7.08631441172489	0.0209180126002577	0.0431104631465878	0.0150419193475701	0.323401265972757
UCP2	21.9612767396904	-0.0253444389087374	0.0475964059301607	0.0157236339256901	0.332127285026857
RGS2	18.6211812801822	0.0158630175700957	0.0390883618011939	0.0167856031698526	0.336251696396217
ZFP36L2	30.7212432652069	0.0220590591901025	0.0440039076518652	0.0176423376834942	0.336251696396217
SRSF3	11.8708177245855	-0.0293570039877847	0.052374774162199	0.0171816938717764	0.336251696396217
CDKN1A	14.3859740554259	-0.0148541295606231	0.038437272029144	0.0177016920759828	0.336251696396217
BRI3	22.8373055556261	0.0360385794921071	0.0618922738965815	0.0166372994591126	0.336251696396217
SARAF	19.9671243082682	0.0407808958353432	0.0722683576824531	0.0178738443267092	0.336251696396217
CD93	7.59606689287688	-0.0165594771847338	0.0395338345591006	0.0173707697789937	0.336251696396217
BAX	11.9577155451892	0.0269744537364655	0.0489975992347951	0.0197882988286176	0.366540181379316
GBP2	7.49811099205004	0.0134509350759015	0.0376052575842563	0.0219943457867541	0.383785396047129
CPVL	25.9750258921759	-0.0294791506427568	0.0523288204676865	0.0213692996160377	0.383785396047129
PDIA3	13.4583091956935	0.0226788251987678	0.0444811321230798	0.021195559522812	0.383785396047129
FOSB	24.7912061493265	0.0131958187245342	0.0374601412166443	0.0219552552229308	0.383785396047129
TXNIP	65.5482251387694	0.0321845070474594	0.0556565724968071	0.0235026817407517	0.398552518533311
MT-ATP8	49.8398718078821	0.012581654335162	0.037139606103391	0.0232140207987619	0.398552518533311
VSIR	29.3066004407379	0.0383932506564425	0.0645575841221373	0.0243261964885926	0.406788063503688
TAX1BP1	9.1942223002042	-0.0239084579942105	0.0454752058190738	0.0249536103288571	0.407975046098639
AOAH	10.0084972915527	-0.0237895280490101	0.0453469444775389	0.0250748782485874	0.407975046098639
SH3BGRL3	219.166339334948	-0.0504609219063543	0.0729053720714877	0.0295963779491751	0.427067309448929
CMTM6	13.0926206683321	-0.0238118100714046	0.0451338008047977	0.0295397273271663	0.427067309448929
RBPJ	7.69141289793739	-0.0188038143071821	0.0409064619848734	0.0290112911716732	0.427067309448929
HLA-E	52.1794536135099	0.0443205977278309	0.070407265880923	0.0290868472218355	0.427067309448929
EZR	8.45897563168608	-0.0140725071239498	0.0378657733824494	0.0286308964955271	0.427067309448929
MS4A7	19.0640177150143	-0.0240814570762429	0.0453907962602761	0.0298314859759559	0.427067309448929
YPEL3	9.59136850901649	0.0160992617010521	0.039059406458699	0.0280790714316283	0.427067309448929
ANKRD11	6.9702814056242	-0.0179240288133768	0.0402578734203577	0.0290714403364429	0.427067309448929
SMIM25	15.2800843219598	0.0203383181492009	0.0421194330298585	0.0278980781674666	0.427067309448929
C19orf38	8.46210482258811	0.0186560258630797	0.0408154538043734	0.028662344480972	0.427067309448929
RPS9	129.182774071322	-0.0482847437805082	0.0735623630742573	0.030150100750132	0.427067309448929
JTB	12.5548850473045	0.0236585915412012	0.0448328181542595	0.0330351025015208	0.441936260131456
RNF7	10.0111775500241	0.0196136751129625	0.0414482652162309	0.0328723117688937	0.441936260131456
EIF3M	11.9415425340429	0.0218520363201092	0.0432836990058057	0.0322832408915737	0.441936260131456
MYDGF	6.55166298082206	0.0167771122968015	0.0394667272474578	0.032259865560926	0.441936260131456
EMP3	72.5217439142466	-0.0282023836180896	0.0494588465091833	0.0327358057691993	0.441936260131456
CLEC10A	7.62305487576016	-0.0109793048832884	0.0363236204547243	0.0334716460195312	0.442855624258413
CD99	13.431393614588	-0.017014620359693	0.0395470209374098	0.0348503842079689	0.452875159445667
AL138963.3	6.79535075841518	-0.00981981556185446	0.0358670288457981	0.0353573629467547	0.452875159445667
PSMA7	19.7121720984066	0.0259113022188009	0.0469016140606416	0.035251738525311	0.452875159445667
STK17B	17.1870741379244	0.0224795279365145	0.043655645063891	0.0361910062853902	0.458673384922208
C1QA	16.2863027287102	-0.00502601687448422	0.0345307848513945	0.0387510058211135	0.473115406209376
PAXX	8.07914207469869	-0.0175794680647535	0.039864289448702	0.0383123687480947	0.473115406209376
KLF6	50.5210721459644	0.0220945888009233	0.0432346854802623	0.0389023465238606	0.473115406209376
FCGRT	26.6362455405587	-0.0313633412592879	0.0523069470028554	0.0387857656797539	0.473115406209376
SAMHD1	36.3827479317262	-0.0407116174769732	0.0605105009771425	0.0393258480134281	0.473483210081674
TMA7	42.8268372205038	0.0381818598973379	0.0589170190823093	0.0398762503955345	0.4753564898636
TPP1	9.74137078695011	-0.0199225257469188	0.041507971787706	0.0406142373509442	0.47634824050356
HMGB1	33.8013606752777	-0.0345197717699466	0.0552290847803978	0.0407507215713179	0.47634824050356
SET	14.9934595290897	0.0204941849987971	0.0409315990396936	0.0415753121565284	0.476730246061525
CD44	22.4475380930312	0.0271145915030504	0.0475994754239619	0.0414174203053318	0.476730246061525
NDUFB4	10.4185558211089	0.0205357212567106	0.0419071370725926	0.0420740737808374	0.477897970114417
IFI6	10.8717774722961	-0.0108612923130264	0.036249151304009	0.0426983624458784	0.480456340045211
RPL37	195.627081906135	0.0378569433976609	0.0576909672507295	0.0435305836645628	0.48083323607462
JUNB	91.2640225021789	0.0263351844379898	0.0467610638180038	0.043352102246312	0.48083323607462
CALR	13.3806955177188	0.0171683284913459	0.0394973149300942	0.0453056333780496	0.49589075079247
RPL37A	89.6144134952679	0.0305183950822292	0.0503259443147259	0.0468535286221306	0.499218127973852
NDUFC1	8.35009762965807	0.0176150376597932	0.0397946666650771	0.0464450297488394	0.499218127973852
CRIP1	11.8434113203309	-0.0119470941091363	0.0366707593627829	0.0466887466143325	0.499218127973852
MS4A6A	40.1574229042443	-0.0180076243359426	0.0399922190806846	0.0478549611808594	0.505415554927673
POLR2L	21.1026706244832	0.0361023767618847	0.0624256750870367	0.0484588989140658	0.507343602543785
NBPF14	8.46446407324658	-0.0158224110762117	0.0385973378141485	0.0496436091174557	0.515266425667385
C1QB	13.9949187603431	-0.0035042019393749	0.0342839336246007	0.0514749359212996	0.521437643786765
PAIP2	8.46191070203613	0.0172628315367635	0.0394521215355099	0.051537441537064	0.521437643786765
HLA-DRB1	265.74467372003	-0.0208944209954884	0.0411348653803081	0.0508263805032139	0.521437643786765
EIF4G2	15.8161153580449	0.0210189703643628	0.0419399093439219	0.0524146678575053	0.521989143730358
EIF4B	10.9919866979068	-0.018139220719921	0.0400030922845862	0.0528925876537406	0.521989143730358
HCK	17.8375441995604	0.0198222711181836	0.0411180834639969	0.052776586763166	0.521989143730358
HNRNPDL	22.0685388051915	-0.0259878878430649	0.0461510895596213	0.0544727021415438	0.52468106702735
HNRNPUL1	6.56544569635921	-0.0128151657662541	0.0370081096784434	0.0543136054256045	0.52468106702735
MYH9	12.2383216730085	0.0167013545604136	0.0390719125894114	0.0541282580850372	0.52468106702735
DUSP1	104.514303783843	0.0152267717020603	0.0382163783144939	0.0557903732947215	0.533108011482895
FUS	14.916648996536	0.0220708596731924	0.0427476111625085	0.056486279193939	0.535507717712619
PNRC1	34.4894679391078	0.0262754724936684	0.045950596637598	0.0572055793119115	0.538089980402668
CAPZA1	10.0635723180084	-0.0169677587967306	0.0391491646471868	0.0582434300450606	0.543605347087232
CD48	20.9273984130778	0.018355477047754	0.0399563588132939	0.0609198412056559	0.561632669052656
RAB5IF	10.1637504452005	0.0160134527948077	0.0385846148646476	0.0611078734600482	0.561632669052656
TNFRSF14	11.2864000696248	0.0182014938450408	0.0398292636860879	0.0624748844776891	0.565562112113817
PHB2	7.97682701138867	-0.0171957105556871	0.0392857611501868	0.0622488377872333	0.565562112113817
CFL1	98.2592698380891	-0.0368062962952005	0.0513040003984886	0.0637467855967329	0.572769625809451
PRDX6	7.53354213668793	0.0134475852266702	0.0371961006644568	0.0687926548287961	0.586308623352199
LAP3	11.4832464406122	0.00913355433883097	0.0355252859856197	0.0688591607028096	0.586308623352199
TNFAIP3	8.6833238420202	0.0127008680813139	0.0368902084657454	0.0663085762936077	0.586308623352199
FGL2	31.8703207828786	0.0228611984320052	0.0428535043659893	0.0672671795894393	0.586308623352199
RPL10	342.728175065585	-0.0310416774209454	0.0477773006907841	0.0697981145670472	0.586308623352199
TALDO1	18.9067610744097	0.0205996390580345	0.0412265060261343	0.0693289123798938	0.586308623352199
TRIM22	6.47486072493723	0.012884011437009	0.036945100053779	0.0706102577957383	0.586308623352199
ATP5MD	19.8375687825586	0.0178902292594952	0.0393602094010586	0.0676361949628235	0.586308623352199
BIN2	8.43249275220919	0.0156858979577473	0.0383043792885522	0.0705912931897887	0.586308623352199
METTL26	7.68796638409391	-0.0139969050947838	0.0374619649222195	0.0682824716365623	0.586308623352199
