""	baseMean	log2FoldChange	lfcSE	pvalue	padj
DUSP1	93.8879901643286	0.789841493353283	0.199308321123247	2.69170779480037e-06	0.00237139456721912
PPP1R15A	12.9206743461636	1.23678217107747	0.306602012117378	1.98394953131411e-06	0.00237139456721912
RPL37	228.825030072511	0.260530641404907	0.0694488261643683	1.17168673627241e-05	0.00412902405862397
LPXN	4.05515974053658	-0.857875848847396	0.235942075197987	9.22184173187702e-06	0.00412902405862397
CYBA	38.6011352928647	-0.326892209737262	0.0877210647318168	1.04751198108735e-05	0.00412902405862397
RPS27	415.600149571668	0.265759971930039	0.0746199919717622	2.54586194090187e-05	0.00560726092483636
RPL37A	105.936675291525	0.28937464600415	0.0811649820805097	2.2352206966344e-05	0.00560726092483636
P2RY8	8.52002588211292	-0.615919053982757	0.181659044841658	2.02872909792185e-05	0.00560726092483636
SH2D2A	8.59050717801092	-0.714396367902232	0.227660501616215	5.17531302690907e-05	0.0101321128371264
HLA-DPB1	3.96841153207485	-0.688532919897545	0.24422640756547	0.000170922056763228	0.0301164664016808
B2M	744.848745176063	-0.0969278566003649	0.0283115087983655	0.000189400456544976	0.0303385094938407
RPL38	50.3740511431798	0.311790132024327	0.110367100747412	0.000247299687414904	0.0363118374354218
TRGC2	3.3247312429624	-0.769022086047801	0.310582488162828	0.000335102263502354	0.0454192452531652
TRAT1	3.89085603488848	-0.60416036712753	0.244758419848702	0.000372297412747183	0.0468562886614669
MYO1F	7.06181797609106	-0.509367959062209	0.213844373315832	0.000464285766070401	0.0545381013210698
TNIK	3.16219362029041	-0.61252867074522	0.267320297369949	0.000551028726975655	0.060682038558194
MYBL1	13.2462660328526	-0.405368183262703	0.180279949369495	0.000843553148150155	0.0782284551073986
NFKBIA	38.1165863809344	0.691966760006147	0.327589726638669	0.000806127853369876	0.0782284551073986
FOS	71.9403054391121	0.767437110853097	0.368093282712304	0.000787849570647811	0.0782284551073986
CCSER2	3.7693126894181	-0.493480229938626	0.253076127414102	0.00129417658256667	0.114016956924123
STUB1	6.44789078528228	-0.384267467795851	0.19579157262578	0.0013753995338027	0.115402570407636
IL7R	82.3162998027192	-0.265743807845071	0.121890420828324	0.00163874817324855	0.125542360054954
CST7	41.0554497356784	-0.231728388197014	0.106625705842404	0.00159117334088945	0.125542360054954
SNHG8	10.9809683990276	0.373183842763101	0.194805288249471	0.00191456344711685	0.138225703281322
PTPN2	3.55745845303056	-0.480717964677552	0.282925762046704	0.00196120464360559	0.138225703281322
TSC22D3	44.218304810793	0.457083182230106	0.274165798786123	0.0022576627617415	0.151113671793062
RPS29	106.37899874341	0.334588978836591	0.189484739730801	0.0023155897493829	0.151113671793062
ARL6IP5	9.79718891884408	-0.29936121053976	0.174316095443649	0.00271447136535688	0.168951573372488
MCUB	4.91820520407723	-0.39537854774974	0.258537459393999	0.0027807012643599	0.168951573372488
CAPZA1	4.69649506941796	-0.355336046833577	0.259754344843556	0.00349655302939458	0.171470683634479
HLA-DPA1	6.0397263865242	-0.383643912167652	0.26325979089003	0.00334262783422311	0.171470683634479
N4BP2L2	10.8443093307689	-0.285964198947367	0.185153653242737	0.0035033737859485	0.171470683634479
PPIB	26.2966445505403	-0.194983581551168	0.0995774458216561	0.00311341837437818	0.171470683634479
PPDPF	33.2122075254629	-0.208077445778386	0.110499786163734	0.00337180038535567	0.171470683634479
ABHD17A	4.672616488859	0.496198385900852	0.301982991479975	0.00331177569397075	0.171470683634479
FTL	90.9683397779304	-0.164621461698072	0.0786883392462758	0.00332795147359031	0.171470683634479
TUBA1A	6.90326940338212	0.478333582319118	0.33279665974061	0.00371763168289768	0.177039649331506
PBXIP1	8.59789234706259	-0.290539988053034	0.23069240718992	0.00478538443422658	0.197567307711613
SLC4A10	8.65025705054959	-0.311641470693402	0.262182024084208	0.00482144962065797	0.197567307711613
SKP1	16.0960537349726	-0.226903762122208	0.143192515238669	0.00454323322979403	0.197567307711613
FYN	11.5496576652417	-0.263956123780042	0.186330635440911	0.00441911347757425	0.197567307711613
RHEB	3.09143810354391	-0.0595067570360801	0.109784092905343	0.00472057501340252	0.197567307711613
HNRNPA1	47.8678430005767	0.160184452231111	0.0819787701210129	0.00479343951279667	0.197567307711613
PDE4B	4.41804167819786	-0.404409779010015	0.49946617489726	0.0050191750305475	0.200531868432857
SP100	7.3313393768447	-0.271176916709732	0.226845310320009	0.00512141548211042	0.200531868432857
DDIT4	16.6477051518737	-0.30399404242692	0.261908909074118	0.00543084116972064	0.208024829153212
