""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPS29	154.854099045119	1.00168491875357	0.112067668507011	2.41057334837064e-20	1.57892554318277e-17
RPS21	248.172703456189	0.67622907821945	0.0804730011393698	3.08994194891293e-18	1.01195598826898e-15
RPL37A	159.928072115752	0.455012543568032	0.0556424520586184	2.41021614845005e-17	5.26230525744929e-15
RPS27	644.44249471537	0.642272752624213	0.0797695254260302	4.88701261433446e-17	8.00248315597268e-15
RPS28	374.074408709764	0.517912543625308	0.0688840169545537	3.86926356443188e-15	5.06873526940577e-13
RPL38	80.6243251461676	0.6412210914113	0.0877291244583903	2.02324438317428e-14	2.20870845163193e-12
RPL37	336.738946119362	0.444089294304283	0.0621476192632014	7.65133633965687e-14	7.15946471782179e-12
RPL34	425.930054848391	0.404646000102449	0.0575868633720988	1.75830670345239e-13	1.43961361345164e-11
RPL39	475.626706348597	0.469512897716839	0.0774771105183903	9.57450461825197e-11	6.96811169439449e-09
RPL36A	39.9988263703955	0.524949305175868	0.109934616761752	1.21463814174698e-07	7.9558798284427e-06
RPL35A	249.202731471774	0.321835723798817	0.074707357229085	1.48214218252942e-06	8.82548299597064e-05
SNHG8	11.8361178663727	0.835883445437923	0.201862431196551	1.72112445998665e-06	9.39447101076047e-05
RPS8	493.23382242028	0.234433761819704	0.0570448371142717	5.25941490192688e-06	0.0002649935969817
RPS23	417.608304262546	0.244727725553875	0.0658977817589909	2.51329751431943e-05	0.000948282094548938
RPL30	480.880781515438	0.246280536949771	0.0664308015197419	2.54906093710466e-05	0.000948282094548938
RPL41	833.962358192613	0.219061220854785	0.0575198869697162	2.07606345807928e-05	0.000948282094548938
RPS2	315.315594495589	0.251868702375916	0.0682875463984241	2.60596606135586e-05	0.000948282094548938
RPL36	208.185875301844	0.246195117681438	0.0660803336706473	2.46778850329279e-05	0.000948282094548938
RPL32	457.015875663398	0.232010798505348	0.0628259503337867	3.06010566122097e-05	0.00105493116215776
RPL22	131.186467636172	0.237921764070836	0.0721752501029781	0.000121959936297945	0.00380398848929303
RPL23A	223.296063114094	0.209476705490696	0.0619878461238492	0.000119663253165113	0.00380398848929303
HLA-DRB5	55.8887808869469	-0.589085096327537	0.206929275068244	0.0001963034823345	0.00559038177952597
ARPC3	53.3031559208852	-0.263349247758159	0.0843958770522673	0.000190138245243125	0.00559038177952597
ATP5ME	10.0503276759066	0.496690517779889	0.172035720922084	0.000226943848655636	0.00580943738721025
RPLP2	274.222489042587	0.209037669569344	0.0659603984787544	0.000230603621477048	0.00580943738721025
RPS15	281.283101688917	0.178611752699172	0.0543287701587302	0.000216283727954478	0.00580943738721025
RPS27A	394.022888205232	0.207241571026041	0.0670277320919674	0.000306787322614984	0.00717663201117194
RPL13	492.667714960539	0.153565453512295	0.0471889056286424	0.000306088833814763	0.00717663201117194
RPS12	580.889297388766	0.248480783556201	0.0848449977935004	0.00035254753538208	0.00796271157500905
RPS15A	411.374730434809	0.193320334973781	0.0640606221496685	0.000440229929662284	0.00961168679762653
RPS6	263.21628445386	0.198424895292096	0.0672500510937831	0.000523529997223376	0.0110616821993971
CYBA	71.4722883503491	-0.229407441962964	0.0803747396360737	0.000560547383990877	0.0114737042660633
LSP1	43.5308323917876	-0.292334606702593	0.110124939960297	0.00066023174828811	0.0131045998523852
RAC2	39.5301094271179	-0.261608986581686	0.0981881821298591	0.00075914264374937	0.0146246597545835
PRDX1	9.81631033615628	-0.481159894133716	0.20279589867983	0.000838583206980427	0.0156934857306337
HLA-DPA1	149.039659556771	-0.271400438080983	0.105917529762478	0.000937744757002067	0.0170617448843432
RPS5	176.330499530564	0.256344173490563	0.100264399927513	0.000982584805573875	0.0173944066932672
EPC1	14.4385768217148	0.376291077265696	0.159963955938533	0.00105274457750537	0.018145992059632
TMA7	39.3823714958476	0.239341293646381	0.0926681123820893	0.00113448978956012	0.0188364560456616
TKT	9.97677557812844	-0.463492005265572	0.207103556160057	0.00115031792645262	0.0188364560456616
HLA-A	176.724271003566	-0.247111424167133	0.0990429244384493	0.00125325519512591	0.0197080558093179
GABARAPL2	12.5879227489055	-0.335453876292482	0.145110490248172	0.00126372266258222	0.0197080558093179
RPL35	114.39879038278	0.171292269213688	0.0621966849221656	0.00130021772129369	0.0198056420336597
UQCR11	15.6188836650336	0.323447214280061	0.139447453187229	0.00145443318840379	0.0216512213273746
CD74	1174.97326236809	-0.21706680362353	0.0880229292059941	0.00183049102493654	0.0254731943608866
RPS14	364.438643303138	0.170376964724404	0.0651773344569885	0.00182101784779709	0.0254731943608866
ACP5	9.46448809868629	-0.390074880213139	0.195311102506372	0.00186673790736268	0.0254731943608866
RPL18A	375.216739231627	0.143724907148262	0.0523731699542543	0.00179064764402405	0.0254731943608866
ITGB2	13.3233884072299	-0.385147592989711	0.207356233825524	0.00275555352721889	0.0360977512065674
MT-ND3	332.149761407641	0.343370560643763	0.183712939013164	0.00272981497106172	0.0360977512065674
EEF1B2	117.500608914536	0.238363469908812	0.110426993789595	0.00298634608879113	0.0383540527089841
RPS13	304.757471265537	0.175000235293328	0.072871285190919	0.00307584981904654	0.0387438775283747
RPLP0	185.567730490124	0.19326337904954	0.0844164345170089	0.00341154148390922	0.0413807346659359
RPL23	35.1742743274426	0.211878850757906	0.0953326872324881	0.00338330822910479	0.0413807346659359
HLA-B	299.388312937778	-0.189426629857494	0.0832428862286093	0.00366174151407718	0.0436080125767373
RPL5	170.371183985944	0.18025354392528	0.0782813805340488	0.0037522393660831	0.0438877997282934
TXNIP	99.8507567757714	0.438650571450125	0.319549598336989	0.00404115167005563	0.0458300148825706
HLA-DQB1	66.6413336554192	-0.277845838960631	0.146679309514536	0.00412819981384987	0.0458300148825706
MS4A1	127.074211081204	-0.285625741740008	0.153338049856123	0.0040625744859232	0.0458300148825706
GNG5	12.6320423075497	-0.281665746341579	0.155325463322515	0.00454582285706444	0.0466509840873072
RPS7	257.296719504549	0.111388088916247	0.0433984936051486	0.00442428571622838	0.0466509840873072
RPL12	286.378738688494	0.15347493273109	0.065401518299903	0.00462948697049613	0.0466509840873072
ATP5F1A	11.6349098637091	-0.281902909288812	0.158683230953335	0.00460085992346581	0.0466509840873072
RPL17	20.5206396743894	0.321693384687923	0.19398250180628	0.00446376831123898	0.0466509840873072
RPL28	444.452545996171	0.14299364269977	0.0593078159707501	0.00452649703580204	0.0466509840873072
TRIR	22.5380903157387	-0.237420944609092	0.122121057344353	0.00475100766764275	0.0471501518531212
RPL6	188.941495446256	0.135691356702692	0.0561890025933747	0.00497012279213538	0.0485885138634131
TPT1	279.753483314216	0.2025418593531	0.101543596640953	0.0056976648478734	0.0540865286283634
ANXA2	9.60529004990314	-0.385077080363132	0.265796682866934	0.00569685831530533	0.0540865286283634
SLC25A5	19.7658475142763	-0.252439556766829	0.142203253847862	0.00597869018926884	0.055943458199587
RPS3	322.279849544256	0.174799098263816	0.0832765543576666	0.00627433658815018	0.057882964299132
RPL9	194.061035332151	0.164041469464912	0.0766488385046748	0.0066053706338957	0.06009052451669
RPS20	46.9102858497665	0.211504153486874	0.112407852258723	0.00692823466294778	0.0621297739815655
COX8A	12.4104347830738	-0.253172542374932	0.154157647112069	0.00701924164066542	0.0621297739815655
CAPZB	17.9023019780502	-0.229339915866023	0.13643119682124	0.00786284653957589	0.0686688597789627
HLA-DPB1	145.217172321397	-0.261290192120778	0.170393213356308	0.00807887398343655	0.0696271376204071
SNX3	24.5591506543228	-0.211267593563269	0.120189130278858	0.0082743491747317	0.070113001321573
RPL10	608.719235220293	0.150694366289763	0.0715459870374877	0.00834933450852319	0.070113001321573
PFDN5	72.2555763345361	0.163429850915118	0.0813741926735196	0.00911311671040811	0.0755581195609786
TAGLN2	60.1528144912018	-0.26158276217894	0.179295700561339	0.00936415114117553	0.0766689874683746
