""	baseMean	log2FoldChange	lfcSE	pvalue	padj
BTG1	34.6133662862722	-1.01768866494279	0.1977387284707	1.16467297680146e-08	3.14461703736394e-05
IGKV3-20	18.3773385176291	7.35932556248492	2.83512489928635	1.87732115098602e-06	0.00253438355383113
MYC	4.05742725861366	-2.37963154950732	0.628116898645441	6.09696946731564e-06	0.00548727252058408
TSC22D3	27.5600955086138	-1.00785671469059	0.293889551170343	2.49787698539207e-05	0.0168606696513965
TMSB10	85.1215464562328	0.651007774357864	0.208529312963545	7.70421298689399e-05	0.0363563362958302
MT-CO2	139.771181113306	0.629609377156877	0.203708252720922	8.07918584351782e-05	0.0363563362958302
IGKV4-1	15.9564726115598	0.00957016563790959	0.0988922119860762	0.000305000390568958	0.117643007790884
COX8A	2.09022691698019	0.0287002962992853	0.104066942005737	0.00230189011668851	0.776887914382372
SH2B2	1.16379490532902	-0.0306618849477045	0.10504672882296	0.00273256970713318	0.819770912139956
IGKC	7.20919774228202	1.28560931409361	0.838541743102978	0.00383229454387944	0.940654115315863
CXCR4	16.5179902598043	-0.667049151022116	0.482489389346688	0.00365516598238178	0.940654115315863
NOC2L	0.730126768041233	0.000392769540935022	0.0978940683076625	0.973717503128106	0.997138415555389
ISG15	0.761380524601105	0.0076463957428607	0.0983413917856865	0.358579787197389	0.997138415555389
SDF4	0.826517506732512	0.00130150604988443	0.0979163011978464	0.856972937356406	0.997138415555389
INTS11	0.871431055986329	-0.00281563792075693	0.0978823219153106	0.744141390291369	0.997138415555389
AURKAIP1	1.12757859599461	0.00134315699637208	0.0977692275032251	0.884870852882362	0.997138415555389
MRPL20	1.42087818674363	-0.0114648240259528	0.0986464276792428	0.270529666901238	0.997138415555389
SSU72	2.61626463284586	-0.0167810460372517	0.0992345564627014	0.246028117374657	0.997138415555389
CDK11A	0.849724067760068	-0.00297590741149099	0.0978890855298129	0.73060754264283	0.997138415555389
NADK	0.915623519943029	-0.00232430095304835	0.0978980458242297	0.776301679918605	0.997138415555389
GNB1	0.845221391352627	-0.0101513805977769	0.0986305365298906	0.229619046415596	0.997138415555389
FAAP20	1.35975960187967	-0.00548466266972631	0.0978821624540501	0.595689359805648	0.997138415555389
RER1	0.912650847403438	-0.00192225121342896	0.0978474531657508	0.823956190414308	0.997138415555389
TNFRSF14	2.29235009739864	-0.00235393650599922	0.0973102815694145	0.859239986502566	0.997138415555389
RPL22	26.6956217767546	0.0707095397896159	0.121677235186473	0.103503174107342	0.997138415555389
CAMTA1	0.646272322485301	-0.00808601722515626	0.0984272714603942	0.275205668675039	0.997138415555389
PARK7	2.45841540176932	0.00745711736020403	0.0975656767047634	0.601330058315515	0.997138415555389
RERE	0.94028366325943	0.010525374890436	0.0986685152455293	0.216924400789905	0.997138415555389
ENO1	2.69667148519809	0.0156874382664596	0.0991136942019053	0.252468955434327	0.997138415555389
PIK3CD	0.864853643744822	0.00244625601136823	0.0979261653521217	0.76459221556932	0.997138415555389
SRM	1.74372327153051	-0.00564294601680769	0.0977434189304258	0.627492330732907	0.997138415555389
CLCN6	0.870455646437015	-0.00402583343689408	0.0979683739236993	0.628264035324843	0.997138415555389
MIIP	0.746283800144622	0.00156163331533529	0.0978735351772288	0.875866508615918	0.997138415555389
PRDM2	2.18158255828344	0.00125109303218461	0.0974528145219418	0.919654204008983	0.997138415555389
DNAJC16	0.682145707097949	-0.000373869894842471	0.09792218066733	0.932535714874838	0.997138415555389
SPEN	0.665395825564064	-0.00751473885346942	0.0983622389288936	0.305960852272628	0.997138415555389
SDHB	1.28838442545919	-0.00195491553746007	0.0976866152347911	0.847941159902952	0.997138415555389
CAPZB	3.39010847043373	0.000372018685621942	0.0969830758097069	0.981998431155763	0.997138415555389
MINOS1	1.15393513142371	0.00322991339594193	0.0977732854818476	0.746933874759776	0.997138415555389
HP1BP3	2.17792714942214	0.00915546861604562	0.097881406001438	0.501409468887832	0.997138415555389
EIF4G3	0.579530360204847	0.004763811668193	0.0981164392307758	0.613087985421215	0.997138415555389
CDC42	3.72866716826774	0.00908916960589508	0.0974045506054256	0.579535928112336	0.997138415555389
HNRNPR	2.11542282489967	0.000728090627782992	0.0973320199162363	0.956481723384621	0.997138415555389
RPL11	81.7277104755612	-0.0516479274860859	0.0953679078620516	0.286804333692891	0.997138415555389
PITHD1	0.816869538895911	-0.00394068004467661	0.0979750203664831	0.629940881470659	0.997138415555389
LYPLA2	0.860910564764988	-0.00913123325727224	0.0984658582591391	0.289029493634147	0.997138415555389
PNRC2	1.65641765437534	0.0127065656499476	0.0986709743278077	0.301723900474409	0.997138415555389
SRSF10	1.99686766226563	0.0105301625226004	0.0982354873989607	0.401419019059349	0.997138415555389
SRRM1	3.525498489032	0.0110710667332772	0.0978392631092792	0.479143249913536	0.997138415555389
CLIC4	0.910842561345404	0.00945458981479912	0.0985584603322435	0.245911861894122	0.997138415555389
SYF2	2.64679491390024	-0.00813399916329013	0.0976880191409389	0.557301484894624	0.997138415555389
RSRP1	3.12753849971276	0.0133341011682972	0.0982121450575812	0.404552254310588	0.997138415555389
TMEM50A	1.63604194745243	0.0050609504921115	0.0977222334507269	0.658990788968703	0.997138415555389
STMN1	0.768265497338915	0.00160676381870191	0.0979249603042805	0.842358047079926	0.997138415555389
SH3BGRL3	20.41323994985	0.00845012530038381	0.096452362860462	0.681520258387654	0.997138415555389
CD52	38.8793027424223	-0.00756858558623322	0.0938655637370077	0.788784994675518	0.997138415555389
HMGN2	6.83777641086101	-0.00430105860699543	0.096498063859806	0.814570168030876	0.997138415555389
RPS6KA1	1.01207377870662	-0.0120232655773253	0.0988669259446714	0.199818695060316	0.997138415555389
ARID1A	0.614914904331555	-0.00218461518922562	0.0979919876480922	0.723724104233139	0.997138415555389
NUDC	0.971866904079917	0.0109953699555573	0.0987207337420146	0.203691941313157	0.997138415555389
SYTL1	1.91373754535726	0.016107477893529	0.0993554162818084	0.20971037872714	0.997138415555389
WASF2	2.17662848538803	0.0186676476220287	0.100071450325896	0.140971874351086	0.997138415555389
FGR	2.16015664634015	0.0182518619790954	0.100244619810621	0.0667651331416138	0.997138415555389
STX12	0.66984115108455	0.0125427415093037	0.0991115558744418	0.143875130845685	0.997138415555389
DNAJC8	1.79765235445651	-0.018614982456189	0.100096189511514	0.123384149161308	0.997138415555389
ATP5IF1	1.86770051002504	0.0226545816096411	0.101258930279689	0.0720094884815552	0.997138415555389
TRNAU1AP	0.463047432241939	0.00909614788756602	0.0986170277996299	0.331204643403078	0.997138415555389
SNHG12	0.501679628796483	-0.00351716715775213	0.0980707387761822	0.55912945974687	0.997138415555389
TAF12	0.609507227998095	-0.00132520068657924	0.0979428966634724	0.81233239227231	0.997138415555389
YTHDF2	0.97879476076541	-0.0136785992451481	0.0991980938734408	0.14314728009169	0.997138415555389
EPB41	0.791965224073464	0.00206082296034036	0.0978980336809007	0.809532331260159	0.997138415555389
SRSF4	1.17680533333774	0.00961071269730115	0.0983700347968809	0.329736929221769	0.997138415555389
LAPTM5	16.1235296391719	-0.0831213660735849	0.145588335986283	0.0296314948791583	0.997138415555389
PTP4A2	3.87884679549825	0.0202388527313849	0.100153903228694	0.178854061835591	0.997138415555389
KHDRBS1	2.72020633787368	-0.000352055563125043	0.0971355616196191	0.980480639389271	0.997138415555389
EIF3I	1.39273309836121	0.012341651578727	0.0988037308145404	0.221369577442561	0.997138415555389
HDAC1	1.57516144323992	-0.00974801240980697	0.0982912477835997	0.377437756749511	0.997138415555389
MARCKSL1	1.80605644588525	0.0269933686972722	0.103029064851444	0.0172666681108413	0.997138415555389
BSDC1	0.777033240664753	0.0149459480052562	0.099552037130317	0.0876848443892792	0.997138415555389
ZBTB8OS	1.15574317652234	0.00164027398281323	0.0977214180763086	0.866937927976252	0.997138415555389
RBBP4	2.03100396510426	-0.0077743268485483	0.0977910652633942	0.545526447011796	0.997138415555389
AK2	0.681745358853574	-0.00690776072126995	0.0982713230876117	0.36719335913663	0.997138415555389
SFPQ	3.26778303071761	0.00668481304865286	0.097289208243947	0.664807022370233	0.997138415555389
TRAPPC3	0.92670532770024	0.0051242095305462	0.0979829981657009	0.575246376951899	0.997138415555389
THRAP3	1.65066071547261	0.00322776050199048	0.0976757029711079	0.764840117040217	0.997138415555389
LSM10	2.11155286623202	0.0134012995173952	0.0986710294776321	0.311719808800355	0.997138415555389
MEAF6	0.864290607501137	0.01619234173191	0.0998392627013826	0.0605903658215212	0.997138415555389
YRDC	0.682420294210199	0.0128767513442794	0.0991645030610747	0.13636843151302	0.997138415555389
C1orf122	0.826926710119719	-0.00394224374924388	0.097984535066052	0.626333034749545	0.997138415555389
NDUFS5	1.5277663154301	0.0150541720252605	0.09929776475555	0.160550192147788	0.997138415555389
MACF1	1.73542025670406	-0.00285694665015125	0.0977178677006554	0.781896625116307	0.997138415555389
CAP1	4.0314677711396	0.00856383900737347	0.097333623894792	0.602749744041918	0.997138415555389
RLF	0.642508545560043	-0.00797926506151708	0.0984131198146327	0.282673772745844	0.997138415555389
SMAP2	3.06071669726264	-0.00654458033620806	0.0972895529443913	0.667383926191632	0.997138415555389
NFYC	0.943327343129998	0.0034054626335564	0.0979579076465251	0.653435840702839	0.997138415555389
FOXJ3	0.597884383199052	-0.00162257291107651	0.0979512773660572	0.792329310101285	0.997138415555389
PPCS	1.39646419680746	-0.000885589963134956	0.0976354517228101	0.931526148432774	0.997138415555389
PPIH	1.02477313995012	0.00665367270832544	0.0980943056982933	0.468946343124571	0.997138415555389
YBX1	12.5388898793992	0.0522719504587516	0.115701172090966	0.0460206952323549	0.997138415555389
ELOVL1	1.10981478485754	-0.0195523613517789	0.100676774179881	0.043309644978102	0.997138415555389
ATP6V0B	1.89612235807155	0.00242410141732361	0.0974750088917544	0.843114657538063	0.997138415555389
RNF220	0.805411490788797	0.00824852283006135	0.0984100149058747	0.317545994587464	0.997138415555389
ARMH1	2.89083188379874	0.0101756992444074	0.0982539784870842	0.394305193800174	0.997138415555389
RPS8	95.9568911301582	0.00169927310326057	0.0840332804759437	0.969625965433322	0.997138415555389
PRDX1	2.54499418704417	0.0131164123792787	0.0984958069740629	0.34700624449569	0.997138415555389
AKR1A1	0.98323766101145	0.00485838773883477	0.0979812283572705	0.570605970314148	0.997138415555389
NASP	1.57538509725147	0.00376573928032248	0.09765029892694	0.739885819457918	0.997138415555389
UQCRH	3.6389927360849	-0.0146313690541806	0.0983537806183648	0.377083107537166	0.997138415555389
EFCAB14	0.80221710124063	0.0083547026489012	0.0983999903935339	0.326437637718314	0.997138415555389
CMPK1	1.5298676353021	0.00268806711449461	0.097605280257197	0.811263759604538	0.997138415555389
FAF1	0.558644646255598	0.00411053259919593	0.0980799313386272	0.687792466090878	0.997138415555389
NRDC	0.894507588954608	-0.00307210381952696	0.097896326882009	0.719581209461723	0.997138415555389
TXNDC12	1.11753485453994	-0.0056388718717242	0.0980298227470946	0.527493763932147	0.997138415555389
BTF3L4	1.07039058147571	-0.00569544925640175	0.0979742388665021	0.552038590223946	0.997138415555389
TUT4	1.17020940825859	-0.00368894043190312	0.0978368624759948	0.69837215171582	0.997138415555389
SHISAL2A	0.631744357612259	-0.000513743081922729	0.0979275504659051	0.905636646609695	0.997138415555389
SCP2	1.21688920489668	-0.00353868019335984	0.0978583473575509	0.699259462897425	0.997138415555389
MAGOH	1.56088209278963	-0.00800778161983706	0.098027649109465	0.480061179395044	0.997138415555389
TMEM59	1.67128921275434	0.0113134494495779	0.098471234894109	0.33667079529233	0.997138415555389
OMA1	0.604331948064267	-0.00131300175589544	0.0979358963621051	0.810319479099293	0.997138415555389
JUN	19.6895143455338	-0.0766791612396069	0.138189761297106	0.0305695808017955	0.997138415555389
TM2D1	0.650946190649972	0.00547649020350859	0.0981542128333273	0.528072325459602	0.997138415555389
USP1	0.773981817569982	0.0147889120593507	0.0995224055528908	0.0896492307446541	0.997138415555389
JAK1	3.68751504318519	0.0102276755469566	0.0974751374880305	0.546502594042163	0.997138415555389
PDE4B	2.68657624265441	-0.001473182009832	0.0972721116564386	0.911464754418088	0.997138415555389
MIER1	0.880124870910031	0.00417159760882643	0.0979277047343012	0.641988988112161	0.997138415555389
