""	baseMean	log2FoldChange	lfcSE	pvalue	padj
MEF2C	15.7409572494418	0.999474217621459	0.209386684312212	6.7543044534496e-08	9.67216397733983e-05
RPS29	39.9821450947548	0.77889461076265	0.191777548846492	1.65234716558996e-06	0.00118308057056241
GNG5	13.4893332717599	-0.497508745828213	0.127754753946045	5.77778956256551e-06	0.001723690589598
RPS27	116.131649442066	0.582660323746149	0.149613681564222	4.42321766805321e-06	0.001723690589598
CHCHD2	38.9536167265924	-0.443262080047534	0.114422443986956	6.01847272904329e-06	0.001723690589598
RPL37A	74.6092335104418	0.363323735491135	0.095730920165385	1.10743803104465e-05	0.00226550180065135
CD320	4.95567136319841	-1.16593957551428	0.318990630095382	9.79268871407711e-06	0.00226550180065135
TXN	19.1573762011531	-0.595762064752194	0.192685184324749	7.85102909481548e-05	0.0140533420797197
RPL37	112.177368855797	0.347982843221984	0.11039737841523	0.000104871819959894	0.0166862717980632
MT-ATP8	79.3753739538651	1.00461374503178	0.369038479639422	0.000202156056191042	0.0289487472465573
SYTL1	3.82250860153567	0.911713224152392	0.363580297325151	0.00047554295278588	0.0421224121541859
SEC62	13.3633128633973	0.515509470833797	0.208819355522181	0.000495713887540921	0.0421224121541859
PNISR	9.94290767025224	0.526499020607593	0.209478937942649	0.000500056568869526	0.0421224121541859
GSTP1	20.2094174875611	-0.455541173652722	0.166029040000053	0.000332663253622413	0.0421224121541859
NDUFB1	4.82376235999535	0.615753768597341	0.246980045886865	0.000443737731471304	0.0421224121541859
LUC7L3	5.23280222062681	0.579739807548706	0.226483310491912	0.00040593718608029	0.0421224121541859
NARF	3.63520621204126	-1.21605436984958	0.462985073397497	0.000410201644667812	0.0421224121541859
HMGA1	4.73575591222582	-0.900787687286126	0.368044219951917	0.00060083067157368	0.0452836590365005
CITED2	9.51325338202505	0.908551482609387	0.38936701825327	0.000585775940297523	0.0452836590365005
H2AFZ	17.0420443417181	-0.748561580880682	0.313710360910925	0.000668716198926367	0.0478800798431279
POLR1D	4.89571616350428	0.50005718010467	0.208509362883341	0.000736925505579114	0.0502513011423472
HSPD1	11.6778694735575	-0.53728300538781	0.230495478041965	0.000786971483400266	0.0512246892831446
EEF1A1	286.500942039091	0.320920815972636	0.129503757686669	0.000924110990530635	0.0572169090878382
CCDC32	7.03397490547916	0.485755926822989	0.212930027124171	0.000958942610410696	0.0572169090878382
PNRC1	7.6796037140532	0.523271810573129	0.241860325526126	0.00105534551362071	0.0604501910201941
CIRBP	12.026196434286	0.454643874190653	0.205972501595536	0.00113453887844345	0.0624869105358086
PTPN6	7.4461983261364	0.576526883366999	0.266938284772925	0.00124839650484383	0.0662112516643097
NDUFA4	18.8347258723611	-0.34177109183714	0.15422687127438	0.00136720348058412	0.0664656104535296
FLNA	6.23613709626438	0.55222200113007	0.273684018182159	0.00139243597318847	0.0664656104535296
PSMA6	5.40847440612754	-0.451679192764499	0.211040605966847	0.00138786753965868	0.0664656104535296
RPL3	96.5317992593863	0.214375440948886	0.083603356408762	0.00146308992127563	0.0675853150731194
RSRP1	7.14817656641212	0.521355443074702	0.269474850624934	0.00161315437333496	0.0721886582067396
HIST1H1E	7.49249331316373	-0.844180966996393	0.431277160301756	0.00176629345065386	0.0743921241569508
NDUFA6	7.40843928841067	-0.38182080368738	0.181365533413363	0.00173799893582498	0.0743921241569508
HNRNPR	5.60248586264967	-0.433739640320627	0.217709945212111	0.00182002579828131	0.0744650555182526
SSR1	14.2467860561123	-0.404260755601806	0.217390698321082	0.00223822060772267	0.0843455765857597
RBBP6	7.63911353250313	0.475855102151019	0.267456725376	0.00219063231452345	0.0843455765857597
YPEL3	4.62711003604709	0.593685241685309	0.332155884327176	0.00214423061788288	0.0843455765857597
SPTBN1	3.50187187298611	0.618555975346718	0.357843430035208	0.00236559974827513	0.0845506428857829
RPL24	54.8471817660908	0.20406161591209	0.0857259035577263	0.00247983729134279	0.0845506428857829
CCNL1	6.61177564587082	0.407380963628163	0.219159925926525	0.00244308741826392	0.0845506428857829
CALM1	17.3650213376801	-0.359929888734917	0.177706435699939	0.00231981119859155	0.0845506428857829
TMEM156	4.81650039410647	0.573798207257691	0.393187232791854	0.00279698474001957	0.0849761361015909
SPCS3	27.4077840499634	-0.377585177836421	0.205796727823618	0.00287726910202044	0.0849761361015909
PTTG1	3.5694920185183	-0.712824950188722	0.423571567493044	0.00257298435777682	0.0849761361015909
RAN	18.1238320027499	-0.358772609818166	0.186414556215742	0.00274898457142944	0.0849761361015909
IGHV3-48	74.9640846825645	0.00898066407756643	0.0985321650867301	0.00282223499242851	0.0849761361015909
LRRC59	8.54451903839159	-0.377880111097707	0.205955622589067	0.00283039224352334	0.0849761361015909
NCOA3	10.6515480668198	0.440703847476583	0.266298552397588	0.00296704385829577	0.0849761361015909
SDF2L1	27.0871284559739	-0.340688076892751	0.181047426606797	0.00294159456501353	0.0849761361015909
AURKAIP1	9.11827461715031	-0.316802680316754	0.163642186782476	0.00309468600899662	0.0868939287231993
HLA-F	3.68774534982123	0.587147701540372	0.450784913546053	0.00378001747847207	0.0902164171528668
HLA-E	32.6744103240614	0.253771593759221	0.126729225856558	0.00375542171824002	0.0902164171528668
CYCS	10.0060919185044	-0.306314718786208	0.167176764418071	0.00376875348695598	0.0902164171528668
EIF1AX	5.39684380975775	-0.445496583739765	0.277939464189366	0.00348523303941199	0.0902164171528668
PIM2	18.8889202811056	-0.484967476563464	0.318253040099386	0.00359289921609514	0.0902164171528668
MRPL51	7.82122932234709	-0.362168679739644	0.209280417183345	0.00345619589469994	0.0902164171528668
NDUFAB1	8.22446032415347	-0.313208544580323	0.168974153989629	0.00362938844724699	0.0902164171528668
HSH2D	11.4267219154555	0.389150657752906	0.229525040977265	0.00346902461240137	0.0902164171528668
NOP53	7.21422610164973	0.379605357137613	0.217337722216029	0.00341857860433468	0.0902164171528668
SRSF5	8.57685494213011	0.342805632919537	0.204838899320521	0.00415379689448823	0.0975120844738877
CCND2	4.29481400355402	-0.633370340380654	0.522268125647142	0.00435714528840959	0.10063600085488
ZFP36L2	7.62275499280255	0.589188005699202	0.515590704645227	0.00443230771417986	0.100747057884215
MRPS7	4.34288487383907	-0.424185813274843	0.301931561959596	0.00456777818996946	0.102204037000567
IGKV4-1	724.098839636712	0.0121746699578843	0.0992216598207233	0.0050058753605288	0.105129301059097
