""	baseMean	log2FoldChange	lfcSE	pvalue	padj
NOSIP	35.3952490049398	-0.549493091824121	0.107235018538105	1.95688330111138e-08	6.07612264995085e-05
DENND2D	8.81695737476042	-0.57917115058092	0.160588381436548	1.22851160604087e-05	0.00664920827101123
AAK1	17.0378096211319	0.430569827321533	0.117401458481885	1.28026091982588e-05	0.00664920827101123
RPL37A	190.857858636451	0.285219228232944	0.0761447755026544	1.17530669666594e-05	0.00664920827101123
PRPF4B	12.1315580740797	0.521078715718993	0.137314252534206	7.59285230288102e-06	0.00664920827101123
UBL3	7.92123591433398	0.645637627384308	0.175409276160639	1.28487116348043e-05	0.00664920827101123
DDX5	110.812729991686	0.191991223673278	0.0517000161481839	2.14010709611065e-05	0.00949290361917652
SELENOK	10.2971464756072	0.532606917911661	0.157802838448002	3.77732327072205e-05	0.0146607359444899
GMFG	58.3597221758005	-0.234144881792124	0.0689744581967901	5.5703413910676e-05	0.0192176777991832
STAT1	18.1181797769976	0.52211742389857	0.17269370787165	0.000100747836742765	0.0227731244767878
CORO1B	28.2052310289495	-0.381242808785063	0.125418539854749	0.000102680754484711	0.0227731244767878
UCP2	52.8564975665548	-0.431917502666412	0.136961249417708	9.76862007066864e-05	0.0227731244767878
SYNE2	32.2429995302537	0.348137874475297	0.11263614146142	9.27401353622919e-05	0.0227731244767878
RPL38	102.890923342972	0.370652974589526	0.122228021955934	9.64107546479399e-05	0.0227731244767878
NDUFAF3	7.38505275041869	-0.457407729869705	0.156187960855722	0.000134230836959098	0.0232813253353783
TRA2B	14.6395874004474	0.440200020084692	0.148996347996314	0.000125318121841258	0.0232813253353783
RPL37	458.674549370101	0.233783413423198	0.0750433715235798	0.000132034625745734	0.0232813253353783
SUSD3	6.81069356989085	-0.497834783141615	0.17226209469621	0.000149960227603081	0.0232813253353783
MAP4K2	5.56957932305601	-0.539647022135496	0.186160617889753	0.000139931921802787	0.0232813253353783
RGS10	20.2346151386465	-0.286245075986214	0.0948199470809038	0.000147372402005338	0.0232813253353783
TENT5C	8.91304470499222	0.724027268963531	0.267728815418335	0.000179761911154887	0.0265790825779011
SMCHD1	33.5235542190171	0.346728080469343	0.121281276792493	0.000197393270864751	0.0278593684561388
DNTTIP2	6.99172270629785	0.535084888265927	0.191166257805415	0.000223807985333737	0.0284143988718829
LINC01089	4.10336234390196	0.738365076285089	0.265976547833873	0.000214881053003253	0.0284143988718829
SEC11C	9.64607174616021	-0.434953865925561	0.155121332763507	0.000228779379000668	0.0284143988718829
NKTR	18.7684345645367	0.349779147992262	0.125963083795164	0.000258572236417493	0.0308794920798584
CORO1A	101.79671924866	-0.198510466584765	0.0664054833382388	0.000292501814079877	0.0324363618827863
PMAIP1	5.4875950280176	1.08093787339718	0.449050274327177	0.000286616739061668	0.0324363618827863
CLTA	8.85519458576476	-0.393494864089928	0.14730256354566	0.000323232214426098	0.0346081388204495
PFN1	298.931571142484	-0.14710973497403	0.0478907353027616	0.000373321747629891	0.0386388008796937
DAZAP2	49.870568564367	0.206668346786674	0.0729480325605201	0.000395615803747179	0.0396253893753223
PPIB	44.8196632254856	-0.18961413924325	0.0669477474140057	0.000457584083766428	0.0443999556279612
PLAC8	4.15614450431451	-0.741982517766941	0.314496659316819	0.000510261967148267	0.048011012363496
ZNF644	4.53888412796072	0.580941152570923	0.233026213888516	0.000531477246008294	0.0485363779075221
PIM2	16.6193122568336	-0.360019325624368	0.14704153854005	0.000553686422738607	0.0489541814343691
MT-ND3	330.801702013189	0.308446131570735	0.12504258371457	0.00056758471228254	0.0489541814343691
CYBC1	9.95717196436892	-0.352628305492188	0.145080791943876	0.000600153851141275	0.0503642623728016
UBL7	5.63300704831628	-0.52184343057916	0.232519421881703	0.000680512759346809	0.055605055730838
RPS27	766.490968531771	0.225673850556097	0.0881894676338686	0.000700972909673275	0.0558082278086031
PIM1	12.853490506768	-0.368497904836797	0.160680754425344	0.000809063258743301	0.0628035354599487
RNMT	9.40288010728472	0.44222791982257	0.198675676904697	0.000845730688687098	0.064048628984718
MRPL10	4.6295664417991	-0.511564592675789	0.238457205220022	0.000887584601749658	0.0656178616293497
MT-ATP8	93.3372497699756	0.526105425550513	0.23912512769725	0.000923850821305612	0.0667106232593936
ELOVL1	4.85453858388981	-0.432795309835497	0.202668421581598	0.000991798809202589	0.0684341178349786
MRPL51	8.31085440942331	-0.352962634762544	0.159050667563615	0.000981732626804571	0.0684341178349786
SYTL1	22.3572220987345	-0.23545014735334	0.0989681736219362	0.00109670782768572	0.0729818759726038
MRPS15	6.47824408943153	-0.407257388948717	0.1947002170392	0.00110471760731478	0.0729818759726038
ITM2A	29.3618814666861	-0.268277085237446	0.114731341912372	0.00112931659474098	0.0730526672223069
PNRC1	61.5942012064225	0.176762811880365	0.0693416322966673	0.00117637207130251	0.0730527056278856
SBDS	11.1700138203288	0.443424766979124	0.214474369871918	0.00115731012813659	0.0730527056278856
SLC4A7	7.52008916691645	0.406362341442521	0.189147291512209	0.00123639543340821	0.0752746631516173
SETD2	6.20025364287921	0.471664875511093	0.219791068926785	0.00126401774399039	0.0754764441363494
PRMT2	16.7613809042966	-0.28925160118522	0.136979861081901	0.00162150092796461	0.094995478893021
HINT2	5.07230121578017	-0.395034439415672	0.208803221966782	0.00168468632012164	0.0963394960277256
BRWD1	8.91843810171637	0.340319024800079	0.164213404244402	0.00170649670902574	0.0963394960277256
BCAS2	8.77284378637431	0.40549907691596	0.209982756120719	0.00182871252344314	0.0994505570762814
KTN1	14.8264232638207	0.313464318912521	0.154116173072326	0.00185769156535405	0.0994505570762814
ZBTB1	5.16188950231498	0.451571855423182	0.22932634638913	0.00183341591387763	0.0994505570762814
CHCHD5	5.75412681896797	-0.354774959666545	0.188886275380737	0.00192168007124571	0.101132485105389
