""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL37A	173.120037373621	0.310715909357497	0.0678110626592391	2.33882621138441e-07	0.0017826533383172
RPL38	69.049247540674	0.326819743883189	0.0861501913693365	6.78374935207765e-06	0.0258528687807679
SRGN	97.0766156028602	-0.375191140521241	0.113770190534616	3.93145800369897e-05	0.0998852430139784
IFITM3	36.5087010581797	-0.0387408764743811	0.0747727535632682	0.000166830070779595	0.266939650275802
UBB	22.3558544976681	-0.294954821008928	0.104512639824105	0.000175111289868671	0.266939650275802
RPL37	326.190346669558	0.198969530977832	0.0713968060377218	0.000274126312571943	0.286016059681956
PIM2	1.44421613183928	-0.0215739818770953	0.0510865677380579	0.000349071471932006	0.286016059681956
BST2	18.2925067559335	-0.334582916798692	0.122136524518604	0.000231303699595047	0.286016059681956
MX1	4.05801200975471	-0.86583989916612	0.336688117199969	0.000375250668698447	0.286016059681956
MT-ATP8	63.1073624465406	0.565109782068042	0.219939446393709	0.000308263187398382	0.286016059681956
UBL7	6.37331604349093	-0.455568973037579	0.191875237037622	0.000511896951686792	0.310401975128159
THBD	2.04522269971795	-0.0181854659676816	0.0485859830549892	0.000467762154291536	0.310401975128159
RPL36	196.878656355582	0.167078745753757	0.0645449122403337	0.000529418220501977	0.310401975128159
TMA7	54.9363929583408	0.22218644570795	0.0933272060496568	0.000696655227623756	0.34654440275661
NAAA	8.36265036234609	-0.388765941424512	0.173511138376884	0.000752431980061373	0.34654440275661
CLIC3	0.77387409070516	-0.0139664640514103	0.0461521042225054	0.000772927689171133	0.34654440275661
Z93241.1	0.773575932159677	0.0145079651854846	0.0464471641236352	0.000710938633869983	0.34654440275661
MRC1	3.40629983997012	-0.859595962745244	0.423333075382022	0.000868123938071609	0.367602258665656
LY6E	17.9631819172337	-0.457779790337955	0.214221520869416	0.00112182818173853	0.450030231642687
RPLP1	682.383440546202	0.11835573913481	0.0488632880622873	0.0013463623998853	0.513098710596287
RPS27	326.570837865459	0.197150455865051	0.0987206591137316	0.00170355456715938	0.525714954491455
CAPG	28.0125136262872	0.2978917565925	0.166603250188057	0.00193125409679359	0.525714954491455
BRI3	13.9760076150719	0.386078760548535	0.210922232711005	0.00161398609697319	0.525714954491455
IFITM2	53.8532131920302	-0.371408318829553	0.203948746723025	0.00182217859581576	0.525714954491455
IFITM1	11.977889437027	-0.661194330113242	0.362062992388909	0.0018080802139552	0.525714954491455
RRP8	1.34883857051077	-0.0169420366886225	0.0477177691911218	0.00148980362211356	0.525714954491455
GLIPR1	29.1235043975577	-0.224690858942265	0.11197783477483	0.00154221003738428	0.525714954491455
RPL13A	118.32364474762	0.156932909093383	0.074738309264051	0.00187721274418282	0.525714954491455
OSBPL3	1.34440002825089	0.0152517949856372	0.0467489138991687	0.00244107379380558	0.611753328324869
RPS2	382.717266425112	0.13257963090286	0.0635186346709477	0.00240057204542997	0.611753328324869
FPR1	6.82328895753389	-0.538056857640762	0.369500795528041	0.00248810721307674	0.611753328324869
RPLP2	231.127280750576	0.122887095541746	0.058998401792297	0.00262058949544254	0.615473610935782
CBX4	1.00919146727132	0.014714273666823	0.0464801973345352	0.00274548711254481	0.615473610935782
RPS28	306.452406683203	0.165055783735371	0.088419933473738	0.00272258522629296	0.615473610935782
C1orf162	48.4763700257332	-0.184135472730386	0.108453993322899	0.00313574219793159	0.637087183079989
CD44	17.3941633505021	0.274493563678896	0.171440042859914	0.00315423798791474	0.637087183079989
RPS29	98.8328490511857	0.274813370838582	0.197270825051674	0.00317624153201779	0.637087183079989
CXCL16	4.79226944884714	-0.528181692454635	0.350793141889501	0.00301616703369115	0.637087183079989
SARAF	37.0547486322507	-0.163216271939574	0.0951409771562226	0.0036321604680484	0.675227489938168
EPSTI1	4.86785191503253	-0.367829602126937	0.274214840149522	0.00352888201912097	0.675227489938168
