""	baseMean	log2FoldChange	lfcSE	pvalue	padj
RPL37	99.991877071555	0.453852905089893	0.087631280944709	1.14372594592586e-08	1.51658060429769e-05
RPL39	113.1827596578	0.415301108254857	0.0838732956118654	3.73613824410158e-08	1.83927010499194e-05
RPS21	61.9068571597413	0.487724814657568	0.0992679652668951	4.16124458142973e-08	1.83927010499194e-05
RPS27	125.681408686319	0.445354015640492	0.0969087835673098	2.22972450015877e-07	5.91322937442105e-05
RPS29	25.9102493187953	0.823929615705488	0.180453450093059	1.97920446619234e-07	5.91322937442105e-05
RPL38	15.8649756571046	0.670146708963178	0.162183925572358	1.69185535744762e-06	0.000373900033995924
HLA-DRB5	17.8604366075165	-0.790892014956243	0.206007325011353	6.42331523744403e-06	0.0012167594292644
RPL37A	49.9695477895212	0.399414037387835	0.109378172592113	1.30628445505763e-05	0.00202111640547376
RPS28	120.535997922538	0.286309226543956	0.0770382722939373	1.37179846525368e-05	0.00202111640547376
MX1	2.53866057044807	-1.07981089024521	0.390928906560913	0.000228624675167094	0.0303156319271567
NDUFB1	2.84674955932051	0.966184891931332	0.350824459978204	0.000289545101507093	0.0349033458725823
NEAT1	2.3181631721739	1.22451475383183	0.467614091175187	0.000429059569795103	0.0474110824623589
TECR	2.9769121632614	-0.74953117531913	0.30916252776096	0.000470364406378921	0.0479771694506499
SP110	3.46783205434974	-0.667980047269989	0.275966129307523	0.000520136230120472	0.0492643315099818
BST2	6.33400342906416	-0.569874448882212	0.237959096050251	0.000605256054705561	0.0535046352359716
NKTR	3.19111834426102	0.911714353607927	0.406689530724332	0.000905085376621416	0.0750089505874999
RPL34	103.174500899581	0.180769453030756	0.0726966302330325	0.00142987385715028	0.109955690876922
SOX4	9.16017925857199	0.798471859199542	0.455041190015755	0.00149261118837451	0.109955690876922
UCP2	18.2980017205616	-0.349787633600732	0.171828629875022	0.00171604289298435	0.119761730320908
ATP5F1E	38.4658115230857	0.215594823919622	0.103164678355227	0.00267453290996423	0.177321531930629
MT-ND3	62.9458394898729	0.462304838223312	0.319807327441715	0.00281538789685547	0.177771635772874
COX7B	4.48176663037931	0.453111884574464	0.308725706875742	0.00417037243327753	0.223310635311038
RPL36A	11.2103847974112	0.335578345575219	0.225308796568791	0.0042438747382806	0.223310635311038
PAG1	2.27247010398512	0.694382855016361	0.480621229744939	0.0043647370729274	0.223310635311038
TMEM109	4.97970037103596	-0.453264319377269	0.357109845518164	0.00437863990805957	0.223310635311038
ROMO1	4.81438340572267	0.466288341620445	0.330689914955737	0.00398632655313087	0.223310635311038
OGT	8.40685414772388	0.361297069740581	0.284072770056004	0.00509599152228862	0.241331598519811
SMIM5	2.31542356141234	-0.0638742723656484	0.118855623343348	0.00496506096110388	0.241331598519811
ACAP2	3.54355952081934	0.468674158629587	0.485330991601045	0.00621586889292361	0.265943224399037
RPL23	13.6003269940619	0.249117532211466	0.16789016609078	0.00621737553270751	0.265943224399037
NAPSA	6.7105346740724	-0.326633115227399	0.283431912144504	0.00610521034973754	0.265943224399037
GADD45B	2.43917349429808	-0.0473061605092902	0.0972857632068206	0.00671043091663105	0.278063481107899
RBM39	8.33072177001981	0.31500514695667	0.289572434281923	0.0069769412480336	0.280346184693714
RHEX	5.26842815099221	-0.319459279184327	0.475214369121916	0.00749249215732872	0.283858417160511
LAP3	2.81657727027022	-0.0657495161761017	0.120622320725546	0.00730081982449711	0.283858417160511
CYCS	2.66612658548383	-0.0692638714432436	0.126176819353682	0.00784211922911375	0.28885139160569
COX4I1	19.7462108882889	-0.204651612198806	0.138999853742129	0.00838032731412246	0.300332811311524
RSRP1	7.19966070682163	0.0869708517020696	0.162932600071565	0.0087738079337373	0.301073880857002
ADI1	2.88100266584319	-0.0714384976148334	0.129352751500109	0.00940884156203973	0.301073880857002
RBMS1	2.56393789544826	-0.0673585052829304	0.122328405432778	0.00963839182277855	0.301073880857002
XIST	5.86215109790533	0.0810691856715531	0.148009952786919	0.00934423151339768	0.301073880857002
PSME2	6.98989137258308	-0.253572525479431	0.346772414111069	0.00911546912949587	0.301073880857002
RPL36	39.2246647310781	0.190503527547136	0.13454911958048	0.00976333097801739	0.301073880857002
RBM3	8.89174699026101	0.233782442733562	0.293786845110128	0.010606075591576	0.306571298605155
