"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"nlp"
"CD8-Naive:LR_down"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"1/11"	"89/8112"	0.114344834905376	0.237390652166849	0.199907917614189	"CD3E"	1	0.69917000474103
"CD8-Naive:LR_down"	"hsa04660"	"T cell receptor signaling pathway"	"1/11"	"104/8112"	0.132400939340345	0.237390652166849	0.199907917614189	"CD3E"	1	0.69917000474103
"CD8-Activated:NLR_up"	"hsa04218"	"Cellular senescence"	"5/129"	"156/8112"	0.10268542090613	0.262707105939141	0.199489554130272	"HLA-E/SLC25A6/RELA/HLA-A/SLC25A5"	5	0.700079840339909
"CD8-Activated:NLR_up"	"hsa04921"	"Oxytocin signaling pathway"	"5/129"	"154/8112"	0.0985513146787285	0.261027385688289	0.198214039930882	"JUN/FOS/EEF2/RHOA/ACTG1"	5	0.702865586739972
"CD4-Activated:NLR_up"	"hsa00010"	"Glycolysis / Gluconeogenesis"	"3/98"	"67/8112"	0.0470090708683338	0.232173011502978	0.196202544932094	"PKM/LDHA/PGK1"	3	0.707295363710416
"CD4-Activated:NLR_up"	"hsa04530"	"Tight junction"	"5/98"	"169/8112"	0.0534443733569579	0.232173011502978	0.196202544932094	"JUN/ACTB/PPP2R1A/CDK4/TUBA1A"	5	0.707295363710416
"CD4-Activated:NR_down"	"hsa04670"	"Leukocyte transendothelial migration"	"3/68"	"114/8112"	0.0702396583843934	0.243881071237258	0.192537687818888	"RHOA/MYL12B/GNAI3"	3	0.71548424792299
"CD4-Activated:LR_down"	"hsa04510"	"Focal adhesion"	"3/31"	"201/8112"	0.0405032871882167	0.223266006511589	0.184656095611089	"RAC2/ACTB/PPP1CA"	3	0.733636351448881
"CD4-Activated:LR_down"	"hsa05235"	"PD-L1 expression and PD-1 checkpoint pathway in cancer"	"2/31"	"89/8112"	0.0450581200356247	0.223266006511589	0.184656095611089	"BATF/ZAP70"	2	0.733636351448881
"CD4-Activated:NLR_up"	"hsa04218"	"Cellular senescence"	"5/98"	"156/8112"	0.0401969473097031	0.214048744424169	0.180886262893664	"HLA-E/ZFP36L2/CAPN2/HLA-A/CDK4"	5	0.742594413659868
"CD8-Naive:LR_down"	"hsa04218"	"Cellular senescence"	"2/11"	"156/8112"	0.0180353746765125	0.21433238636107	0.180490430619848	"MYC/CALM1"	2	0.743545818906048
"CD16-NK:NR_up"	"hsa04144"	"Endocytosis"	"2/20"	"251/8112"	0.125915476304099	0.24920771351853	0.173962171209611	"ARPC1B/DNM2"	2	0.759545180574024
"CD8-Naive:NR_up"	"hsa03015"	"mRNA surveillance pathway"	"1/6"	"97/8112"	0.0696555205738952	0.181107339265886	0.169457159547027	"RNMT"	1	0.77094007754315
"CD8-Naive:NR_up"	"hsa04921"	"Oxytocin signaling pathway"	"1/6"	"154/8112"	0.108666130700316	0.181107339265886	0.169457159547027	"CAMK4"	1	0.77094007754315
"CD8-Naive:NLR_up"	"hsa04144"	"Endocytosis"	"1/11"	"251/8112"	0.292454626111074	0.303154185602943	0.168940413029504	"HLA-E"	1	0.77226644837869
"CD4-Naive:NLR_up"	"hsa04670"	"Leukocyte transendothelial migration"	"3/70"	"114/8112"	0.0752201460764747	0.207425251301794	0.152359785513753	"RHOA/ACTG1/ACTB"	3	0.817129647393733
"CD4-Naive:LR_down"	"hsa04530"	"Tight junction"	"5/59"	"169/8112"	0.00747606829163783	0.164836476135312	0.15131867454282	"ACTB/MYL6/ARPC2/SLC9A3R1/ARPC3"	5	0.820107471511334
"CD4-Naive:LR_down"	"hsa04670"	"Leukocyte transendothelial migration"	"4/59"	"114/8112"	0.00929983654383556	0.164836476135312	0.15131867454282	"RAC2/CD99/ACTB/CYBA"	4	0.820107471511334
"CD4-Activated:LR_down"	"hsa04810"	"Regulation of actin cytoskeleton"	"4/31"	"218/8112"	0.00903541285245211	0.177696984368348	0.146967430680589	"RAC2/ACTB/BRK1/PPP1CA"	4	0.832778898196574
"CD4-Activated:LR_down"	"hsa04670"	"Leukocyte transendothelial migration"	"3/31"	"114/8112"	0.00912555569823046	0.177696984368348	0.146967430680589	"RAC2/ACTB/CYBA"	3	0.832778898196574
"CD8-Naive:NLR_up"	"hsa04510"	"Focal adhesion"	"1/11"	"201/8112"	0.241312396218993	0.262968636905313	0.146545989606676	"JUN"	1	0.834026062012461
