Celltype	NR_Post_up	epiR_Post_up	mutR_Post_up	NR_Post_down	epiR_Post_down	mutR_Post_down
Activated-B-Cells	142	15	8	38	42	14
CD14-Monocytes	128	267	31	30	474	44
CD16-Monocytes	14	150	7	5	276	17
CD16-NK	37	54	43	36	90	39
CD4-Activated	138	177	51	126	283	75
CD4-Naive	56	113	89	71	141	114
CD56-NK	3	7	10	2	14	1
CD8-Activated	72	210	118	79	164	81
CD8-Exhausted	0	28	6	0	11	4
CD8-Naive	13	13	22	9	33	17
Cycling	0	32	2	0	65	0
GDT	182	22	20	32	15	10
Hematopoetic-Progenitors	12	18	0	8	15	0
Intermediate-Monocytes	44	136	6	15	362	6
MAIT	0	15	6	0	16	8
Memory-B-Cells	34	50	48	5	27	19
Naive-B-Cells	0	1	3	0	1	3
Plasma-Cells	0	0	12	0	0	8
Treg	51	62	20	47	137	16
cDC	14	8	2	2	11	0
pDC	0	8	10	0	57	4
