sample	category	simpleCategory
eric10	Healthy	h
eric11	Healthy	h
eric12	Healthy	h
HD1	Healthy	h
HD2	Healthy	h
HD3	Healthy	h
HD4	Healthy	h
HD5	Healthy	h
HD6	Healthy	h
PEM14C1	mutR	mutR
PEM14C5	mutR	mutR
PEM23C1	mutR	mutR
PEM23C5	mutR	mutR
PEM2C1	mutR	mutR
PEM2C3	mutR	mutR
PEM2C5	mutR	mutR
PEM5C1	mutR	mutR
PEM5C3	mutR	mutR
PEM5C5	mutR	mutR
PEM6C1	mutR	mutR
PEM6C3	mutR	mutR
PEM6C5	mutR	mutR
PEM11C1	epiR	epiR
PEM11C3	epiR	epiR
PEM11C5	epiR	epiR
PEM12C1	epiR	epiR
PEM12C3	epiR	epiR
PEM12C5	epiR	epiR
PEM13C1	epiR	epiR
PEM13C5	epiR	epiR
PEM18C1	epiR	epiR
PEM18C5	epiR	epiR
PEM19C1	epiR	epiR
PEM19C5	epiR	epiR
PEM20C1	epiR	epiR
PEM20C5	epiR	epiR
PEM22C5	epiR	epiR
PEM10C1	NR	NR
PEM10C3	NR	NR
PEM10C5	NR	NR
PEM15C1	NR	NR
PEM15C5	NR	NR
PEM16C1	NR	NR
PEM16C5	NR	NR
PEM17C1	NR	NR
PEM17C5	NR	NR
PEM1C1	NR	NR
PEM1C3	NR	NR
PEM21C1	epiR	epiR
PEM3C1	NR	NR
PEM3C3	NR	NR
PEM3C5	NR	NR
PEM7C1	NR	NR
PEM7C3	NR	NR
PEM7C5	NR	NR
PEM8C1	NR	NR
PEM8C3	NR	NR
PEM8C5	NR	NR
PEM9C1	NR	NR
PEM9C3	NR	NR
PEM9C5	NR	NR
