chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
1	14522	16534	0.498425740318448	9	0.137737975881744	3.02228687535856	152	0.75467329370862	8	4	4	-6.73311616423137
1	16571	1179983	0.499165758870839	69	0.0824676665565389	0.88876217452951	6506	0.325880909066943	2	1	1	-6.77449930393505
1	1181751	1469599	0.49820081898404	12	0.200487341850862	0.88606432412169	6471	0.373356988533789	2	1	1	-6.74153688809265
1	1551111	12660488	0.494643424171941	408	0.0706592610278598	0.898338048017838	47789	0.895147782865401	2	1	1	-6.77574075189387
1	12676832	13475186	0.316246987503861	125	0.111051883834655	0.53668196075315	2271	0.810438780972246	3	2	1	-7.37753642186753
1	13497591	13716855	0.264487724699832	14	0.14951790660521	0.347850479723203	82	0.1761680000958	1	1	0	-7.89898717178292
1	13802224	16801091	0.474901958400731	192	0.0917358201888201	1.04003696936747	13336	0.780718430357289	2	1	1	-6.79530294957569
1	16802565	16891158	0.233350502330947	12	0.127494384903094	1.55149662595198	545	2.85743441782168	5	4	1	-6.73392292553081
1	16891243	17275102	0.498698962543138	159	0.104905792502289	1.01777105000264	4962	2.42250193012994	2	1	1	-6.73324462056065
1	17280022	22234654	0.498899386284453	309	0.0699020147164087	0.931128729028802	23970	0.432970000647195	2	1	1	-6.7504788985392
1	22263609	22332411	0.498194892212565	16	0.158511829211577	0.82920613350995	313	0.374314499746193	2	1	1	-6.7396420631574
1	22333595	57536582	0.498942165429635	894	0.0875480126072262	1.02657772740776	134956	1.47456064201831	2	1	1	-6.77327451042236
1	59096544	59127086	0.183965400304175	9	0.120857353934297	1.31622198879242	95	0.582365208104247	6	5	1	-6.75947851714764
1	59127193	121483868	0.496773393303173	975	0.0815710087193149	1.0589316678317	94684	0.713431839488694	2	1	1	-7.33950508945613
1	142810409	145112287	0.344598947564404	205	0.102190298472336	1.52171605384584	4996	1.81162868010212	3	2	1	-6.7530992888622
1	145115556	155186729	0.279590187913508	601	0.104349835663479	1.87526781158535	84636	3.47859541049542	4	3	1	-6.73720392584365
1	155186742	155616555	0.309517498589504	9	0.114841678458263	1.95796316760054	7072	2.48853043660234	7	5	2	-6.74155781956089
1	155715612	169272451	0.278016454184902	451	0.0752019617300067	1.80047131124844	74660	1.29131006146323	4	3	1	-6.74594368087152
1	169272453	169350023	0.0442317254588696	9	0.026317505791984	2.36218167094806	260	0.86380463678693	6	6	0	-6.73452199589349
1	169364479	248604542	0.288917766312424	1719	0.0783450110037866	1.78862412578129	239101	3.10513747473194	4	3	1	-6.74846059082443
1	248604765	248814126	0.18292392424488	22	0.0911677132983599	1.17008817697406	894	0.538436854297904	1	1	0	-6.93282918933031
2	231288	89103848	0.498943673548516	1223	0.0735560803026757	1.05457400652422	148917	0.724500662041352	2	1	1	-7.48074129705699
2	90464641	92075727	0.490985911987702	68	0.124405299989575	1.07294894382745	1492	0.698307636683623	2	1	1	-6.75950602050239
2	95515138	210010180	0.498941773354913	1611	0.0843369498769222	0.972635969824879	186399	1.6985772190248	2	1	1	-6.7357656249245
2	210045334	210882150	0.497988189649109	9	0.213767396952856	0.813224157985586	2358	0.548098250887732	2	1	1	-6.78014687860137
