ENSG	Name	Size
ENSG00000000003.13	TSPAN6	1749.4
ENSG00000000005.5	TNMD	940.5
ENSG00000000419.11	DPM1	977.833333333333
ENSG00000000457.12	SCYL3	3197
ENSG00000000460.15	C1orf112	2430.11111111111
ENSG00000000938.11	FGR	1735.28571428571
ENSG00000000971.14	CFH	2587.83333333333
ENSG00000001036.12	FUCA2	1246.33333333333
ENSG00000001084.9	GCLC	1614
ENSG00000001167.13	NFYA	2735.5
ENSG00000001460.16	STPG1	1683.58333333333
ENSG00000001461.15	NIPAL3	2137.71428571429
ENSG00000001497.15	LAS1L	2547.6
ENSG00000001561.6	ENPP4	4651
ENSG00000001617.10	SEMA3F	1718.77777777778
ENSG00000001626.13	CFTR	1375.36363636364
ENSG00000001629.8	ANKIB1	1605.85714285714
ENSG00000001630.14	CYP51A1	1359.4
ENSG00000001631.13	KRIT1	1525
ENSG00000002016.15	RAD52	1362.78947368421
ENSG00000002079.11	MYH16	1977.8
ENSG00000002330.12	BAD	639.714285714286
ENSG00000002549.11	LAP3	1135.72727272727
ENSG00000002586.16	CD99	830.333333333333
ENSG00000002587.8	HS3ST1	3006
ENSG00000002726.18	AOC1	2042.28571428571
ENSG00000002745.11	WNT16	2188.5
ENSG00000002746.13	HECW1	2139.27272727273
ENSG00000002822.14	MAD1L1	973.260869565217
ENSG00000002834.16	LASP1	2103.77777777778
ENSG00000002919.13	SNX11	1174.38461538462
ENSG00000002933.6	TMEM176A	1024
ENSG00000003056.6	M6PR	996.769230769231
ENSG00000003096.12	KLHL13	3141.33333333333
ENSG00000003137.7	CYP26B1	2845.8
ENSG00000003147.16	ICA1	1265.94444444444
ENSG00000003249.12	DBNDD1	1694.42857142857
ENSG00000003393.13	ALS2	2049.75
ENSG00000003400.13	CASP10	2096.69230769231
ENSG00000003402.18	CFLAR	1720.04
ENSG00000003436.13	TFPI	1836.5
ENSG00000003509.14	NDUFAF7	1168.07692307692
ENSG00000003756.15	RBM5	1113.24
ENSG00000003987.12	MTMR7	1139.66666666667
ENSG00000003989.15	SLC7A2	5786.5
ENSG00000004059.9	ARF5	792.833333333333
ENSG00000004139.12	SARM1	2352.625
ENSG00000004142.10	POLDIP2	1822.5
ENSG00000004399.11	PLXND1	1252.64705882353
ENSG00000004455.15	AK2	1048.53333333333
ENSG00000004468.11	CD38	1989.8
ENSG00000004478.7	FKBP4	880.75
ENSG00000004487.14	KDM1A	1816.66666666667
ENSG00000004534.13	RBM6	1629.21052631579
ENSG00000004660.13	CAMKK1	3357
ENSG00000004700.14	RECQL	1322.75
ENSG00000004766.14	VPS50	1410.45
ENSG00000004776.10	HSPB6	910.333333333333
ENSG00000004777.17	ARHGAP33	1544.61538461538
ENSG00000004779.8	NDUFAB1	693.6
ENSG00000004799.7	PDK4	1479
ENSG00000004809.12	SLC22A16	1391.75
ENSG00000004838.12	ZMYND10	1166.55555555556
ENSG00000004846.15	ABCB5	2554
ENSG00000004848.6	ARX	801.75
ENSG00000004864.12	SLC25A13	1176.75
ENSG00000004866.17	ST7	1339.62068965517
ENSG00000004897.10	CDC27	1330.78947368421
ENSG00000004939.12	SLC4A1	2175.66666666667
ENSG00000004948.12	CALCR	2191
ENSG00000004961.13	HCCS	1449.66666666667
ENSG00000004975.10	DVL2	1062.2
ENSG00000005001.8	PRSS22	835.25
ENSG00000005007.11	UPF1	1760.84615384615
ENSG00000005020.11	SKAP2	995
ENSG00000005022.5	SLC25A5	741.25
ENSG00000005059.14	MCUB	1127
ENSG00000005073.5	HOXA11	2216
ENSG00000005075.14	POLR2J	858
ENSG00000005100.11	DHX33	2972.6
ENSG00000005102.11	MEOX1	1798.5
ENSG00000005108.14	THSD7A	4805.2
ENSG00000005156.10	LIG3	1610.625
ENSG00000005175.8	RPAP3	1545
ENSG00000005187.10	ACSM3	1093.46666666667
ENSG00000005189.18	REXO5	1084.68421052632
ENSG00000005194.13	CIAPIN1	1072.53333333333
ENSG00000005206.15	SPPL2B	1290.57142857143
ENSG00000005238.18	FAM214B	2761.33333333333
ENSG00000005243.8	COPZ2	599.2
ENSG00000005249.11	PRKAR2B	1665.33333333333
ENSG00000005302.16	MSL3	1337.5
ENSG00000005339.11	CREBBP	1940.9375
ENSG00000005379.14	TSPOAP1	2213.72727272727
ENSG00000005381.7	MPO	967.4
ENSG00000005421.7	PON1	1189.25
ENSG00000005436.12	GCFC2	1908
ENSG00000005448.15	WDR54	993.692307692308
ENSG00000005469.10	CROT	1570.14285714286
ENSG00000005471.14	ABCB4	2106.7
ENSG00000005483.18	KMT2E	2101.3125
ENSG00000005486.15	RHBDD2	1058.44444444444
ENSG00000005513.9	SOX8	3601
ENSG00000005700.13	IBTK	4104.5
ENSG00000005801.15	ZNF195	1121.27586206897
ENSG00000005810.16	MYCBP2	3350.33333333333
ENSG00000005812.9	FBXL3	1530.83333333333
ENSG00000005844.16	ITGAL	1160.52941176471
ENSG00000005882.10	PDK2	1045.5
ENSG00000005884.16	ITGA3	1677.5625
ENSG00000005889.14	ZFX	2803.63636363636
ENSG00000005893.14	LAMP2	2263.75
ENSG00000005961.16	ITGA2B	1109.9
ENSG00000005981.11	ASB4	1984.66666666667
ENSG00000006007.10	GDE1	1664.4
ENSG00000006015.16	C19orf60	1256.875
ENSG00000006016.9	CRLF1	851.8
ENSG00000006025.10	OSBPL7	2100.09090909091
ENSG00000006042.10	TMEM98	1239.66666666667
ENSG00000006047.11	YBX2	1575.42857142857
ENSG00000006059.3	KRT33A	1287
ENSG00000006062.12	MAP3K14	2762.8
ENSG00000006071.10	ABCC8	1388.25
