chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
1	14522	17765	0.273578433487784	11	0.124623651629434	2.28790001288134	158	1.74641499923487	14	12	2	-6.73305775987418
1	129285	12267270	0.486043480290589	506	0.0915515136206141	1.05857364399728	43682	0.708251085973261	2	1	1	-6.75707099473854
1	12309131	13001414	0.352200782765327	44	0.1127115980458	1.08371192694332	3247	0.761452694481983	3	3	0	-6.7406761686181
1	13052539	16890639	0.498889993163466	295	0.071851661411201	1.0774658373924	10331	0.800009125940541	2	1	1	-6.74017078680672
1	16890671	16914141	0.277151703080387	30	0.125023694306044	0.632338995661579	412	0.756144007458782	6	6	0	-6.75257114000422
1	16914160	17280578	0.498828595221907	155	0.107634444722985	1.04111961985117	3248	0.670380964268555	2	1	1	-6.73314787816399
1	17287414	121280118	0.479977912534611	2392	0.0790063297412211	1.05905323115741	190889	0.7028694271226	2	1	1	-6.86127900254991
1	143744160	145310282	0.37525901988408	232	0.0866505403787681	0.960940464757743	3589	0.67939770480198	2	2	0	-6.79160249454808
1	145310932	145367657	0.371728127958338	17	0.135857867987532	0.469219079671875	179	2.67138688101443	3	3	0	-6.73886932603466
1	145367863	248902670	0.385877888598947	2831	0.0919154020753889	1.3563935455296	239770	1.00922186738687	5	4	1	-6.74188296480115
2	224970	89102315	0.498935437666658	1333	0.077448822640861	1.05381433236257	111419	0.692261518116189	2	1	1	-6.78619035070612
2	89104333	91809404	0.4991347822113	45	0.080167709310929	1.88982738685922	577	1.46294652879514	10	5	5	-6.73335116513107
2	91842888	92080237	0.360618160635902	55	0.102997907860155	1.12144391426558	776	0.644523695360337	3	3	0	-6.7335877366241
2	95453688	114341247	0.498924734411977	561	0.0744489853500958	1.02108546003212	38254	1.1424103576165	2	1	1	-6.73395824442465
2	114341406	114356059	0.252432066193364	13	0.0723949282824815	1.02910682630687	176	0.552399252817187	8	8	0	-6.74011328421035
2	114356302	243037004	0.498943638493612	2332	0.0804572305984877	1.03220843948358	173333	0.864974659432703	2	1	1	-6.73328550679966
3	361660	90276661	0.498946438093293	1628	0.0768395484388481	1.0498596919105	132198	0.662576537842626	2	1	1	-6.77344647763819
3	93593119	195343792	0.49894133238209	1923	0.0774045941089426	1.03713375334441	120433	0.660042396516802	2	1	1	-6.73814127920776
3	195345436	195456561	0.340400479271313	55	0.0979526374934294	1.13237360350132	591	0.68609951264697	4	4	0	-6.73726029164536
3	195456708	197896800	0.470683906012215	157	0.102225774710631	1.05201718517161	8220	0.588270004163501	3	2	1	-6.77170416455092
4	264941	8961543	0.498919267408367	544	0.0717872875874606	0.997768470308015	27614	0.600150521558039	2	1	1	-6.74863517301793
4	8965524	9486176	0.337046977150601	26	0.0850243404063711	0.775272651136463	580	0.835397883404054	4	4	0	-6.83038181428304
4	9495320	48611929	0.498918550508887	422	0.065553051268786	1.00931696987941	27141	0.637351145076262	2	1	1	-6.75907701130927
4	52710004	66960186	0.498852239914256	140	0.08860229512222	0.978802339685539	8809	0.513793452743681	2	1	1	-6.81916492388833
4	66960331	68358331	0.350982787784739	9	0.155307311840464	1.19475947481904	77	0.697998605035554	3	3	0	-6.74168841887583
4	68359499	190947451	0.498937041671094	1627	0.0853154405905329	1.0125573798554	103248	0.651926008852272	2	1	1	-6.78871632612069
5	163266	44809162	0.498923746749059	641	0.0798355284199267	1.02319672780367	38745	0.693672598050442	2	1	1	-6.7363135987868
5	49695048	149827098	0.498931621618279	1430	0.0825546225828545	0.966731808938019	112162	0.628825175555988	1	1	0	-7.22921912252945
5	149827494	150400087	0.497860289727358	9	0.203239390867027	1.08625955213102	1815	0.74530129702859	2	1	1	-6.73478457153166
5	150406372	180710261	0.498929671202324	634	0.0835593506700242	1.00341710066355	43242	0.640461290458173	2	1	1	-6.76544553391845
6	311938	25492364	0.472899713365992	397	0.0790601387168572	1.00055677793892	22560	0.678514979923764	2	1	1	-6.83196546626591
6	25537934	25610616	0.43491605437004	9	0.201364718856109	0.919548548873643	281	0.613361940895334	1	1	0	-6.73438226320496
6	25619581	32489937	0.498920995551684	818	0.0657447281190794	1.07967276448767	34656	0.646651012452297	2	1	1	-6.75413437294422
6	32489967	32548728	0.498878362023966	29	0.0991076689729967	0.772908799244338	110	0.600712132574207	0	0	0	-6.73351852924058
6	32548763	32725832	0.324625106488761	170	0.0913970884429262	0.993992425612701	611	0.537094045204182	4	4	0	-6.75605672601915
6	32726577	58287821	0.498924476455177	912	0.0813626956051087	1.03126673907321	60320	0.630139423821256	2	1	1	-6.73313809590671
