chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
1	13116	17614	0.313067575484358	10	0.138868282915862	1.80372253446207	162	0.666233172611753	5	4	1	-6.7333415394295
1	17746	16840955	0.498907021140098	628	0.103123463440153	0.908325059293238	62110	0.293275168689517	2	1	1	-7.35734631843142
1	16877645	17275622	0.312999164995832	189	0.103806177037227	0.924547767015974	4628	0.383160603890725	2	2	0	-6.74228415416543
1	17279993	58939502	0.498933380005747	1316	0.0932020000067141	0.95022802158826	128639	0.297450911014919	2	1	1	-7.00595056570076
1	59096338	59096669	0.163148407804626	11	0.110752960149236	1.14656477117029	42	0.155056739081198	6	6	0	-6.73777772392978
1	59096689	120927081	0.498922522026669	913	0.0927507160574167	1.0201807090088	82687	0.334111168735924	2	1	1	-7.20549851405512
1	142620975	249107065	0.314994211276502	3255	0.0848967858564247	1.5413759151524	312051	0.504202824784692	5	4	1	-6.75180547415929
2	224970	86756381	0.498931545983174	1424	0.0848611595112744	1.00640080003757	119697	0.326623906061453	2	1	1	-7.03704883283023
2	86776235	92150470	0.439595831368141	113	0.124094120181888	0.981617995657296	5251	0.345314329259014	2	1	1	-6.87193925224569
2	95515018	243031377	0.498938118140421	2701	0.0924309680819849	0.980325985435762	234830	0.325183140823466	2	1	1	-6.73342438825656
3	361508	90283951	0.494661608431163	1487	0.0906602661181218	0.985193638828938	147889	0.321779134036363	2	1	1	-6.74490418147089
3	93605126	94225786	0.497851421525583	9	0.235462016280994	1.03681824852546	557	0.561867821864136	2	1	1	-6.73669957157114
3	94226102	195672574	0.481905175380665	1793	0.0897557309604229	1.01509339268525	138591	0.332879934850063	2	1	1	-7.3406203843494
3	195676458	195701285	0.274973288881081	11	0.15919947464509	0.842444062162878	104	0.293651304268991	2	2	0	-6.7582971017694
3	195701331	197804128	0.498849594410296	109	0.0924340302541851	0.971460728024098	6287	0.321982816606827	2	1	1	-6.734267084307
4	299259	49552984	0.498923521709129	929	0.0948328790698372	0.987049870476614	63010	0.333702980977368	2	1	1	-6.74336151510618
4	52710913	189659777	0.498928041966892	1661	0.0928188883867928	1.03316612194737	128533	0.339072055548706	2	1	1	-8.21961075004391
4	189660460	190947451	0.431840505037692	9	0.203760957442239	1.12005462505878	274	1.55565882452809	3	2	1	-6.73629615785892
5	163205	43704542	0.498904145267474	584	0.0906186348214464	1.01466729645617	43783	0.326111591655753	2	1	1	-7.00165628506926
5	49694961	180710431	0.498937935131155	2058	0.0919343268785946	0.98282799331351	178796	0.325793200916841	2	1	1	-6.73588160811971
6	311938	57841320	0.49892967642504	1891	0.0886551642338007	1.01028250782684	135936	0.324100513421028	2	1	1	-7.00602455465202
6	63902995	170949288	0.498926898014435	1563	0.0900747344862236	1.03057959590566	115758	0.340086557265039	2	1	1	-7.8505289936395
7	31439	56881115	0.498917609110186	1153	0.0911732368853094	0.986589266632383	79903	0.340282401258111	2	1	1	-6.74285391851943
7	56881295	57245034	0.289657276426058	78	0.123606565024205	0.73705628478277	1247	0.315221234391063	2	2	0	-6.91654644812452
7	61822070	76635140	0.498872471576117	374	0.104911136054048	0.854731079506209	24005	0.295926406832586	1	1	0	-8.00756964916794
7	76635200	76689081	0.427867182449527	12	0.147788008493739	0.5675895683127	231	0.260840147039422	1	1	0	-6.84959508800664
7	76690153	100552017	0.481555819520911	466	0.0897885782078839	0.986766330905547	43822	0.326800052800633	2	1	1	-6.76295843600452
7	100552251	100853231	0.499166401194077	68	0.0841286537246623	0.641926863874426	4678	0.247970749423926	0	0	0	-6.74755635117993
7	101063160	158902741	0.498917881323167	1077	0.100079267760228	0.997186412179074	91951	0.331523732195998	2	1	1	-6.8172344016548
8	194695	43126616	0.498912624045321	998	0.0989428056042049	1.00226521251723	63949	0.374340315723565	2	1	1	-6.81703779223516
8	48036513	146076708	0.498926795308944	1101	0.0857736109624888	0.99443916678424	106047	0.318278716111316	2	1	1	-6.83986980548744
9	13061	117713	0.240591090106769	10	0.0887283619944729	0.994076738011655	273	0.723409986963348	3	3	0	-6.75257602272188
9	117877	26116936	0.49891126184629	315	0.0885744629495781	1.0283703263881	23162	0.372680137030233	2	1	1	-6.973759297711
9	26215086	27192726	0.49799113611874	10	0.225888394271744	0.974049274144647	1019	0.403591056914439	2	1	1	-6.73325551056338
9	27197282	38569104	0.483450825912195	290	0.0800948957667372	0.981888114556078	25344	0.305864181027413	2	1	1	-6.75860577613762
9	38569258	46383149	0.498750846522721	111	0.129070683896234	0.691650242579626	3163	0.338049134529937	0	0	0	-7.4901177057373
9	65602440	70731556	0.498631786421282	56	0.115881864385703	0.818544328440036	1709	0.425260761346271	2	1	1	-7.24429787553871
9	70731572	141070981	0.496810721595885	1936	0.0919911429160293	0.954311660077692	158771	0.314049918747309	2	1	1	-7.04125267370221
10	93603	39023739	0.498911751568497	684	0.0928667417082874	1.00329848686425	45963	0.333407728888399	2	1	1	-6.83809741369754
10	42645439	135439925	0.498926800536763	1832	0.0958858355942578	0.97188291676668	159834	0.321564728421445	2	1	1	-6.77895995602435
11	180318	4107584	0.498922079152214	490	0.0979452005226033	0.925149585487838	27444	0.284651039452505	2	1	1	-6.83115499157745
11	4123427	4410752	0.498170340134575	10	0.201399575195403	0.9507694610246	496	0.317633631326396	2	1	1	-6.73474505087893
11	4411241	51516144	0.498934052698183	1092	0.0801973027202975	0.984918537813137	79164	0.309640563424054	2	1	1	-6.73799048255693
11	55029939	134132559	0.498937497802151	2005	0.0855015347461088	0.971642461177478	191624	0.300915684623082	2	1	1	-6.7801673435499
11	134151812	134244322	0.485328682028201	18	0.117217746096741	0.928614239628136	571	0.360415963953089	2	1	1	-6.74369767453883
12	73658	92664	0.360812969742897	9	0.10824791504279	2.10714611447424	280	0.910013182209288	4	3	1	-6.73569977318595
12	176687	34319670	0.498911003540502	993	0.100247648138325	1.01415687163265	65978	0.335215067424331	2	1	1	-6.92889672426516
12	37969194	133810703	0.498937564697343	2013	0.0914510260635845	0.96922637532369	199100	0.3126057248155	2	1	1	-6.81668540500061
13	19239231	115091399	0.498920350620054	1215	0.0946406478819238	1.03371298394193	91257	0.336980166550698	2	1	1	-7.87616314384562
14	19110496	20404736	0.49860148518177	91	0.128808934613021	0.823850635862236	2411	0.316641482129934	2	1	1	-6.96015586780902
14	20404767	107083740	0.498934358069487	1669	0.0862247984989852	0.985157212668683	156105	0.31793320299428	2	1	1	-6.74262903142125
15	20279507	21140997	0.310598569488274	67	0.117366718581052	0.831039416114073	1420	0.3395463001131	2	2	0	-6.85520749651916
15	21369251	102515241	0.498930672885036	1997	0.0890665766390202	0.963730123391246	179006	0.321762573260961	2	1	1	-6.87675000153086
16	67058	1275135	0.485863865576664	194	0.0768638032829145	0.956362042151997	14024	0.283883075572792	2	1	1	-6.75903553075184
16	1278806	1306927	0.236227764535733	23	0.157841079330163	0.568393141746549	281	0.193902526299001	3	3	0	-6.96807498131847
16	1364365	31580289	0.498929534607699	1063	0.0898816558946942	0.909192598898809	108445	0.293653394685354	2	1	1	-7.75144891663641
16	32016373	34404310	0.305807759025146	181	0.11919624084077	0.832481573943849	2340	0.419534857889362	2	2	0	-6.94459607912035
16	46660153	90234090	0.498930212260475	1323	0.0921639857616221	0.938764420903533	105929	0.303995403087347	2	1	1	-7.23480172136509
17	6115	22067930	0.498930597392058	1292	0.0936955564152801	0.925055146145721	97772	0.287603163772824	2	1	1	-7.23845154414961
17	25309196	43662255	0.498920547180169	800	0.0918845266233167	0.913716377835796	89138	0.286437772112794	2	1	1	-7.34289196684346
17	43662264	46692135	0.188103740934785	9	0.0837035111436658	0.983831336604883	10585	0.334390739625657	3	3	0	-7.5576168369414
17	46713532	81009487	0.498931721874788	1438	0.0882657721682094	0.938106377846056	114163	0.297614843926244	2	1	1	-7.16356606949427
18	47858	80525	0.255946614221802	18	0.0791661609890971	1.13371146268761	113	0.346076377921473	3	3	0	-6.73326135213567
18	84841	15197704	0.498892733088457	371	0.0901030657278579	0.993966588608802	21982	0.351756630251521	2	1	1	-6.74587102862805
18	18531288	77917479	0.498912450141006	544	0.0935320040318827	1.03177957403488	57138	0.349587846490832	2	1	1	-7.39834580889064
19	335946	24288680	0.4989424718067	2268	0.0917673337055186	0.861825444371507	165509	0.281565936793708	1	1	0	-8.75626734255466
19	29703701	54726083	0.498933818164768	1768	0.0897723165452943	0.887981656036706	151557	0.279707971840126	2	1	1	-8.20600598786627
19	54726093	54745907	0.29593160754337	25	0.103924700304275	0.674855410996097	375	0.248750269918072	2	2	0	-6.76434963176646
19	54746081	59029159	0.498915139370099	468	0.102708051621736	0.830643751660645	34537	0.249438030337909	1	1	0	-7.56153474269614
20	76962	1629906	0.498868244677292	79	0.0887299986375963	0.965462594301739	4512	0.295371011166675	2	1	1	-6.7358233306424
20	1895621	1896244	0.208368736988568	18	0.0596514111289348	0.724515108622407	45	0.14797422311697	9	8	1	-6.75762785970299
20	1918305	26211356	0.498907640556296	479	0.0945309932339124	1.007331102155	33125	0.325337813210983	2	1	1	-6.82871896557953
20	29449321	62959363	0.498930109867341	999	0.0958745455456964	0.945285628767516	90262	0.413172816173199	2	1	1	-6.89025726285292
21	9590334	11181645	0.340007469379834	105	0.0975087598206348	0.83212534942606	1316	0.299859947029775	1	1	0	-6.85592360733027
21	14424012	48079463	0.4989140242309	826	0.0945045310207244	0.967338083228109	55803	0.328200946977061	2	1	1	-6.76937602258744
22	16123066	51193227	0.49891894671273	1499	0.0998127130277578	0.914766749883031	120674	0.294387405017301	2	1	1	-7.73103261784351
X	205300	57705777	0.498910010024065	498	0.0991226907974217	0.962750592620495	75208	0.316868237888588	2	1	1	-6.85097339093357
X	61999192	155227607	0.49890099529147	595	0.0977664428653113	0.938265362726588	102431	0.29920338691919	2	1	1	-7.76774354725826
X	155233098	155255094	0.494169722433476	22	0.114170791785683	1.83485847711238	299	0.656448286555286	6	3	3	-6.73466935022052
