chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
1	14542	1660735	0.49881131670089	118	0.123166955268272	1.14859495070771	19343	1.18653314363167	2	1	1	-6.73594203251202
1	1660812	6209265	0.498900973606972	217	0.0660398408690586	0.838982060179922	15517	3.36120916995845	2	1	1	-6.74828941640196
1	6212356	16877645	0.498894597711432	464	0.0935204077019365	0.974354827497021	49119	3.34769870924524	2	1	1	-6.73889765687213
1	16890421	16891735	0.3660775108535	14	0.148694631398021	6.41444891279953	432	3.14027762114928	14	9	5	-6.7330851326572
1	16891835	16940095	0.3286222328768	42	0.111267068925076	1.96627930100457	2399	1.94456103020986	13	9	4	-6.74559149217797
1	16945738	17280578	0.334672395493066	139	0.115830008038387	1.15390480104618	5104	7.73906672254396	12	8	4	-6.74361395982519
1	17281003	23289568	0.474774153991233	432	0.0786172816448898	0.917232899625643	28175	0.929868664433617	2	1	1	-6.9004942249458
1	23745514	24304405	0.498044719766931	10	0.2423877517991	1.09747608577324	3163	2.21501585110815	2	1	1	-6.73309164796373
1	24384237	31188901	0.498896322604472	273	0.0929875322668486	1.05359823973927	28044	1.4149652963776	2	1	1	-6.73414688990395
1	31191399	31581187	0.45931033349966	17	0.206745349901473	1.13157574610891	1173	1.32153438195674	2	1	1	-6.75650093137993
1	31712314	35972249	0.498919808788205	139	0.0751716924017715	1.01438045243169	21140	6.75902708526817	2	1	1	-6.73335797228971
1	36097270	36603223	0.497880397528352	9	0.240720331043678	1.20012867146212	4069	1.06750717555493	2	1	1	-6.73616532159548
1	36641729	45307506	0.498930257551928	386	0.0783693942865267	1.05462947780126	39964	4.34415041504104	2	1	1	-6.73326918697941
1	45308409	45672394	0.497786247490112	9	0.231592554092551	1.14621903894033	2330	1.53919286366934	2	1	1	-6.73343605182532
1	45796269	48937691	0.481376336407637	151	0.0865560865265424	1.03265396692861	13321	1.55652980024333	2	1	1	-6.76208941653877
1	48937897	52082704	0.498179763309484	14	0.200726222710229	1.16001207054135	3794	1.13634271058486	2	1	1	-6.74100872850497
1	52264064	79106967	0.498920419971344	480	0.0927732885715118	1.10726543231973	47182	3.09963681677852	2	1	1	-6.73434885164586
1	79214968	84544300	0.0049013395792421	14	0.224348788989108	1.16725754877612	1815	2.76945102220254	3	3	0	-6.86698428187629
1	84551736	106435755	0.494616574811552	330	0.0962213378612766	1.12937159007581	33180	1.65824323773539	2	1	1	-6.74541243078577
1	106435838	108048135	0.212241645746337	11	0.15222286293458	0.982138882661416	413	1.91473602662266	1	1	0	-6.76692828814391
1	108115871	111861822	0.498913753404324	199	0.0701876967566341	0.990524851650312	17655	1.14672207639774	2	1	1	-6.74527722425185
1	111862042	121483868	0.474198877161579	171	0.13428031946926	1.07650989341678	25425	1.70412511045104	2	1	1	-6.75510182871037
