chromosome	start.pos	end.pos	Bf	N.BAF	sd.BAF	depth.ratio	N.ratio	sd.ratio	CNt	A	B	LPP
1	13116	980345	0.498408522299561	35	0.154189788106419	1.03637700530946	2847	1.40742244614497	2	1	1	-6.73316470767843
1	989500	9668027	0.498920594207723	455	0.111654696993892	0.988164358985803	35556	2.84210138232336	2	1	1	-6.73566049278272
1	9672842	10408978	0.497773679514215	9	0.23251296260161	0.997030245749517	3638	1.54490774932521	2	1	1	-6.73362990894427
1	10490789	11301714	0.498914357216406	63	0.118076879674087	0.97720317916263	5022	1.56854858094877	2	1	1	-6.73417391450551
1	11301823	11585021	0.497768938537515	9	0.222420460189954	1.52972847061499	1013	2.93418591909434	4	2	2	-6.73510237111929
1	11714368	11808850	0.498877389908862	17	0.115110305155278	0.982609948836219	869	1.91226002991044	2	1	1	-6.73316027298214
1	11849079	12781131	-0.00319841251747544	9	0	1.01942085383717	5965	2.2052370870394	1	1	0	-Inf
1	12853217	13141561	0.498759022501229	50	0.116521216426671	1.15370033006286	1991	3.11993787719252	2	1	1	-6.73324712928203
1	13197554	15383000	0.498135822325302	17	0.178352695027379	1.64263958151032	2045	4.18533812608268	4	2	2	-6.73770121754085
1	15386628	15724033	0.499742490817443	29	0.0870890066190425	0.92106502490159	1347	1.51209209462123	2	1	1	-6.73461327095478
1	15737019	16045172	0.49796752888904	11	0.2300288519453	1.05187253418736	2327	1.86504803262104	2	1	1	-6.73307659393047
1	16046109	16817131	0.498887868754484	101	0.0834795866433143	0.973997544608111	6935	2.03757036016671	2	1	1	-6.73380802303635
1	16840584	16946164	0.498543766961475	67	0.132000286103606	3.54868181456356	2188	21.8549598337438	6	3	3	-6.73310455137429
1	16946407	17275622	0.306261130451702	193	0.0997561770069216	0.972898809360999	3694	4.64641107268906	10	7	3	-6.7613564476666
1	17279993	23743859	0.498934163014324	553	0.114764717878094	1.027566937238	28937	2.00566881203032	2	1	1	-6.73364192280091
1	23745514	24186117	0.487193691431659	15	0.209479854696841	0.910600671076432	2328	1.18429355126661	2	1	1	-6.73922921509799
1	24192200	24927561	0.499591269453477	38	0.0444605727808998	1.01231998399334	2656	1.76654625742954	2	1	1	-6.73329613894499
1	24927727	26160285	0.49879309124369	29	0.183297948518347	0.989542403477436	3449	1.82386958236467	2	1	1	-6.73390519097648
1	26218828	27174976	0.496728402893928	100	0.0855353220203871	1.04740815494341	7523	1.58776829427882	2	1	1	-6.73391302247611
1	27177907	27631951	0.498585103934643	10	0.227216514462405	0.989621334100856	2636	2.09334550164582	2	1	1	-6.7332899410427
1	27651951	28282292	0.499727373491088	26	0.0266503571920066	1.12848843408237	4391	1.76669184186043	2	1	1	-6.73367899096524
1	28331106	28853443	-0.00075933793001301	23	0.202440553905616	1.3729317886052	1677	2.50211802955904	3	3	0	-6.73401667921577
1	28861636	31349647	0.49890498550555	40	0.157607301666076	1.2287274396845	4820	2.92491091217285	2	1	1	-6.73723034595737
1	31381106	32109849	0.000333359988964554	9	0.223583876878455	1.30162467944963	2614	3.45478633694006	3	3	0	-6.73439754745004
1	32110087	35479295	0.494499660068105	115	0.104374331460791	1.0520281779141	16135	4.51902233027505	2	1	1	-6.73469555556983
1	35790761	36282260	0.497775481678265	10	0.233034117673786	1.07450418251353	3488	1.74725217004641	2	1	1	-6.7331252060515
1	36752152	40226046	0.498881046635664	128	0.128835727517794	0.959076970163149	14233	1.80234590797799	2	1	1	-6.73863004869572
1	40229319	40312717	0.498100999907991	9	0.176701726080987	1.30389426599382	284	3.95253632490946	2	1	1	-6.73324576965826
1	40313849	40799236	0.499580615797182	20	0.0398474393286775	1.02518267517858	3037	1.89359498648144	2	1	1	-6.73315294036432
1	40840296	41950502	0.000234247983722013	18	0.227774175804455	0.939679861757352	3301	1.43017281860024	2	2	0	-6.73722437212311
1	42620154	45476399	0.498924582295433	174	0.0979036095843757	1.06512406546755	18085	2.54830236336014	2	1	1	-6.73313877563267
1	45483880	46269425	0.497900226596988	10	0.237116005364463	0.988117321607531	3595	2.04301355498058	2	1	1	-6.73352862565822
1	46495434	51753812	0.49890736564837	162	0.130630457347359	1.1042205402388	11881	6.57806679781644	2	1	1	-6.73323853013423
1	51767923	52280722	0.498737285438479	9	0.224791014055278	1.25314755031788	1821	2.79302183322577	2	1	1	-6.73424738770479
1	52290984	59096494	0.498923973578226	200	0.131924408746507	1.05024643799236	17348	2.92377038451359	2	1	1	-6.73307212373134
1	59096544	59134891	0.291117957008074	13	0.11381378178005	0.988682218690082	209	1.31547719461036	7	5	2	-6.75730142392416
1	59465268	60329614	0.492827206787463	25	0.0405494759522241	0.990863219072691	812	1.75627828977492	2	1	1	-6.75236027081929
1	60359156	62160638	0.498827801472575	15	0.229855689716914	1.04442583180865	1135	2.74542357519585	2	1	1	-6.73305413807823
1	62232173	65016399	0.498872563387679	70	0.0676332042014794	1.0223156004911	5368	1.81553449824211	2	1	1	-6.73362958728273
1	65068760	65830299	0.0138798028547281	9	0.184461453365677	1.10756827228887	1729	2.09187591204915	2	2	0	-6.73669499149406
1	65830608	82416220	0.49891589731554	266	0.0935478356774628	1.08277261189535	18609	2.25795262666457	2	1	1	-6.7346642701222
1	82417552	85418381	0.0215756359955135	17	0.192385603900695	1.08278439573718	2800	1.99857077902715	2	2	0	-6.74092575829141
1	85422061	85559423	0.429890272234296	10	0.0306492704281485	0.94657371704365	414	1.13591075972366	7	4	3	-6.84984499982376
1	85574094	85987415	0.356312388652458	10	0.157289859813022	1.09816671440036	1206	1.57363028107693	3	2	1	-6.75898497053496
1	86119898	92177938	0.49893040901109	152	0.0935822999916774	0.98454305896812	9340	1.68970741148373	2	1	1	-6.73879768489534
1	92184642	92508673	0.498823903878258	11	0.213612010217335	1.45535087418689	678	1.89953805205791	2	1	1	-6.73869684427113
1	92568263	102252790	0.498904904724551	160	0.10234415192081	1.04632730320329	14708	2.17406874419304	2	1	1	-6.73314295878227
1	102277782	106434319	0.371233480959176	13	0.183764795322717	0.931894054133446	2562	1.71834637425681	3	2	1	-6.98455291843478
1	106435109	114679940	0.488295946738926	264	0.106665206527518	1.00110214894957	29039	1.80722072569438	2	1	1	-6.74406017139541
1	114680745	116202014	0.497770669727306	9	0.220639474658951	1.00808646745432	3245	1.69056537981948	2	1	1	-6.73368835787744
1	116224788	120342215	0.498898779584223	101	0.0765075017353343	1.06155562988522	9003	1.83066793769175	2	1	1	-6.73320641249888
1	120344715	120428831	-0.00114092163625701	9	0.225669066949322	1.44686004904735	368	3.45061953198783	3	3	0	-6.73307741968106
1	120436751	120496127	0.499771468002454	16	0.0247870093664672	1.0346152042982	891	0.801342347282368	2	1	1	-6.73309728420365
1	120502276	121306922	0.303158058998396	18	0.140330701852278	1.11083164864778	1163	2.50138000483739	3	2	1	-6.77017191870224
1	142620901	144014253	0.307869301089444	34	0.116811654242395	2.25013112291632	1101	5.16879292952281	10	7	3	-6.75826229876157
1	144014345	144491754	0.141190727961012	12	0.119794868863656	5.76159622346723	181	9.93925144220474	14	12	2	-6.73332129084558
1	144491871	145282093	0.29381638355914	218	0.0899357846230788	2.03912345690071	5135	12.1721104332068	10	7	3	-6.73874076048979
1	145290818	145368837	0.448998027354741	51	0.146223296875086	9.73080607600876	1858	65.4282536142753	20	11	9	-6.73305796390814
1	145382371	149224376	0.233088359905007	269	0.118806607973664	3.25830215638129	14781	17.7205619443409	13	10	3	-6.73729622517507
1	149224410	149726032	0.430954244619364	60	0.118794219836938	2.26576871561018	1559	3.41387556591362	7	4	3	-6.7393684400984
1	149726118	151318150	0.254175297788289	91	0.127841096802812	2.21611868381166	20262	3.94565500451578	4	3	1	-6.73383116156112
1	151337788	153598904	0.266582714846409	158	0.0752814343929943	2.08256064393589	21828	3.43027909061387	4	3	1	-6.76201593941362
1	153617965	154116259	0.230491840058415	11	0.117783931609768	1.93509876848878	7595	3.21122438043068	4	3	1	-6.74965005645518
1	154142854	155057499	0.257657761261226	36	0.0868744167503546	1.90193163895986	12786	7.76525042018358	4	3	1	-6.73778200516114
1	155149984	156023168	0.497684787026537	10	0.135587978818183	1.90681258767636	15264	3.29171865706249	4	2	2	-6.73367870363588
1	156095809	200567596	0.249114873309473	1392	0.087123660400438	2.14118579723749	144347	4.62975401080923	4	3	1	-6.73344747797311
1	200574741	200813707	0.121785877851301	12	0.0882518349023767	1.88731404075002	842	3.71068902886	8	7	1	-6.74052313706088
1	200864267	201437477	0.251530377379389	117	0.063213612471132	1.67527849941316	7386	2.81883244122084	4	3	1	-6.73563993536983
1	201454124	227618550	0.250262221415556	972	0.0853351375665895	2.12361628254374	96036	5.16004922148882	4	3	1	-6.73307968617727
1	227621725	227681379	0.499049939420346	9	0.0992761300615611	5.77764476813176	101	11.4062483113597	12	6	6	-6.73308685526362
1	227681573	229635213	0.226666039244037	34	0.127818376742764	1.83262718774585	14060	2.72874004920755	4	3	1	-6.75598634559014
1	229693952	249151016	0.246949377980794	816	0.0762509853651528	2.0353344191615	56365	3.68183050251647	4	3	1	-6.73497319768191
2	41366	11359300	0.49892238736593	241	0.0728257604837841	1.11608582507975	13161	2.88813353365755	2	1	1	-6.73594802340569
2	11364756	15698509	0.00200776381104198	21	0.208862292295323	0.99368898730157	3861	6.86672366269559	2	2	0	-6.73326835532189
